energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,10.25950216,2.68536509,6.10328545,0.08508683,0.03938871,0.29070885,2.77681977,1.35974071,0.33673624
-5.99399700,10.21281040,2.70664907,6.03542632,0.08692893,0.03910733,0.28905034,2.78294972,1.36729744,0.33696971
-5.98799400,10.14629376,2.71991624,5.95304433,0.08876609,0.03870764,0.28727471,2.78539793,1.37384931,0.33711513
-5.98199100,10.06411655,2.72516868,5.85920369,0.09058517,0.03820503,0.28553946,2.78501096,1.37968162,0.33732242
-5.97598799,9.97070162,2.72250686,5.75717968,0.09237723,0.03761614,0.28400061,2.78266048,1.38509291,0.33773692
-5.96998499,9.87059408,2.71212152,5.65036271,0.09413770,0.03695828,0.28280830,2.77921454,1.39038562,0.33849476
-5.96398199,9.76832400,2.69428492,5.54216056,0.09586641,0.03624884,0.28210246,2.77550959,1.39585654,0.33971854
-5.95797899,9.66827286,2.66934180,5.43590224,0.09756739,0.03550482,0.28200878,2.77232434,1.40178747,0.34151338
-5.95197599,9.57454827,2.63770040,5.33474672,0.09924858,0.03474229,0.28263511,2.77035612,1.40843632,0.34396347
-5.94597299,9.49087050,2.59982363,5.24159938,0.10092133,0.03397595,0.28406822,2.77020049,1.41602869,0.34712929
-5.93996998,9.42047395,2.55622046,5.15903837,0.10259967,0.03321879,0.28637126,2.77233440,1.42475032,0.35104547
-5.93396698,9.36602546,2.50743742,5.08925264,0.10429955,0.03248182,0.28958176,2.77710330,1.43474020,0.35571941
-5.92796398,9.32956087,2.45405014,5.03399278,0.10603777,0.03177385,0.29371028,2.78471213,1.44608471,0.36113068
-5.92196098,9.31244024,2.39665463,4.99453515,0.10783097,0.03110142,0.29873977,2.79522026,1.45881263,0.36723112
-5.91595798,9.31532159,2.33585826,4.97165939,0.10969432,0.03046872,0.30462553,2.80854013,1.47289113,0.37394573
-5.90995498,9.33815241,2.27227037,4.96563885,0.11164035,0.02987772,0.31129589,2.82443935,1.48822299,0.38117422
-5.90395198,9.38017796,2.20649228,4.97624337,0.11367762,0.02932822,0.31865342,2.84254602,1.50464478,0.38879317
-5.89794897,9.43996501,2.13910713,5.00275315,0.11580956,0.02881807,0.32657675,2.86235701,1.52192655,0.39665880
-5.89194597,9.51543964,2.07066946,5.04398303,0.11803331,0.02834341,0.33492297,2.88324881,1.53977271,0.40461016
-5.88594297,9.60393787,2.00169504,5.09831570,0.12033882,0.02789888,0.34353044,2.90449085,1.55782473,0.41247272
-5.87993997,9.70226766,1.93265126,5.16374307,0.12270816,0.02747797,0.35222202,2.92526108,1.57566530,0.42006232
-5.87393697,9.80678134,1.86394861,5.23791453,0.12511509,0.02707328,0.36080874,2.94466351,1.59282458,0.42718929
-5.86793397,9.91345727,1.79593372,5.31819139,0.12752507,0.02667681,0.36909373,2.96174775,1.60878820,0.43366271
-5.86193097,10.01798973,1.72888434,5.40170657,0.12989552,0.02628031,0.37687645,2.97553016,1.62300729,0.43929472
