energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.38271053,-1.61993919,0.59875052,-0.84338582,0.38517399,-0.25614214,0.26168046,-0.44614032,0.16962393,-0.13342192,0.00228677,-0.00178778,0.24523788,-0.19804014,0.01760592,-0.01932263,0.53824695,-0.83000269
-5.99399700,1.33047337,-1.58286912,0.58515993,-0.80189499,0.37662632,-0.25839450,0.24701964,-0.42471671,0.15668267,-0.13189528,0.00219154,-0.00188974,0.24464492,-0.20270811,0.01686286,-0.02018192,0.50851033,-0.79959183
-5.98799400,1.28915653,-1.54780524,0.58062064,-0.76198080,0.37070724,-0.26053625,0.23426968,-0.40337014,0.14536190,-0.13095871,0.00212953,-0.00201153,0.24671836,-0.20747835,0.01620453,-0.02121587,0.48215811,-0.77034108
-5.98199100,1.25883059,-1.51577553,0.58550408,-0.72442299,0.36738640,-0.26263571,0.22347573,-0.38257633,0.13565504,-0.13069446,0.00210245,-0.00215208,0.25149560,-0.21233955,0.01562657,-0.02241231,0.45920703,-0.74296397
-5.97598799,1.23946998,-1.48775608,0.60008608,-0.68997902,0.36661379,-0.26476543,0.21466057,-0.36279478,0.12754144,-0.13117618,0.00211152,-0.00231008,0.25899012,-0.21728662,0.01512430,-0.02375607,0.43964412,-0.71813501
-5.96998499,1.23096797,-1.46465381,0.62454603,-0.65937463,0.36832453,-0.26700312,0.20782653,-0.34445901,0.12098949,-0.13246713,0.00215753,-0.00248394,0.26919328,-0.22232387,0.01469305,-0.02522903,0.42343320,-0.69647434
-5.96398199,1.23314831,-1.44729258,0.65896576,-0.63329517,0.37244271,-0.26943262,0.20295692,-0.32796795,0.11595916,-0.13461869,0.00224076,-0.00267183,0.28207572,-0.22746820,0.01432830,-0.02681017,0.41051994,-0.67853468
-5.95797899,1.24577339,-1.43640270,0.70332835,-0.61237791,0.37888418,-0.27214491,0.20001699,-0.31367874,0.11240387,-0.13766922,0.00236098,-0.00287164,0.29758843,-0.23275178,0.01402588,-0.02847577,0.40083522,-0.66479084
-5.95197599,1.26854899,-1.43261351,0.75751708,-0.59720477,0.38755837,-0.27523892,0.19895446,-0.30190099,0.11027164,-0.14164329,0.00251746,-0.00308104,0.31566373,-0.23822422,0.01378193,-0.03019975,0.39429681,-0.65563181
-5.94597299,1.30112627,-1.43644853,0.82131497,-0.58829554,0.39836942,-0.27882186,0.19969947,-0.29289241,0.10950554,-0.14655127,0.00270888,-0.00329748,0.33621620,-0.24395385,0.01359299,-0.03195407,0.39080949,-0.65135555
-5.93996998,1.34310169,-1.44832238,0.89440533,-0.58610107,0.41121666,-0.28300896,0.20216441,-0.28685574,0.11004360,-0.15238918,0.00293335,-0.00351822,0.35914383,-0.25002784,0.01345583,-0.03370925,0.39026380,-0.65216595
-5.93396698,1.39401568,-1.46853883,0.97637376,-0.59099632,0.42599497,-0.28792226,0.20624340,-0.28393687,0.11181815,-0.15913881,0.00318840,-0.00374037,0.38432951,-0.25655113,0.01336745,-0.03543506,0.39253370,-0.65817209
