energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,2.53444979,0.75684172,1.52207102,0.00077355,0.33545133,0.71940565,0.00000000,0.43449681,0.09494093
-5.99399700,2.50951625,0.74817852,1.50964458,0.00078742,0.32962166,0.71460084,0.00000000,0.43962922,0.09590672
-5.98799400,2.48856606,0.74322537,1.49904462,0.00080467,0.32463873,0.71078399,0.00000000,0.44490509,0.09697696
-5.98199100,2.47109094,0.74163227,1.48996388,0.00082458,0.32040750,0.70784403,0.00000000,0.45021586,0.09811258
-5.97598799,2.45639618,0.74298082,1.48198083,0.00084660,0.31680879,0.70561685,0.00000000,0.45542785,0.09926806
-5.96998499,2.44362658,0.74679671,1.47457635,0.00087034,0.31370345,0.70389146,0.00000000,0.46038536,0.10039274
-5.96398199,2.43180036,0.75256500,1.46715484,0.00089552,0.31093734,0.70241880,0.00000000,0.46491542,0.10143247
-5.95797899,2.41984945,0.75974720,1.45906892,0.00092204,0.30834696,0.70092277,0.00000000,0.46883390,0.10233159
-5.95197599,2.40666430,0.76779942,1.44964680,0.00094998,0.30576542,0.69911281,0.00000000,0.47195279,0.10303507
-5.94597299,2.39114116,0.77619052,1.43822092,0.00097956,0.30302856,0.69669745,0.00000000,0.47408808,0.10349073
-5.93996998,2.37222946,0.78441944,1.42415683,0.00101127,0.29998094,0.69339792,0.00000000,0.47506790,0.10365145
-5.93396698,2.34897710,0.79203085,1.40688073,0.00104577,0.29648147,0.68896137,0.00000000,0.47474048,0.10347726
-5.92796398,2.32057138,0.79862820,1.38590466,0.00108403,0.29240838,0.68317270,0.00000000,0.47298136,0.10293712
-5.92196098,2.28637368,0.80388378,1.36084788,0.00112729,0.28766332,0.67586468,0.00000000,0.46969960,0.10201043
-5.91595798,2.24594621,0.80754523,1.33145374,0.00117710,0.28217447,0.66692572,0.00000000,0.46484247,0.10068814
-5.90995498,2.19906972,0.80943834,1.29760113,0.00123534,0.27589846,0.65630492,0.00000000,0.45839853,0.09897332
-5.90395198,2.14575146,0.80946608,1.25931004,0.00130422,0.26882102,0.64401433,0.00000000,0.45039884,0.09688133
-5.89794897,2.08622324,0.80760415,1.21674124,0.00138627,0.26095650,0.63012832,0.00000000,0.44091619,0.09443953
-5.89194597,2.02093004,0.80389348,1.17019009,0.00148435,0.25234606,0.61478019,0.00000000,0.43006269,0.09168641
-5.88594297,1.95051004,0.79843012,1.12007499,0.00160160,0.24305495,0.59815639,0.00000000,0.41798548,0.08867045
-5.87993997,1.87576738,0.79135344,1.06692130,0.00174139,0.23316885,0.58048867,0.00000000,0.40486128,0.08544857
-5.87393697,1.79763931,0.78283328,1.01134150,0.00190727,0.22278952,0.56204469,0.00000000,0.39088965,0.08208432
-5.86793397,1.71715964,0.77305692,0.95401286,0.00210290,0.21203010,0.54311773,0.00000000,0.37628576,0.07864587
-5.86193097,1.63542036,0.76221667,0.89565360,0.00233194,0.20101018,0.52401589,0.00000000,0.36127277,0.07520401
-5.85592796,1.55353354,0.75049881,0.83699895,0.00259795,0.18985104,0.50505157,0.00000000,0.34607432,0.07183003
-5.84992496,1.47259500,0.73807437,0.77877789,0.00290426,0.17867111,0.48653147,0.00000000,0.33090753,0.06859377
-5.84392196,1.39365154,0.72509227,0.72169187,0.00325388,0.16758203,0.46874774,0.00000000,0.31597675,0.06556175
-5.83791896,1.31767272,0.71167499,0.66639604,0.00364934,0.15668538,0.45197041,0.00000000,0.30146827,0.06279563
-5.83191596,1.24552813,0.69791688,0.61348371,0.00409255,0.14607009,0.43644137,0.00000000,0.28754632,0.06035072
-5.82591296,1.17797052,0.68388486,0.56347442,0.00458469,0.13581082,0.42237000,0.00000000,0.27435013,0.05827493
-5.81990995,1.11562471,0.66962132,0.51680555,0.00512609,0.12596709,0.40993031,0.00000000,0.26199242,0.05660790
-5.81390695,1.05898220,0.65514868,0.47382768,0.00571611,0.11658316,0.39925947,0.00000000,0.25055885,0.05538037
-5.80790395,1.00840067,0.64047508,0.43480319,0.00635309,0.10768869,0.39045764,0.00000000,0.24010865,0.05461389
-5.80190095,0.96410771,0.62560073,0.39990777,0.00703425,0.09929996,0.38358866,0.00000000,0.23067596,0.05432063
-5.79589795,0.92620774,0.61052419,0.36923444,0.00775567,0.09142142,0.37868149,0.00000000,0.22227191,0.05450344
-5.78989495,0.89469123,0.59524801,0.34279935,0.00851231,0.08404768,0.37573201,0.00000000,0.21488701,0.05515607
-5.78389195,0.86944538,0.57978355,0.32054889,0.00929802,0.07716555,0.37470501,0.00000000,0.20849381,0.05626350
-5.77788894,0.85026518,0.56415424,0.30236763,0.01010563,0.07075611,0.37553616,0.00000000,0.20304965,0.05780234
-5.77188594,0.83686454,0.54839738,0.28808645,0.01092701,0.06479664,0.37813389,0.00000000,0.19849915,0.05974142
-5.76588294,0.82888667,0.53256435,0.27749065,0.01175326,0.05926241,0.38238103,0.00000000,0.19477668,0.06204231
-5.75987994,0.82591380,0.51671917,0.27032771,0.01257482,0.05412815,0.38813628,0.00000000,0.19180838,0.06466004
-5.75387694,0.82747582,0.50093580,0.26631446,0.01338169,0.04936919,0.39523567,0.00000000,0.18951403,0.06754384
-5.74787394,0.83305824,0.48529436,0.26514366,0.01416362,0.04496234,0.40349394,0.00000000,0.18780860,0.07063791
