energy_ev,total_up,Bi_p_up,Bi_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-5.61580790,1.01475038,0.28685389,0.00213419,0.34222045,0.50179684,0.01463491,0.32006700
-5.60980490,0.98917046,0.27982471,0.00232530,0.32760899,0.49553400,0.01455262,0.30533752
-5.60380190,0.97002862,0.27536090,0.00255020,0.31588618,0.49295354,0.01454130,0.29098552
-5.59779890,0.95727944,0.27335066,0.00281025,0.30685612,0.49402909,0.01459416,0.27714868
-5.59179590,0.95083597,0.27366743,0.00310651,0.30031394,0.49870576,0.01470453,0.26396040
-5.58579290,0.95056348,0.27617036,0.00343959,0.29604858,0.50689706,0.01486583,0.25154467
-5.57978989,0.95627292,0.28070452,0.00380958,0.29384484,0.51848186,0.01507152,0.24001128
-5.57378689,0.96771506,0.28710126,0.00421607,0.29348513,0.53330170,0.01531504,0.22945135
-5.56778389,0.98457592,0.29517854,0.00465802,0.29475091,0.55115894,0.01558974,0.21993359
-5.56178089,1.00647414,0.30474167,0.00513380,0.29742391,0.57181605,0.01588884,0.21150155
-5.55577789,1.03296094,0.31558446,0.00564114,0.30128742,0.59499625,0.01620547,0.20417181
-5.54977489,1.06352284,0.32749090,0.00617719,0.30612766,0.62038573,0.01653263,0.19793348
-5.54377189,1.09758755,0.34023743,0.00673855,0.31173521,0.64763758,0.01686325,0.19274875
-5.53776888,1.13453287,0.35359583,0.00732131,0.31790680,0.67637744,0.01719031,0.18855470
-5.53176588,1.17369861,0.36733668,0.00792117,0.32444715,0.70621071,0.01750689,0.18526604
-5.52576288,1.21440089,0.38123327,0.00853355,0.33117112,0.73673122,0.01780635,0.18277882
-5.51975988,1.25594868,0.39506595,0.00915369,0.33790599,0.76753102,0.01808245,0.18097477
-5.51375688,1.29766159,0.40862660,0.00977683,0.34449374,0.79821095,0.01832953,0.17972612
-5.50775388,1.33888836,0.42172322,0.01039833,0.35079337,0.82839160,0.01854266,0.17890064
-5.50175088,1.37902525,0.43418425,0.01101382,0.35668309,0.85772413,0.01871781,0.17836660
-5.49574787,1.41753334,0.44586262,0.01161938,0.36206223,0.88590059,0.01885194,0.17799753
-5.48974487,1.45395420,0.45663915,0.01221164,0.36685281,0.91266317,0.01894316,0.17767647
-5.48374187,1.48792303,0.46642528,0.01278794,0.37100067,0.93781200,0.01899075,0.17729952
-5.47773887,1.51917865,0.47516485,0.01334640,0.37447608,0.96121115,0.01899521,0.17677869
-5.47173587,1.54756997,0.48283493,0.01388604,0.37727368,0.98279242,0.01895826,0.17604377
-5.46573287,1.57305843,0.48944558,0.01440677,0.37941181,1.00255681,0.01888273,0.17504335
-5.45972986,1.59571639,0.49503851,0.01490946,0.38093124,1.02057345,0.01877246,0.17374484
-5.45372686,1.61572138,0.49968467,0.01539587,0.38189311,1.03697604,0.01863219,0.17213373
-5.44772386,1.63334635,0.50348086,0.01586863,0.38237639,1.05195674,0.01846731,0.17021196
-5.44172086,1.64894637,0.50654543,0.01633111,0.38247472,1.06575790,0.01828368,0.16799577
-5.43571786,1.66294210,0.50901323,0.01678731,0.38229279,1.07866161,0.01808739,0.16551298
-5.42971486,1.67580071,0.51102998,0.01724169,0.38194236,1.09097767,0.01788448,0.16280003
-5.42371186,1.68801495,0.51274627,0.01769895,0.38153804,1.10303020,0.01768077,0.15989884
-5.41770885,1.70008106,0.51431131,0.01816386,0.38119294,1.11514351,0.01748154,0.15685373
-5.41170585,1.71247637,0.51586678,0.01864098,0.38101433,1.12762756,0.01729140,0.15370856
-5.40570285,1.72563743,0.51754084,0.01913447,0.38109943,1.14076367,0.01711408,0.15050417
-5.39969985,1.73993938,0.51944262,0.01964780,0.38153151,1.15479096,0.01695232,0.14727634
-5.39369685,1.75567740,0.52165732,0.02018353,0.38237635,1.16989398,0.01680776,0.14405414
-5.38769385,1.77305096,0.52424209,0.02074314,0.38367921,1.18619213,0.01668090,0.14085901
-5.38169085,1.79215136,0.52722289,0.02132680,0.38546248,1.20373115,0.01657113,0.13770425
-5.37568784,1.81295324,0.53059234,0.02193323,0.38772396,1.22247719,0.01647678,0.13459519
-5.36968484,1.83531024,0.53430881,0.02255964,0.39043590,1.24231369,0.01639519,0.13152972
-5.36368184,1.85895520,0.53829666,0.02320163,0.39354496,1.26304128,0.01632287,0.12849936
-5.35767884,1.88350495,0.54244770,0.02385328,0.39697289,1.28438076,0.01625566,0.12549051
-5.35167584,1.90846955,0.54662386,0.02450715,0.40061813,1.30597923,0.01618895,0.12248605
-5.34567284,1.93326577,0.55066104,0.02515447,0.40435822,1.32741919,0.01611781,0.11946691
-5.33966983,1.95723439,0.55437389,0.02578533,0.40805289,1.34823029,0.01603729,0.11641378
-5.33366683,1.97966085,0.55756153,0.02638892,0.41154795,1.36790349,0.01594259,0.11330861
-5.32766383,1.99979831,0.56001399,0.02695385,0.41467967,1.38590707,0.01582923,0.11013604
-5.32166083,2.01689256,0.56151907,0.02746848,0.41727961,1.40170392,0.01569331,0.10688452
-5.31565783,2.03020773,0.56186946,0.02792129,0.41917977,1.41476951,0.01553159,0.10354723
-5.30965483,2.03905187,0.56086989,0.02830126,0.42021783,1.42460992,0.01534169,0.10012266
-5.30365183,2.04280139,0.55834389,0.02859823,0.42024237,1.43077905,0.01512212,0.09661488
-5.29764882,2.04092359,0.55414016,0.02880325,0.41911782,1.43289461,0.01487239,0.09303358
-5.29164582,2.03299614,0.54813803,0.02890891,0.41672904,1.43065198,0.01459302,0.08939378
-5.28564282,2.01872305,0.54025204,0.02890961,0.41298530,1.42383565,0.01428551,0.08571536
-5.27963982,1.99794635,0.53043529,0.02880178,0.40782360,1.41232766,0.01395230,0.08202237
-5.27363682,1.97065310,0.51868155,0.02858400,0.40121107,1.39611266,0.01359670,0.07834222
-5.26763382,1.93697760,0.50502598,0.02825709,0.39314653,1.37527970,0.01322276,0.07470485
-5.26163082,1.89719862,0.48954456,0.02782412,0.38366108,1.35002037,0.01283512,0.07114171
-5.25562781,1.85173203,0.47235209,0.02729031,0.37281764,1.32062371,0.01243889,0.06768495
-5.24962481,1.80111911,0.45359903,0.02666291,0.36070964,1.28746803,0.01203944,0.06436647
-5.24362181,1.74601111,0.43346725,0.02595094,0.34745875,1.25101002,0.01164227,0.06121721
-5.23761881,1.68715081,0.41216489,0.02516500,0.33321184,1.21177175,0.01125278,0.05826643
-5.23161581,1.62535190,0.38992047,0.02431688,0.31813726,1.17032602,0.01087618,0.05554119
-5.22561281,1.56147698,0.36697672,0.02341929,0.30242072,1.12728080,0.01051725,0.05306596
-5.21960980,1.49641514,0.34358405,0.02248547,0.28626067,1.08326328,0.01018027,0.05086232
