energy_ev,total_up,Au_p_up,Au_d_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,1.24169027,0.17986243,0.78990830,0.34863428,0.12664952,0.00086590,0.06622037,0.00680086,0.20934196
-5.99399700,1.20140249,0.17495578,0.76491763,0.33484520,0.12021981,0.00080570,0.06486127,0.00708734,0.20261106
-5.98799400,1.16394506,0.17116174,0.74101736,0.32261892,0.11431362,0.00074994,0.06384257,0.00734378,0.19649963
-5.98199100,1.12920117,0.16838365,0.71824048,0.31196250,0.10890318,0.00069886,0.06311525,0.00756458,0.19094525
-5.97598799,1.09706969,0.16652713,0.69662421,0.30287907,0.10396398,0.00065266,0.06263233,0.00774481,0.18589410
-5.96998499,1.06746902,0.16550273,0.67621030,0.29536796,0.09947520,0.00061150,0.06235022,0.00788036,0.18130203
-5.96398199,1.04033842,0.16522769,0.65704430,0.28942407,0.09541986,0.00057547,0.06222966,0.00796813,0.17713499
-5.95797899,1.01563683,0.16562688,0.63917378,0.28503641,0.09178464,0.00054460,0.06223644,0.00800605,0.17336864
-5.95197599,0.99333930,0.16663288,0.62264566,0.28218604,0.08855952,0.00051887,0.06234166,0.00799320,0.16998734
-5.94597299,0.97343141,0.16818522,0.60750266,0.28084341,0.08573718,0.00049819,0.06252172,0.00792982,0.16698264
-5.93996998,0.95590200,0.17022897,0.59377922,0.28096548,0.08331232,0.00048239,0.06275796,0.00781727,0.16435123
-5.93396698,0.94073494,0.17271289,0.58149704,0.28249257,0.08128097,0.00047128,0.06303607,0.00765798,0.16209271
-5.92796398,0.92790031,0.17558707,0.57066061,0.28534552,0.07963972,0.00046455,0.06334527,0.00745535,0.16020720
-5.92196098,0.91734603,0.17880053,0.56125308,0.28942315,0.07838520,0.00046187,0.06367736,0.00721361,0.15869299
-5.91595798,0.90899030,0.18229890,0.55323280,0.29460035,0.07751365,0.00046284,0.06402573,0.00693767,0.15754437
-5.90995498,0.90271582,0.18602231,0.54653088,0.30072712,0.07702069,0.00046702,0.06438440,0.00663293,0.15674989
-5.90395198,0.89836617,0.18990377,0.54105008,0.30762864,0.07690141,0.00047390,0.06474711,0.00630512,0.15629104
-5.89794897,0.89574495,0.19386820,0.53666528,0.31510661,0.07715071,0.00048297,0.06510662,0.00596007,0.15614152
-5.89194597,0.89461793,0.19783219,0.53322562,0.32294179,0.07776393,0.00049370,0.06545416,0.00560358,0.15626713
-5.88594297,0.89471836,0.20170455,0.53055846,0.33089801,0.07873768,0.00050553,0.06577922,0.00524121,0.15662637
-5.87993997,0.89575529,0.20538772,0.52847505,0.33872725,0.08007099,0.00051794,0.06606951,0.00487817,0.15717160
-5.87393697,0.89742458,0.20877992,0.52677767,0.34617586,0.08176641,0.00053041,0.06631122,0.00451920,0.15785080
-5.86793397,0.89942210,0.21177802,0.52526802,0.35299168,0.08383131,0.00054247,0.06648953,0.00416846,0.15860978
-5.86193097,0.90145835,0.21428085,0.52375644,0.35893153,0.08627899,0.00055370,0.06658927,0.00382950,0.15939463
-5.85592796,0.90327369,0.21619293,0.52207148,0.36376903,0.08912969,0.00056376,0.06659581,0.00350522,0.16015441
-5.84992496,0.90465318,0.21742823,0.52006916,0.36730216,0.09241120,0.00057237,0.06649590,0.00319787,0.16084373
-5.84392196,0.90544005,0.21791381,0.51764166,0.36936021,0.09615913,0.00057935,0.06627862,0.00290908,0.16142511
-5.83791896,0.90554689,0.21759313,0.51472458,0.36980981,0.10041660,0.00058461,0.06593623,0.00263988,0.16187099
-5.83191596,0.90496369,0.21642872,0.51130242,0.36855964,0.10523340,0.00058818,0.06546485,0.00239081,0.16216512
