energy_ev,total_up,Bi_p_up,Bi_d_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,1.68319803,0.41035554,0.00508088,0.39923673,0.89779769,0.69572695,0.00000000
-5.99399700,1.72853873,0.41648710,0.00536296,0.41415969,0.91945025,0.71614196,0.00000000
-5.98799400,1.77530130,0.42234004,0.00567788,0.43011369,0.94159978,0.73698078,0.00000000
-5.98199100,1.82321179,0.42780400,0.00602412,0.44693269,0.96414445,0.75820656,0.00000000
-5.97598799,1.87205825,0.43279866,0.00639983,0.46446744,0.98701116,0.77980722,0.00000000
-5.96998499,1.92168548,0.43727271,0.00680275,0.48258443,1.01015342,0.80179219,0.00000000
-5.96398199,1.97198412,0.44120119,0.00723024,0.50116350,1.03354634,0.82418698,0.00000000
-5.95797899,2.02287487,0.44458130,0.00767920,0.52009408,1.05717912,0.84702548,0.00000000
-5.95197599,2.07428843,0.44742701,0.00814609,0.53927055,1.08104535,0.87034056,0.00000000
-5.94597299,2.12614263,0.44976293,0.00862688,0.55858689,1.10513164,0.89415328,0.00000000
-5.93996998,2.17831802,0.45161782,0.00911704,0.57793102,1.12940540,0.91846139,0.00000000
-5.93396698,2.23063372,0.45301809,0.00961155,0.59717933,1.15380260,0.94322787,0.00000000
-5.92796398,2.28282522,0.45398195,0.01010492,0.61619173,1.17821627,0.96837022,0.00000000
-5.92196098,2.33452592,0.45451437,0.01059118,0.63480767,1.20248680,0.99375136,0.00000000
-5.91595798,2.38525397,0.45460337,0.01106401,0.65284354,1.22639476,1.01917282,0.00000000
-5.90995498,2.43440570,0.45421779,0.01151674,0.67009165,1.24965704,1.04437094,0.00000000
-5.90395198,2.48125678,0.45330677,0.01194253,0.68632116,1.27192681,1.06901654,0.00000000
-5.89794897,2.52497149,0.45180095,0.01233444,0.70128091,1.29279761,1.09271839,0.00000000
-5.89194597,2.56462024,0.44961529,0.01268565,0.71470426,1.31181172,1.11503066,0.00000000
-5.88594297,2.59920497,0.44665339,0.01298957,0.72631578,1.32847260,1.13546412,0.00000000
