energy_ev,total_up,As_p_up,As_d_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up
-6.00000000,0.46897924,0.07443331,0.00000000,0.14219595,0.09503718,0.03097351,0.18850370
-5.99399700,0.47680856,0.07397823,0.00000000,0.14229764,0.09585769,0.03078199,0.19844366
-5.98799400,0.48526690,0.07335788,0.00000000,0.14213500,0.09704625,0.03067636,0.20904474
-5.98199100,0.49429753,0.07256406,0.00000000,0.14169118,0.09859544,0.03065618,0.22027379
-5.97598799,0.50384807,0.07159257,0.00000000,0.14095833,0.10049747,0.03072081,0.23208897
-5.96998499,0.51387012,0.07044374,0.00000000,0.13993844,0.10274400,0.03086947,0.24443778
-5.96398199,0.52431753,0.06912282,0.00000000,0.13864352,0.10532562,0.03110118,0.25725505
-5.95797899,0.53514375,0.06763999,0.00000000,0.13709525,0.10823115,0.03141464,0.27046097
-5.95197599,0.54629821,0.06601013,0.00000000,0.13532407,0.11144662,0.03180808,0.28395933
-5.94597299,0.55772204,0.06425235,0.00000000,0.13336772,0.11495415,0.03227896,0.29763625
-5.93996998,0.56934355,0.06238922,0.00000000,0.13126932,0.11873071,0.03282370,0.31135947
-5.93396698,0.58107373,0.06044586,0.00000000,0.12907515,0.12274694,0.03343735,0.32497844
-5.92796398,0.59280233,0.05844881,0.00000000,0.12683214,0.12696600,0.03411331,0.33832528
-5.92196098,0.60439485,0.05642493,0.00000000,0.12458536,0.13134279,0.03484302,0.35121675
-5.91595798,0.61569077,0.05440022,0.00000000,0.12237559,0.13582337,0.03561576,0.36345719
-5.90995498,0.62650340,0.05239873,0.00000000,0.12023707,0.14034486,0.03641854,0.37484252
-5.90395198,0.63662144,0.05044160,0.00000000,0.11819569,0.14483581,0.03723608,0.38516507
-5.89794897,0.64581244,0.04854628,0.00000000,0.11626758,0.14921708,0.03805093,0.39421916
-5.89194597,0.65382795,0.04672597,0.00000000,0.11445829,0.15340322,0.03884372,0.40180716
-5.88594297,0.66041033,0.04498928,0.00000000,0.11276257,0.15730436,0.03959352,0.40774583
-5.87993997,0.66530095,0.04334022,0.00000000,0.11116470,0.16082847,0.04027841,0.41187259
-5.87393697,0.66824917,0.04177836,0.00000000,0.10963947,0.16388408,0.04087600,0.41405141
-5.86793397,0.66902198,0.04029925,0.00000000,0.10815362,0.16638304,0.04136419,0.41417812
-5.86193097,0.66741357,0.03889507,0.00000000,0.10666773,0.16824358,0.04172184,0.41218469
-5.85592796,0.66325438,0.03755538,0.00000000,0.10513843,0.16939313,0.04192956,0.40804243
-5.84992496,0.65641923,0.03626804,0.00000000,0.10352077,0.16977111,0.04197039,0.40176386
-5.84392196,0.64683401,0.03502015,0.00000000,0.10177070,0.16933130,0.04183047,0.39340310
-5.83791896,0.63448065,0.03379900,0.00000000,0.09984744,0.16804384,0.04149962,0.38305483
-5.83191596,0.61939999,0.03259299,0.00000000,0.09771570,0.16589662,0.04097174,0.37085188
-5.82591296,0.60169264,0.03139247,0.00000000,0.09534752,0.16289612,0.04024511,0.35696143
-5.81990995,0.58151755,0.03019047,0.00000000,0.09272384,0.15906758,0.03932257,0.34158015
-5.81390695,0.55908852,0.02898323,0.00000000,0.08983555,0.15445453,0.03821140,0.32492845
-5.80790395,0.53466883,0.02777066,0.00000000,0.08668406,0.14911768,0.03692320,0.30724410
-5.80190095,0.50856423,0.02655659,0.00000000,0.08328147,0.14313323,0.03547352,0.28877545
-5.79589795,0.48111463,0.02534882,0.00000000,0.07965020,0.13659071,0.03388135,0.26977471
-5.78989495,0.45268501,0.02415906,0.00000000,0.07582220,0.12959043,0.03216855,0.25049132
-5.78389195,0.42365575,0.02300276,0.00000000,0.07183786,0.12224067,0.03035918,0.23116590
-5.77788894,0.39441300,0.02189873,0.00000000,0.06774462,0.11465467,0.02847878,0.21202479
-5.77188594,0.36533938,0.02086874,0.00000000,0.06359533,0.10694773,0.02655360,0.19327551
-5.76588294,0.33680538,0.01993699,0.00000000,0.05944653,0.09923425,0.02460992,0.17510312
-5.75987994,0.30916172,0.01912958,0.00000000,0.05535674,0.09162508,0.02267334,0.15766764
-5.75387694,0.28273294,0.01847386,0.00000000,0.05138475,0.08422515,0.02076819,0.14110249
-5.74787394,0.25781228,0.01799786,0.00000000,0.04758801,0.07713146,0.01891701,0.12551392
-5.74187094,0.23465804,0.01772961,0.00000000,0.04402123,0.07043143,0.01714015,0.11098135
-5.73586793,0.21349124,0.01769653,0.00000000,0.04073518,0.06420174,0.01545549,0.09755863
-5.72986493,0.19449466,0.01792482,0.00000000,0.03777570,0.05850756,0.01387821,0.08527579
-5.72386193,0.17781303,0.01843887,0.00000000,0.03518295,0.05340221,0.01242084,0.07414154
-5.71785893,0.16355433,0.01926065,0.00000000,0.03299096,0.04892718,0.01109318,0.06414603
-5.71185593,0.15179178,0.02040918,0.00000000,0.03122729,0.04511245,0.00990258,0.05526385
-5.70585293,0.14256662,0.02190004,0.00000000,0.02991300,0.04197712,0.00885406,0.04745719
-5.69984992,0.13589120,0.02374488,0.00000000,0.02906275,0.03953020,0.00795068,0.04067892
-5.69384692,0.13175238,0.02595103,0.00000000,0.02868499,0.03777158,0.00719383,0.03487550
-5.68784392,0.13011487,0.02852118,0.00000000,0.02878238,0.03669303,0.00658361,0.02998967
-5.68184092,0.13092459,0.03145307,0.00000000,0.02935214,0.03627925,0.00611922,0.02596287
-5.67583792,0.13411173,0.03473939,0.00000000,0.03038657,0.03650895,0.00579928,0.02273714
-5.66983492,0.13959345,0.03836767,0.00000000,0.03187351,0.03735576,0.00562218,0.02025680
-5.66383192,0.14727626,0.04232033,0.00000000,0.03379681,0.03878916,0.00558636,0.01846954
-5.65782891,0.15705779,0.04657487,0.00000000,0.03613680,0.04077524,0.00569056,0.01732723
-5.65182591,0.16882825,0.05110413,0.00000000,0.03887071,0.04327733,0.00593398,0.01678621
-5.64582291,0.18247123,0.05587665,0.00000000,0.04197303,0.04625653,0.00631637,0.01680728
-5.63981991,0.19786411,0.06085718,0.00000000,0.04541579,0.04967210,0.00683804,0.01735531
-5.63381691,0.21487796,0.06600721,0.00000000,0.04916884,0.05348169,0.00749984,0.01839860
-5.62781391,0.23337701,0.07128557,0.00000000,0.05320000,0.05764154,0.00830296,0.01990801
-5.62181091,0.25321780,0.07664904,0.00000000,0.05747518,0.06210645,0.00924873,0.02185588
-5.61580790,0.27424799,0.08205303,0.00000000,0.06195847,0.06682980,0.01033833,0.02421489
-5.60980490,0.29630500,0.08745212,0.00000000,0.06661209,0.07176343,0.01157243,0.02695689
