energy_ev,total_up,Al_p_up,Al_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,4.59803169,0.89928829,0.00000000,1.63217092,0.00000000,1.56576921,2.03526195
-5.99399700,4.65752615,0.90046536,0.00000000,1.65364253,0.00000000,1.59126628,2.06834799
-5.98799400,4.71316929,0.90081164,0.00000000,1.67116820,0.00000000,1.61537699,2.10018940
-5.98199100,4.76518956,0.90053113,0.00000000,1.68464432,0.00000000,1.63831777,2.13078418
-5.97598799,4.81386255,0.89980951,0.00000000,1.69405533,0.00000000,1.66036736,2.16013563
-5.96998499,4.85950052,0.89880939,0.00000000,1.69947430,0.00000000,1.68186096,2.18824976
-5.96398199,4.90243982,0.89766627,0.00000000,1.70106001,0.00000000,1.70318217,2.21513231
-5.95797899,4.94302672,0.89648549,0.00000000,1.69905058,0.00000000,1.72475268,2.24078556
-5.95197599,4.98160191,0.89533992,0.00000000,1.69375380,0.00000000,1.74702016,2.26520496
-5.94597299,5.01848418,0.89426855,0.00000000,1.68553460,0.00000000,1.77044447,2.28837583
-5.93996998,5.05395404,0.89327585,0.00000000,1.67480019,0.00000000,1.79548279,2.31027026
-5.93396698,5.08823801,0.89233194,0.00000000,1.66198356,0.00000000,1.82257390,2.33084453
-5.92796398,5.12149425,0.89137365,0.00000000,1.64752604,0.00000000,1.85212224,2.35003713
-5.92196098,5.15380043,0.89030642,0.00000000,1.63185996,0.00000000,1.88448221,2.36776771
-5.91595798,5.18514447,0.88900707,0.00000000,1.61539185,0.00000000,1.91994300,2.38393703
-5.90995498,5.21541875,0.88732753,0.00000000,1.59848745,0.00000000,1.95871471,2.39842801
-5.90395198,5.24441810,0.88509947,0.00000000,1.58145874,0.00000000,2.00091589,2.41110790
-5.89794897,5.27184201,0.88213985,0.00000000,1.56455398,0.00000000,2.04656302,2.42183162
-5.89194597,5.29730084,0.87825722,0.00000000,1.54795089,0.00000000,2.09556222,2.43044591
-5.88594297,5.32032599,0.87325888,0.00000000,1.53175344,0.00000000,2.14770360,2.43679433
-5.87993997,5.34038366,0.86695844,0.00000000,1.51599213,0.00000000,2.20265828,2.44072277
-5.87393697,5.35689161,0.85918382,0.00000000,1.50062788,0.00000000,2.25997854,2.44208508
-5.86793397,5.36923827,0.84978539,0.00000000,1.48555905,0.00000000,2.31910111,2.44074875
-5.86193097,5.37680358,0.83864379,0.00000000,1.47063130,0.00000000,2.37935380,2.43660013
-5.85592796,5.37898069,0.82567750,0.00000000,1.45564981,0.00000000,2.43996548,2.42954917
