energy_ev,total_up,Au_p_up,Au_d_up,Ga_p_up,Ga_d_up,Te_p_up,Te_d_up
-6.00000000,7.94598856,1.04035295,6.84689325,0.25747144,0.00000000,0.76976459,0.00000000
-5.99399700,7.75240079,1.01675032,6.67500384,0.25192321,0.00000000,0.74862797,0.00000000
-5.98799400,7.56281383,0.99679063,6.50366877,0.24720583,0.00000000,0.72929608,0.00000000
-5.98199100,7.37783957,0.98022370,6.33369162,0.24329012,0.00000000,0.71173252,0.00000000
-5.97598799,7.19809437,0.96674659,6.16592137,0.24014097,0.00000000,0.69587880,0.00000000
-5.96998499,7.02419418,0.95601425,6.00123979,0.23771826,0.00000000,0.68165758,0.00000000
-5.96398199,6.85674614,0.94765073,5.84054556,0.23597771,0.00000000,0.66897552,0.00000000
-5.95797899,6.69633753,0.94126067,5.68473595,0.23487146,0.00000000,0.65772599,0.00000000
-5.95197599,6.54352283,0.93644050,5.53468720,0.23434860,0.00000000,0.64779144,0.00000000
-5.94597299,6.39880992,0.93278903,5.39123470,0.23435555,0.00000000,0.63904556,0.00000000
-5.93996998,6.26264676,0.92991704,5.25515420,0.23483629,0.00000000,0.63135510,0.00000000
-5.93396698,6.13540973,0.92745569,5.12714538,0.23573253,0.00000000,0.62458171,0.00000000
-5.92796398,6.01739465,0.92506353,5.00781870,0.23698388,0.00000000,0.61858361,0.00000000
-5.92196098,5.90881176,0.92243199,4.89768653,0.23852799,0.00000000,0.61321739,0.00000000
-5.91595798,5.80978502,0.91928932,4.79715920,0.24030089,0.00000000,0.60833990,0.00000000
-5.90995498,5.72035649,0.91540314,4.70654613,0.24223730,0.00000000,0.60381040,0.00000000
-5.90395198,5.64049558,0.91058154,4.62606217,0.24427130,0.00000000,0.59949291,0.00000000
-5.89794897,5.57011297,0.90467306,4.55583851,0.24633707,0.00000000,0.59525882,0.00000000
-5.89194597,5.50907845,0.89756561,4.49593770,0.24836994,0.00000000,0.59098970,0.00000000
-5.88594297,5.45724159,0.88918464,4.44637143,0.25030763,0.00000000,0.58658029,0.00000000
-5.87993997,5.41445393,0.87949075,4.40711995,0.25209162,0.00000000,0.58194141,0.00000000
-5.87393697,5.38059105,0.86847688,4.37815155,0.25366871,0.00000000,0.57700282,0.00000000
-5.86793397,5.35557287,0.85616536,4.35944060,0.25499260,0.00000000,0.57171577,0.00000000
-5.86193097,5.33938050,0.84260490,4.35098261,0.25602547,0.00000000,0.56605512,0.00000000
