energy_ev,total_up,Au_p_up,Au_d_up,Bi_p_up,Bi_d_up,Se_s_up,Se_p_up
-6.00000000,3.23703993,0.30165005,2.82063940,0.27943351,0.00620403,0.04195336,0.13123112
-5.99399700,3.19714851,0.29866262,2.78439838,0.27622543,0.00608465,0.04086524,0.13216311
-5.98799400,3.15775456,0.29591146,2.74843548,0.27297999,0.00597003,0.03973215,0.13321844
-5.98199100,3.11977702,0.29347484,2.71356037,0.26977772,0.00586399,0.03857404,0.13441427
-5.97598799,3.08409474,0.29142216,2.68055514,0.26669237,0.00577018,0.03741021,0.13576512
-5.96998499,3.05152663,0.28981124,2.65015774,0.26378873,0.00569201,0.03625881,0.13728232
-5.96398199,3.02281309,0.28868584,2.62304644,0.26112068,0.00563257,0.03513636,0.13897357
-5.95797899,2.99859921,0.28807350,2.59982543,0.25872957,0.00559458,0.03405736,0.14084249
-5.95197599,2.97942039,0.28798391,2.58101226,0.25664293,0.00558029,0.03303388,0.14288836
-5.94597299,2.96569054,0.28840780,2.56702711,0.25487368,0.00559146,0.03207538,0.14510580
-5.93996998,2.95769340,0.28931646,2.55818442,0.25341976,0.00562934,0.03118848,0.14748465
-5.93396698,2.95557690,0.29066196,2.55468672,0.25226420,0.00569464,0.03037696,0.15000997
-5.92796398,2.95935087,0.29237797,2.55662102,0.25137580,0.00578750,0.02964182,0.15266205
-5.92196098,2.96888798,0.29438128,2.56395761,0.25071016,0.00590755,0.02898141,0.15541667
-5.91595798,2.98392781,0.29657400,2.57655133,0.25021124,0.00605386,0.02839176,0.15824534
-5.90995498,3.00408401,0.29884614,2.59414525,0.24981327,0.00622506,0.02786688,0.16111579
-5.90395198,3.02885421,0.30107884,2.61637670,0.24944296,0.00641928,0.02739923,0.16399245
-5.89794897,3.05763261,0.30314777,2.64278548,0.24902202,0.00663427,0.02698022,0.16683709
-5.89194597,3.08972475,0.30492690,2.67282419,0.24846979,0.00686742,0.02660064,0.16960956
-5.88594297,3.12436436,0.30629219,2.70587052,0.24770591,0.00711585,0.02625129,0.17226853
-5.87993997,3.16073169,0.30712539,2.74124120,0.24665305,0.00737641,0.02592338,0.17477233
-5.87393697,3.19797319,0.30731752,2.77820747,0.24523941,0.00764582,0.02560902,0.17707986
-5.86793397,3.23522186,0.30677214,2.81601179,0.24340111,0.00792070,0.02530162,0.17915140
-5.86193097,3.27161799,0.30540818,2.85388529,0.24108422,0.00819763,0.02499619,0.18094955
-5.85592796,3.30632968,0.30316224,2.89106581,0.23824650,0.00847327,0.02468954,0.18244003
-5.84992496,3.33857265,0.29999035,2.92681577,0.23485868,0.00874435,0.02438041,0.18359246
-5.84392196,3.36762880,0.29586911,2.96043968,0.23090537,0.00900780,0.02406947,0.18438110
-5.83791896,3.39286307,0.29079621,2.99130058,0.22638545,0.00926078,0.02375926,0.18478545
-5.83191596,3.41373790,0.28479026,3.01883491,0.22131208,0.00950074,0.02345397,0.18479077
-5.82591296,3.42982510,0.27789010,3.04256543,0.21571220,0.00972549,0.02315923,0.18438842
-5.81990995,3.44081445,0.27015344,3.06211157,0.20962567,0.00993319,0.02288173,0.18357615
-5.81390695,3.44651906,0.26165514,3.07719701,0.20310399,0.01012242,0.02262894,0.18235817
-5.80790395,3.44687699,0.25248491,3.08765404,0.19620878,0.01029220,0.02240862,0.18074512
-5.80190095,3.44194931,0.24274480,3.09342470,0.18900998,0.01044200,0.02222854,0.17875381
-5.79589795,3.43191461,0.23254642,3.09455850,0.18158379,0.01057172,0.02209601,0.17640693
-5.78989495,3.41706010,0.22200799,3.09120704,0.17401064,0.01068168,0.02201758,0.17373254
-5.78389195,3.39776981,0.21125136,3.08361552,0.16637301,0.01077264,0.02199875,0.17076344
-5.77788894,3.37451022,0.20039913,3.07211174,0.15875334,0.01084571,0.02204372,0.16753648
-5.77188594,3.34781395,0.18957184,3.05709285,0.15123203,0.01090233,0.02215520,0.16409173
-5.76588294,3.31826209,0.17888539,3.03901061,0.14388555,0.01094423,0.02233431,0.16047161
-5.75987994,3.28646597,0.16844879,3.01835554,0.13678481,0.01097336,0.02258055,0.15671995
-5.75387694,3.25304881,0.15836212,2.99564082,0.12999376,0.01099182,0.02289183,0.15288109
-5.74787394,3.21862817,0.14871498,2.97138636,0.12356826,0.01100183,0.02326451,0.14899891
-5.74187094,3.18379962,0.13958527,2.94610375,0.11755520,0.01100561,0.02369357,0.14511597
-5.73586793,3.14912215,0.13103829,2.92028257,0.11199201,0.01100537,0.02417277,0.14127262
-5.72986493,3.11510584,0.12312632,2.89437840,0.10690638,0.01100320,0.02469484,0.13750633
-5.72386193,3.08220199,0.11588855,2.86880304,0.10231629,0.01100106,0.02525170,0.13385095
-5.71785893,3.05079591,0.10935126,2.84391692,0.09823032,0.01100070,0.02583472,0.13033624
-5.71185593,3.02120239,0.10352839,2.82002395,0.09464816,0.01100366,0.02643487,0.12698745
-5.70585293,2.99366379,0.09842230,2.79736871,0.09156130,0.01101118,0.02704302,0.12382506
-5.69984992,2.96835055,0.09402478,2.77613583,0.08895393,0.01102422,0.02765012,0.12086466
-5.69384692,2.94536384,0.09031811,2.75645136,0.08680390,0.01104344,0.02824737,0.11811701
-5.68784392,2.92473993,0.08727634,2.73838583,0.08508376,0.01106920,0.02882642,0.11558815
-5.68184092,2.90645601,0.08486654,2.72195858,0.08376183,0.01110154,0.02937946,0.11327972
-5.67583792,2.89043693,0.08305006,2.70714316,0.08280326,0.01114023,0.02989943,0.11118931
-5.66983492,2.87656246,0.08178375,2.69387321,0.08217109,0.01118473,0.03038001,0.10931097
-5.66383192,2.86467476,0.08102117,2.68204862,0.08182712,0.01123427,0.03081580,0.10763573
-5.65782891,2.85458573,0.08071360,2.67154173,0.08173285,0.01128784,0.03120227,0.10615216
-5.65182591,2.84608393,0.08081105,2.66220316,0.08185016,0.01134420,0.03153589,0.10484698
-5.64582291,2.83894102,0.08126310,2.65386737,0.08214202,0.01140196,0.03181407,0.10370566
-5.63981991,2.83291765,0.08201963,2.64635762,0.08257294,0.01145954,0.03203520,0.10271297
-5.63381691,2.82776877,0.08303140,2.63949064,0.08310947,0.01151526,0.03219865,0.10185352
-5.62781391,2.82324846,0.08425068,2.63308084,0.08372042,0.01156734,0.03230470,0.10111222
-5.62181091,2.81911455,0.08563156,2.62694433,0.08437718,0.01161393,0.03235458,0.10047472
-5.61580790,2.81513311,0.08713045,2.62090293,0.08505381,0.01165318,0.03235041,0.09992773
-5.60980490,2.81108292,0.08870633,2.61478815,0.08572714,0.01168325,0.03229514,0.09945928
-5.60380190,2.80676030,0.09032105,2.60844556,0.08637688,0.01170237,0.03219258,0.09905895
-5.59779890,2.80198418,0.09193962,2.60173937,0.08698555,0.01170889,0.03204732,0.09871792
-5.59179590,2.79660146,0.09353041,2.59455736,0.08753852,0.01170133,0.03186473,0.09842910
-5.58579290,2.79049275,0.09506540,2.58681608,0.08802392,0.01167847,0.03165089,0.09818704
-5.57978989,2.78357810,0.09652036,2.57846620,0.08843264,0.01163938,0.03141264,0.09798787
-5.57378689,2.77582267,0.09787504,2.56949769,0.08875817,0.01158351,0.03115745,0.09782918
-5.56778389,2.76724190,0.09911325,2.55994469,0.08899653,0.01151073,0.03089346,0.09770981
-5.56178089,2.75790589,0.10022295,2.54988960,0.08914608,0.01142142,0.03062941,0.09762963
-5.55577789,2.74794271,0.10119625,2.53946619,0.08920732,0.01131649,0.03037455,0.09758931
-5.54977489,2.73754012,0.10202937,2.52886135,0.08918266,0.01119743,0.03013863,0.09758998
-5.54377189,2.72694567,0.10272239,2.51831527,0.08907613,0.01106633,0.02993174,0.09763305
-5.53776888,2.71646487,0.10327912,2.50811988,0.08889304,0.01092590,0.02976423,0.09771987
-5.53176588,2.70645738,0.10370673,2.49861548,0.08863967,0.01077943,0.02964659,0.09785155
-5.52576288,2.69733135,0.10401538,2.49018560,0.08832287,0.01063077,0.02958924,0.09802877
-5.51975988,2.68953600,0.10421781,2.48325018,0.08794970,0.01048426,0.02960237,0.09825169
-5.51375688,2.68355275,0.10432888,2.47825744,0.08752714,0.01034467,0.02969573,0.09851990
-5.50775388,2.67988520,0.10436513,2.47567455,0.08706178,0.01021705,0.02987845,0.09883253
-5.50175088,2.67904839,0.10434436,2.47597756,0.08655959,0.01010667,0.03015872,0.09918843
-5.49574787,2.68155768,0.10428524,2.47964095,0.08602583,0.01001887,0.03054363,0.09958647
-5.48974487,2.68791765,0.10420700,2.48712701,0.08546496,0.00995890,0.03103891,0.10002592
-5.48374187,2.69861123,0.10412922,2.49887537,0.08488077,0.00993179,0.03164871,0.10050693
-5.47773887,2.71408931,0.10407167,2.51529298,0.08427654,0.00994220,0.03237534,0.10103109
