energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,11.09602095,0.00536695,0.02823091,0.05957496,0.16348443,0.11221449,10.59809636
-5.99399700,11.12151882,0.00551891,0.02729995,0.05969393,0.16085592,0.10990085,10.61682371
-5.98799400,11.13513202,0.00571701,0.02632878,0.05968223,0.15815451,0.10760772,10.62406894
-5.98199100,11.13552774,0.00596739,0.02532193,0.05955840,0.15536617,0.10533569,10.61856311
-5.97598799,11.12147864,0.00627671,0.02428515,0.05934275,0.15248040,0.10308777,10.59913840
-5.96998499,11.09187623,0.00665209,0.02322526,0.05905667,0.14949053,0.10086951,10.56474050
-5.96398199,11.04574461,0.00710109,0.02214996,0.05872177,0.14639390,0.09868898,10.51444132
-5.95797899,10.98225522,0.00763164,0.02106764,0.05835918,0.14319206,0.09655676,10.44745258
-5.95197599,10.90074263,0.00825191,0.01998712,0.05798884,0.13989078,0.09448576,10.36314044
-5.94597299,10.80072131,0.00897026,0.01891748,0.05762889,0.13650002,0.09249114,10.26104105
-5.93996998,10.68190279,0.00979505,0.01786781,0.05729522,0.13303378,0.09058999,10.14087663
-5.93396698,10.54421232,0.01073449,0.01684705,0.05700100,0.12950985,0.08880107,10.00257116
-5.92796398,10.38780398,0.01179647,0.01586373,0.05675653,0.12594945,0.08714439,9.84626490
-5.92196098,10.21307274,0.01298828,0.01492589,0.05656902,0.12237674,0.08564070,9.67232612
-5.91595798,10.02066220,0.01431635,0.01404084,0.05644265,0.11881821,0.08431097,9.48135901
-5.90995498,9.81146636,0.01578597,0.01321508,0.05637860,0.11530199,0.08317570,9.27420627
-5.90395198,9.58662448,0.01740091,0.01245416,0.05637529,0.11185701,0.08225415,9.05194525
-5.89794897,9.34750782,0.01916309,0.01176258,0.05642860,0.10851211,0.08156357,8.81587666
-5.89194597,9.09569795,0.02107219,0.01114372,0.05653215,0.10529509,0.08111832,8.56750542
-5.88594297,8.83295643,0.02312525,0.01059977,0.05667767,0.10223175,0.08092901,8.30851340
-5.87993997,8.56118654,0.02531633,0.01013167,0.05685530,0.09934486,0.08100161,8.04072469
-5.87393697,8.28238802,0.02763614,0.00973913,0.05705391,0.09665330,0.08133667,7.76606408
-5.86793397,7.99860650,0.03007179,0.00942059,0.05726140,0.09417120,0.08192859,7.48651036
-5.86193097,7.71187960,0.03260656,0.00917324,0.05746499,0.09190723,0.08276506,7.20404622
-5.85592796,7.42418209,0.03521981,0.00899307,0.05765142,0.08986406,0.08382664,6.92060689
