energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,2.63265855,0.01869241,0.44565289,0.43677506,0.33843499,1.85559953,0.86504458,0.02326447,0.81922173
-5.99399700,2.68956888,0.01875496,0.45763134,0.44487172,0.34801998,1.89766049,0.88709556,0.02364634,0.83289570
-5.98799400,2.74746064,0.01878312,0.47016674,0.45354258,0.35716933,1.93942169,0.90978117,0.02412071,0.84651763
-5.98199100,2.80614613,0.01877211,0.48315545,0.46279227,0.36582996,1.98057756,0.93297165,0.02468625,0.86015543
-5.97598799,2.86533975,0.01871717,0.49647353,0.47259532,0.37394500,2.02079831,0.95650680,0.02533843,0.87384888
-5.96998499,2.92466123,0.01861388,0.50997931,0.48289607,0.38145484,2.05973950,0.98019845,0.02606947,0.88760681
-5.96398199,2.98364367,0.01845830,0.52351686,0.49361000,0.38829868,2.09705327,1.00383429,0.02686853,0.90140588
-5.95797899,3.04174609,0.01824727,0.53692004,0.50462621,0.39441638,2.13240048,1.02718290,0.02772191,0.91519101
-5.95197599,3.09836985,0.01797855,0.55001707,0.51581106,0.39975066,2.16546318,1.04999996,0.02861343,0.92887735
-5.94597299,3.15287829,0.01765104,0.56263544,0.52701279,0.40424947,2.19595665,1.07203513,0.02952480,0.94235368
-5.93996998,3.20461845,0.01726480,0.57460688,0.53806678,0.40786843,2.22364035,1.09303952,0.03043619,0.95548699
-5.93396698,3.25294410,0.01682121,0.58577214,0.54880145,0.41057322,2.24832702,1.11277333,0.03132677,0.96812808
-5.92796398,3.29723876,0.01632286,0.59598551,0.55904424,0.41234190,2.26988950,1.13101336,0.03217533,0.98011778
-5.92196098,3.33693791,0.01577361,0.60511873,0.56862777,0.41316680,2.28826477,1.14756004,0.03296092,0.99129359
-5.91595798,3.37154935,0.01517840,0.61306418,0.57739558,0.41305623,2.30345508,1.16224372,0.03366348,1.00149650
-5.90995498,3.40067088,0.01454315,0.61973719,0.58520765,0.41203558,2.31552596,1.17492991,0.03426449,1.01057765
-5.90395198,3.42400462,0.01387461,0.62507751,0.59194511,0.41014804,2.32460150,1.18552330,0.03474747,1.01840461
-5.89794897,3.44136764,0.01318010,0.62904973,0.59751437,0.40745472,2.33085696,1.19397049,0.03509853,1.02486715
-5.89194597,3.45269850,0.01246738,0.63164280,0.60185031,0.40403419,2.33450956,1.20026111,0.03530675,1.02988233
