energy_ev,total_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,0.07946767,0.01311751,0.02309945,0.00006593,0.00214241,0.00000581,0.02664470
-5.99399700,0.07923531,0.01309905,0.02298585,0.00008564,0.00213442,0.00000753,0.02659409
-5.98799400,0.07854661,0.01301079,0.02272695,0.00011044,0.00211366,0.00000970,0.02639796
-5.98199100,0.07744552,0.01286104,0.02233312,0.00014141,0.00208124,0.00001241,0.02607246
-5.97598799,0.07598968,0.01266055,0.02181838,0.00017977,0.00203861,0.00001577,0.02563854
-5.96998499,0.07424933,0.01242233,0.02120006,0.00022689,0.00198757,0.00001991,0.02512154
-5.96398199,0.07230578,0.01216137,0.02049837,0.00028432,0.00193021,0.00002494,0.02455074
-5.95797899,0.07024957,0.01189442,0.01973586,0.00035372,0.00186887,0.00003103,0.02395870
-5.95197599,0.06817844,0.01163958,0.01893688,0.00043691,0.00180607,0.00003833,0.02338055
-5.94597299,0.06619497,0.01141597,0.01812692,0.00053578,0.00174449,0.00004701,0.02285317
-5.93996998,0.06440423,0.01124329,0.01733200,0.00065231,0.00168688,0.00005724,0.02241439
-5.93396698,0.06291130,0.01114146,0.01657807,0.00078849,0.00163603,0.00006920,0.02210204
-5.92796398,0.06181885,0.01113018,0.01589039,0.00094626,0.00159469,0.00008305,0.02195309
-5.92196098,0.06122489,0.01122859,0.01529303,0.00112744,0.00156557,0.00009897,0.02200284
-5.91595798,0.06122058,0.01145489,0.01480838,0.00133367,0.00155124,0.00011709,0.02228400
-5.90995498,0.06188841,0.01182608,0.01445678,0.00156631,0.00155417,0.00013755,0.02282606
-5.90395198,0.06330063,0.01235770,0.01425627,0.00182633,0.00157666,0.00016042,0.02365455
-5.89794897,0.06551806,0.01306375,0.01422237,0.00211424,0.00162087,0.00018576,0.02479061
-5.89194597,0.06858932,0.01395659,0.01436805,0.00242997,0.00168882,0.00021358,0.02625056
-5.88594297,0.07255055,0.01504708,0.01470378,0.00277283,0.00178240,0.00024382,0.02804571
-5.87993997,0.07742566,0.01634471,0.01523767,0.00314139,0.00190347,0.00027636,0.03018239
-5.87393697,0.08322704,0.01785798,0.01597581,0.00353342,0.00205383,0.00031104,0.03266209
-5.86793397,0.08995694,0.01959489,0.01692257,0.00394591,0.00223537,0.00034759,0.03548194
-5.86193097,0.09760929,0.02156352,0.01808113,0.00437499,0.00245015,0.00038572,0.03863531
-5.85592796,0.10617208,0.02377280,0.01945399,0.00481602,0.00270042,0.00042502,0.04211268
-5.84992496,0.11563018,0.02623339,0.02104359,0.00526358,0.00298885,0.00046508,0.04590271
-5.84392196,0.12596850,0.02895863,0.02285293,0.00571163,0.00331853,0.00050538,0.04999343
-5.83791896,0.13717536,0.03196553,0.02488618,0.00615355,0.00369314,0.00054540,0.05437364
-5.83191596,0.14924601,0.03527585,0.02714924,0.00658238,0.00411702,0.00058458,0.05903428
-5.82591296,0.16218585,0.03891700,0.02965029,0.00699095,0.00459528,0.00062234,0.06396987
-5.81990995,0.17601349,0.04292298,0.03240010,0.00737207,0.00513384,0.00065812,0.06917980
