energy_ev,total_up,Bi_p_up,Bi_d_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,7.19342415,1.62755676,0.01460572,2.65715533,3.85816898,0.03150781,2.04001005
-5.99399700,7.25297969,1.63406335,0.01475751,2.65161563,3.90986199,0.03188505,2.05540404
-5.98799400,7.29702103,1.63775201,0.01489061,2.64331680,3.95149086,0.03229390,2.06577823
-5.98199100,7.32377337,1.63818467,0.01500053,2.63150287,3.98211038,0.03272135,2.07070225
-5.97598799,7.33168821,1.63492361,0.01508309,2.61545559,4.00093258,0.03315392,2.06984973
-5.96998499,7.31952608,1.62755278,0.01513465,2.59452926,4.00736947,0.03357845,2.06301741
-5.96398199,7.28643348,1.61569991,0.01515224,2.56818342,4.00107214,0.03398290,2.05014108
-5.95797899,7.23200931,1.59905806,0.01513385,2.53601186,3.98196339,0.03435714,2.03130715
-5.95197599,7.15635642,1.57740555,0.01507849,2.49776600,3.95026195,0.03469362,2.00675892
-5.94597299,7.06011462,1.55062307,0.01498636,2.45337158,3.90649606,0.03498799,1.97689690
-5.93996998,6.94447249,1.51870709,0.01485888,2.40293764,3.85150527,0.03523960,1.94227270
-5.93396698,6.81115643,1.48177868,0.01469871,2.34675726,3.78642954,0.03545176,1.90357658
-5.92796398,6.66239674,1.44008738,0.01450970,2.28530014,3.71268567,0.03563192,1.86161882
-5.92196098,6.50087167,1.39400973,0.01429678,2.21919728,3.63193174,0.03579163,1.81730582
-5.91595798,6.32963180,1.34404258,0.01406583,2.14921874,3.54602085,0.03594634,1.77161171
-5.90995498,6.15200814,1.29079145,0.01382342,2.07624570,3.45694624,0.03611500,1.72554688
-5.90395198,5.97150815,1.23495457,0.01357665,2.00123816,3.36678015,0.03631959,1.68012483
-5.89794897,5.79170475,1.17730319,0.01333284,1.92520020,3.27760936,0.03658441,1.63632897
-5.89194597,5.61612358,1.11865926,0.01309928,1.84914445,3.19147048,0.03693538,1.59508094
-5.88594297,5.44813392,1.05987145,0.01288298,1.77405763,3.11028794,0.03739922,1.55721206
-5.87993997,5.29084848,1.00179049,0.01269040,1.70086878,3.03581775,0.03800259,1.52343919
-5.87393697,5.14703653,0.94524503,0.01252721,1.63042179,2.96959954,0.03877121,1.49434638
-5.86793397,5.01905428,0.89101883,0.01239815,1.56345324,2.91291912,0.03972907,1.47037299
-5.86193097,4.90879550,0.83983033,0.01230684,1.50057664,2.86678304,0.04089763,1.45180894
-5.85592796,4.81766392,0.79231515,0.01225569,1.44227330,2.83190630,0.04229507,1.43879729
-5.84992496,4.74656821,0.74901214,0.01224586,1.38889033,2.80871324,0.04393572,1.43134393
-5.84392196,4.69593895,0.71035333,0.01227725,1.34064510,2.79735140,0.04582945,1.42933390
-5.83791896,4.66576593,0.67665791,0.01234859,1.29763599,2.79771720,0.04798131,1.43255340
-5.83191596,4.65565330,0.64813020,0.01245748,1.25985832,2.80949186,0.05039118,1.44071648
-5.82591296,4.66488899,0.62486152,0.01260055,1.22722454,2.83218542,0.05305358,1.45349486
-5.81990995,4.69252468,0.60683549,0.01277367,1.19958734,2.86518646,0.05595760,1.47054962
-5.81390695,4.73746172,0.59393648,0.01297209,1.17676457,2.90781474,0.05908692,1.49156285
-5.80790395,4.79853856,0.58596061,0.01319067,1.15856449,2.95937408,0.06241995,1.51626788
-5.80190095,4.87461532,0.58262867,0.01342412,1.14481015,3.01920263,0.06593013,1.54447648
-5.79589795,4.96465105,0.58360058,0.01366720,1.13536187,3.08671794,0.06958629,1.57610149
-5.78989495,5.06777017,0.58849048,0.01391496,1.13013658,3.16145467,0.07335313,1.61117382
-5.78389195,5.18331471,0.59688213,0.01416293,1.12912337,3.24309277,0.07719182,1.64985258
-5.77788894,5.31087992,0.60834393,0.01440731,1.13239459,3.33147492,0.08106071,1.69242796
-5.77188594,5.45033160,0.62244303,0.01464515,1.14011190,3.42661205,0.08491612,1.73931609
-5.76588294,5.60180424,0.63875817,0.01487445,1.15252713,3.52867677,0.08871322,1.79104608
-5.75987994,5.76568014,0.65689077,0.01509431,1.16997784,3.63798483,0.09240696,1.84823943
-5.75387694,5.94255014,0.67647399,0.01530494,1.19287762,3.75496532,0.09595309,1.91158239
-5.74787394,6.13315806,0.69717953,0.01550775,1.22170157,3.88012114,0.09930915,1.98179232
-5.74187094,6.33833104,0.71872201,0.01570528,1.25696709,4.01398138,0.10243552,2.05957922
-5.73586793,6.55889915,0.74086085,0.01590117,1.29921088,4.15704806,0.10529637,2.14560399
-5.72986493,6.79560800,0.76339975,0.01610009,1.34896268,4.30973975,0.10786062,2.24043513
-5.72386193,7.04902853,0.78618391,0.01630756,1.40671669,4.47233496,0.11010271,2.34450586
-5.71785893,7.31946850,0.80909513,0.01652979,1.47290173,4.64491834,0.11200333,2.45807340
-5.71185593,7.60689024,0.83204529,0.01677352,1.54785120,4.82733256,0.11354990,2.58118272
-5.70585293,7.91083923,0.85496848,0.01704574,1.63177411,5.01913882,0.11473701,2.71363635
-5.69984992,8.23038757,0.87781241,0.01735350,1.72472858,5.21958830,0.11556648,2.85497219
-5.69384692,8.56409628,0.90052948,0.01770363,1.82659904,5.42760698,0.11604735,3.00445072
-5.68784392,8.90999937,0.92306824,0.01810254,1.93707865,5.64179501,0.11619566,3.16105279
-5.68184092,9.26561179,0.94536573,0.01855594,2.05565798,5.86044191,0.11603392,3.32348872
-5.67583792,9.62796265,0.96734117,0.01906872,2.18162135,6.08155745,0.11559056,3.49021906
-5.66983492,9.99365354,0.98889160,0.01964475,2.31405152,6.30291801,0.11489907,3.65948674
-5.66383192,10.35894108,1.00988977,0.02028678,2.45184340,6.52212680,0.11399717,3.82935992
-5.65782891,10.71984107,1.03018453,0.02099641,2.59372708,6.73668609,0.11292578,3.99778433
-5.65182591,11.07225107,1.04960389,0.02177409,2.73829987,6.94407862,0.11172796,4.16264321
-5.64582291,11.41208657,1.06796064,0.02261917,2.88406666,7.14185504,0.11044794,4.32182294
-5.63981991,11.73542555,1.08506039,0.02353008,3.02948759,7.32772360,0.10913002,4.47328158
-5.63381691,12.03865519,1.10071163,0.02450444,3.17303111,7.49963823,0.10781770,4.61511776
-5.62781391,12.31861416,1.11473725,0.02553935,3.31323047,7.65588088,0.10655277,4.74563682
-5.62181091,12.57272404,1.12698698,0.02663157,3.44874125,7.79513451,0.10537457,4.86341156
-5.61580790,12.79910317,1.13734995,0.02777782,3.57839685,7.91654272,0.10431940,4.96733457
-5.60980490,12.99665725,1.14576653,0.02897504,3.70125951,8.01975339,0.10342000,5.05665981
-5.60380190,13.16514152,1.15223873,0.03022057,3.81666364,8.10494348,0.10270524,5.13103144
-5.59779890,13.30519055,1.15683833,0.03151239,3.92424901,8.17282358,0.10219985,5.19049811
-5.59179590,13.41831312,1.15971205,0.03284921,4.02398148,8.22462133,0.10192432,5.23551207
-5.58579290,13.50685124,1.16108327,0.03423056,4.11615945,8.26204377,0.10189489,5.26691263
-5.57978989,13.57390375,1.16124973,0.03565679,4.20140495,8.28721987,0.10212360,5.28589451
-5.57378689,13.62321697,1.16057723,0.03712895,4.28063911,8.30262509,0.10261844,5.29396221
-5.56778389,13.65904633,1.15948923,0.03864862,4.35504224,8.31099097,0.10338348,5.29287226
-5.56178089,13.68599423,1.15845261,0.04021771,4.42600017,8.31520313,0.10441912,5.28456566
-5.55577789,13.70883094,1.15796015,0.04183812,4.49503864,8.31819207,0.10572229,5.27109344
-5.54977489,13.73230606,1.15851034,0.04351144,4.56374880,8.32282113,0.10728671,5.25453848
-5.54377189,13.76095861,1.16058549,0.04523854,4.63370704,8.33177633,0.10910318,5.23693700
-5.53776888,13.79893427,1.16462907,0.04701929,4.70639307,8.34746293,0.11115987,5.22020306
-5.53176588,13.84981768,1.17102342,0.04885215,4.78311017,8.37191287,0.11344260,5.20605932
-5.52576288,13.91648734,1.18006897,0.05073395,4.86491154,8.40670724,0.11593521,5.19597682
-5.51975988,14.00099949,1.19196605,0.05265964,4.95253651,8.45291690,0.11861992,5.19112640
-5.51375688,14.10450590,1.20680022,0.05462219,5.04635980,8.51106367,0.12147774,5.19234327
-5.50775388,14.22720900,1.22453211,0.05661253,5.14635639,8.58110365,0.12448884,5.20010619
-5.50175088,14.36835588,1.24499224,0.05861967,5.25208388,8.66243286,0.12763304,5.21453141
-5.49574787,14.52627073,1.26788132,0.06063084,5.36268312,8.75391487,0.13089023,5.23538122
-5.48974487,14.69842359,1.29277606,0.06263182,5.47689716,8.85392848,0.13424077,5.26208602
-5.48374187,14.88153153,1.31914050,0.06460724,5.59310755,8.96043303,0.13766591,5.29377842
-5.47773887,15.07168679,1.34634217,0.06654106,5.70938623,9.07104806,0.14114809,5.32933716
