energy_ev,total_up,Os_p_up,Os_d_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up
-6.00000000,2.84690757,1.15469342,1.50744022,0.91524514,0.00000000,0.54250356,0.00000000
-5.99399700,3.01743569,1.23005360,1.59821349,0.96717055,0.00000000,0.57204605,0.00000000
-5.98799400,3.18639975,1.30643572,1.68768354,1.01766381,0.00000000,0.60135984,0.00000000
-5.98199100,3.35254729,1.38351597,1.77516857,1.06639305,0.00000000,0.63009618,0.00000000
-5.97598799,3.51476439,1.46100693,1.86005642,1.11307816,0.00000000,0.65794104,0.00000000
-5.96998499,3.67208551,1.53865397,1.94181252,1.15749544,0.00000000,0.68461753,0.00000000
-5.96398199,3.82369678,1.61622901,2.01998445,1.19947942,0.00000000,0.70988762,0.00000000
-5.95797899,3.96893263,1.69352221,2.09420285,1.23892196,0.00000000,0.73355300,0.00000000
-5.95197599,4.10726587,1.77033187,2.16417860,1.27576853,0.00000000,0.75545514,0.00000000
-5.94597299,4.23829179,1.84645323,2.22969657,1.31001195,0.00000000,0.77547428,0.00000000
-5.93996998,4.36170733,1.92166681,2.29060632,1.34168376,0.00000000,0.79352775,0.00000000
-5.93396698,4.47728674,1.99572721,2.34681045,1.37084413,0.00000000,0.80956737,0.00000000
-5.92796398,4.58485531,2.06835309,2.39825142,1.39757048,0.00000000,0.82357622,0.00000000
-5.92196098,4.68426310,2.13921931,2.44489786,1.42194592,0.00000000,0.83556486,0.00000000
-5.91595798,4.77536066,2.20795180,2.48673136,1.44404814,0.00000000,0.84556728,0.00000000
-5.90995498,4.85797841,2.27412595,2.52373472,1.46393937,0.00000000,0.85363661,0.00000000
-5.90395198,4.93191155,2.33726877,2.55588271,1.48165838,0.00000000,0.85984095,0.00000000
-5.89794897,4.99691166,2.39686515,2.58313601,1.49721479,0.00000000,0.86425948,0.00000000
-5.89194597,5.05268588,2.45236813,2.60543891,1.51058639,0.00000000,0.86697888,0.00000000
-5.88594297,5.09890410,2.50321286,2.62272110,1.52171947,0.00000000,0.86809045,0.00000000
-5.87993997,5.13521392,2.54883371,2.63490350,1.53053236,0.00000000,0.86768776,0.00000000
-5.87393697,5.16126260,2.58868389,2.64190790,1.53692191,0.00000000,0.86586513,0.00000000
-5.86793397,5.17672494,2.62225652,2.64366967,1.54077262,0.00000000,0.86271670,0.00000000
-5.86193097,5.18133515,2.64910627,2.64015300,1.54196780,0.00000000,0.85833632,0.00000000
-5.85592796,5.17492102,2.66887044,2.63136736,1.54040210,0.00000000,0.85281796,0.00000000
-5.84992496,5.15743793,2.68128838,2.61738421,1.53599470,0.00000000,0.84625667,0.00000000
-5.84392196,5.12900065,2.68621838,2.59835269,1.52870224,0.00000000,0.83874987,0.00000000
-5.83791896,5.08991069,2.68365106,2.57451321,1.51853070,0.00000000,0.83039890,0.00000000
-5.83191596,5.04067724,2.67371862,2.54620770,1.50554553,0.00000000,0.82131057,0.00000000
-5.82591296,4.98203004,2.65669932,2.51388579,1.48987923,0.00000000,0.81159858,0.00000000
-5.81990995,4.91492303,2.63301713,2.47810607,1.47173598,0.00000000,0.80138472,0.00000000
-5.81390695,4.84052798,2.60323613,2.43953215,1.45139284,0.00000000,0.79079947,0.00000000
-5.80790395,4.76021788,2.56804999,2.39892318,1.42919743,0.00000000,0.77998221,0.00000000
-5.80190095,4.67554025,2.52826681,2.35711911,1.40556191,0.00000000,0.76908057,0.00000000
-5.79589795,4.58818140,2.48478964,2.31502102,1.38095371,0.00000000,0.75824910,0.00000000
-5.78989495,4.49992250,2.43859345,2.27356724,1.35588300,0.00000000,0.74764712,0.00000000
-5.78389195,4.41258936,2.39069917,2.23370603,1.33088776,0.00000000,0.73743570,0.00000000
-5.77788894,4.32799767,2.34214564,2.19636612,1.30651678,0.00000000,0.72777398,0.00000000
-5.77188594,4.24789600,2.29396044,2.16242610,1.28331153,0.00000000,0.71881475,0.00000000
-5.76588294,4.17390871,2.24713043,2.13268408,1.26178748,0.00000000,0.71069964,0.00000000
-5.75987994,4.10748137,2.20257308,2.10782898,1.24241593,0.00000000,0.70355391,0.00000000
-5.75387694,4.04983091,2.16110949,2.08841472,1.22560694,0.00000000,0.69748136,0.00000000
-5.74787394,4.00190274,2.12344021,2.07483847,1.21169431,0.00000000,0.69255939,0.00000000
-5.74187094,3.96433701,2.09012456,2.06732434,1.20092323,0.00000000,0.68883478,0.00000000
-5.73586793,3.93744567,2.06156462,2.06591309,1.19344123,0.00000000,0.68632028,0.00000000
-5.72986493,3.92120170,2.03799439,2.07045889,1.18929306,0.00000000,0.68499257,0.00000000
-5.72386193,3.91524150,2.01947482,2.08063338,1.18841957,0.00000000,0.68479168,0.00000000
-5.71785893,3.91888086,2.00589515,2.09593724,1.19066107,0.00000000,0.68562212,0.00000000
-5.71185593,3.93114429,1.99698083,2.11571914,1.19576495,0.00000000,0.68735605,0.00000000
-5.70585293,3.95080708,1.99230779,2.13920147,1.20339740,0.00000000,0.68983821,0.00000000
-5.69984992,3.97644865,1.99132300,2.16551209,1.21315892,0.00000000,0.69289290,0.00000000
-5.69384692,4.00651542,1.99337055,2.19372093,1.22460293,0.00000000,0.69633250,0.00000000
-5.68784392,4.03939069,1.99772241,2.22287994,1.23725674,0.00000000,0.69996750,0.00000000
-5.68184092,4.07346867,2.00361287,2.25206489,1.25064404,0.00000000,0.70361741,0.00000000
