energy_ev,total_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up,Si_p_up,Si_d_up
-5.70585293,0.33075331,0.10312430,0.05981307,0.00002177,0.19230185,0.00298167,0.00000000
-5.69984992,0.32561641,0.10051996,0.05879454,0.00002580,0.18611844,0.00308772,0.00000000
-5.69384692,0.32122998,0.09815904,0.05783060,0.00003038,0.17980620,0.00326063,0.00000000
-5.68784392,0.31770194,0.09607353,0.05693510,0.00003555,0.17339393,0.00350866,0.00000000
-5.68184092,0.31512787,0.09429243,0.05612034,0.00004136,0.16690932,0.00383993,0.00000000
-5.67583792,0.31359004,0.09284174,0.05539715,0.00004783,0.16038024,0.00426229,0.00000000
-5.66983492,0.31315638,0.09174449,0.05477488,0.00005502,0.15383606,0.00478317,0.00000000
-5.66383192,0.31387924,0.09102065,0.05426127,0.00006297,0.14730864,0.00540941,0.00000000
-5.65782891,0.31579395,0.09068708,0.05386235,0.00007174,0.14083302,0.00614705,0.00000000
-5.65182591,0.31891725,0.09075738,0.05358222,0.00008140,0.13444778,0.00700116,0.00000000
-5.64582291,0.32324571,0.09124169,0.05342281,0.00009203,0.12819491,0.00797557,0.00000000
-5.63981991,0.32875424,0.09214647,0.05338361,0.00010377,0.12211940,0.00907272,0.00000000
-5.63381691,0.33539489,0.09347429,0.05346136,0.00011678,0.11626833,0.01029345,0.00000000
-5.62781391,0.34309615,0.09522361,0.05364986,0.00013128,0.11068975,0.01163682,0.00000000
-5.62181091,0.35176293,0.09738874,0.05393978,0.00014756,0.10543130,0.01310004,0.00000000
-5.61580790,0.36127738,0.09995979,0.05431859,0.00016599,0.10053869,0.01467840,0.00000000
-5.60980490,0.37150069,0.10292290,0.05477066,0.00018705,0.09605419,0.01636531,0.00000000
-5.60380190,0.38227592,0.10626047,0.05527742,0.00021136,0.09201510,0.01815241,0.00000000
-5.59779890,0.39343190,0.10995175,0.05581777,0.00023966,0.08845247,0.02002977,0.00000000
-5.59179590,0.40478804,0.11397337,0.05636857,0.00027286,0.08538991,0.02198623,0.00000000
-5.58579290,0.41616001,0.11830018,0.05690534,0.00031205,0.08284274,0.02400977,0.00000000
-5.57978989,0.42736597,0.12290607,0.05740298,0.00035854,0.08081743,0.02608802,0.00000000
-5.57378689,0.43823310,0.12776484,0.05783663,0.00041379,0.07931125,0.02820881,0.00000000
-5.56778389,0.44860412,0.13285104,0.05818258,0.00047954,0.07831232,0.03036074,0.00000000
-5.56178089,0.45834343,0.13814074,0.05841906,0.00055769,0.07779986,0.03253386,0.00000000
-5.55577789,0.46734250,0.14361211,0.05852715,0.00065036,0.07774463,0.03472022,0.00000000
-5.54977489,0.47552428,0.14924579,0.05849136,0.00075985,0.07810967,0.03691444,0.00000000
-5.54377189,0.48284624,0.15502510,0.05830028,0.00088861,0.07885109,0.03911416,0.00000000
-5.53776888,0.48930186,0.16093581,0.05794692,0.00103920,0.07991900,0.04132039,0.00000000
