energy_ev,total_up,Cu_p_up,Cu_d_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up
-6.00000000,6.03826382,3.15129673,2.73629509,0.22232029,0.00710415,0.02843746,2.62838114
-5.99399700,5.93166080,3.10795960,2.68376034,0.21672032,0.00707860,0.02720302,2.58789130
-5.98799400,5.80494964,3.05312256,2.62182117,0.21061843,0.00703363,0.02585394,2.53829976
-5.98199100,5.65943698,2.98723912,2.55121165,0.20403509,0.00696896,0.02441209,2.48012326
-5.97598799,5.49677146,2.91095666,2.47282539,0.19700185,0.00688459,0.02290031,2.41403096
-5.96998499,5.31890867,2.82510220,2.38769560,0.18956033,0.00678086,0.02134179,2.34083039
-5.96398199,5.12806610,2.73066273,2.29697053,0.18176088,0.00665841,0.01975944,2.26144904
-5.95797899,4.92667003,2.62876111,2.20188535,0.17366120,0.00651820,0.01817536,2.17691215
-5.95197599,4.71729631,2.52062829,2.10373166,0.16532474,0.00636154,0.01661031,2.08831769
-5.94597299,4.50260748,2.40757316,2.00382571,0.15681907,0.00619002,0.01508331,1.99680956
-5.93996998,4.28528867,2.29095117,1.90347677,0.14821425,0.00600550,0.01361132,1.90354993
-5.93396698,4.06798475,2.17213288,1.80395681,0.13958118,0.00581007,0.01220903,1.80969193
-5.92796398,3.85324110,2.05247361,1.70647261,0.13099005,0.00560603,0.01088870,1.71635367
-5.92196098,3.64344999,1.93328527,1.61214127,0.12250892,0.00539581,0.00966015,1.62459440
-5.91595798,3.44080442,1.81581107,1.52196992,0.11420243,0.00518190,0.00853082,1.53539378
-5.90995498,3.24726043,1.70120396,1.43684008,0.10613069,0.00496685,0.00750591,1.44963461
-5.90395198,3.06450907,1.59050910,1.35749704,0.09834840,0.00475314,0.00658856,1.36808955
-5.89794897,2.89395801,1.48465078,1.28454411,0.09090415,0.00454317,0.00578004,1.29141206
-5.89194597,2.73672289,1.38442360,1.21844180,0.08383998,0.00433919,0.00508011,1.22013138
-5.88594297,2.59362782,1.29048799,1.15951118,0.07719113,0.00414324,0.00448718,1.15465155
-5.87993997,2.46521408,1.20336950,1.10794117,0.07098605,0.00395713,0.00399866,1.09525397
-5.87393697,2.35175591,1.12346172,1.06379870,0.06524654,0.00378237,0.00361116,1.04210317
-5.86793397,2.25328187,1.05103195,1.02704129,0.05998817,0.00362020,0.00332075,0.99525501
-5.86193097,2.16960053,0.98622925,0.99753096,0.05522076,0.00347149,0.00312312,0.95466697
-5.85592796,2.10032865,0.92909424,0.97504879,0.05094907,0.00333684,0.00301372,0.92020963
-5.84992496,2.04492066,0.87956989,0.95930942,0.04717359,0.00321647,0.00298791,0.89167891
-5.84392196,2.00269798,0.83751294,0.94997475,0.04389133,0.00311033,0.00304098,0.86880838
-5.83791896,1.97287707,0.80270530,0.94666640,0.04109674,0.00301803,0.00316818,0.85128118
-5.83191596,1.95459535,0.77486521,0.94897655,0.03878259,0.00293894,0.00336473,0.83874126
-5.82591296,1.94693427,0.75365768,0.95647688,0.03694087,0.00287219,0.00362575,0.83080341
-5.81990995,1.94893932,0.73870415,0.96872571,0.03556358,0.00281668,0.00394624,0.82706217
-5.81390695,1.95963663,0.72959129,0.98527328,0.03464346,0.00277116,0.00432098,0.82709940
-5.80790395,1.97804661,0.72587879,1.00566542,0.03417469,0.00273427,0.00474447,0.83049061
-5.80190095,2.00319476,0.72710649,1.02944613,0.03415332,0.00270454,0.00521083,0.83681011
-5.79589795,2.03412021,0.73280065,1.05615917,0.03457766,0.00268047,0.00571381,0.84563530
-5.78989495,2.06988266,0.74247988,1.08534941,0.03544844,0.00266053,0.00624668,0.85655027
-5.78389195,2.10956844,0.75566064,1.11656425,0.03676878,0.00264326,0.00680229,0.86914901
