energy_ev,total_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,0.86491100,0.30416421,0.00029015,0.21402786,0.00000000,0.75473423,0.05430338
-5.99399700,0.80806055,0.28656542,0.00027362,0.20182776,0.00000000,0.71456005,0.05027281
-5.98799400,0.75131514,0.26853889,0.00025693,0.18949553,0.00000000,0.67321936,0.04632044
-5.98199100,0.69520750,0.25029766,0.00024023,0.17713711,0.00000000,0.63114943,0.04247872
-5.97598799,0.64021517,0.23204349,0.00022362,0.16485145,0.00000000,0.58877227,0.03877506
-5.96998499,0.58675831,0.21396382,0.00020725,0.15273029,0.00000000,0.54648971,0.03523187
-5.96398199,0.53519911,0.19622940,0.00019121,0.14085797,0.00000000,0.50467894,0.03186687
-5.95797899,0.48584263,0.17899243,0.00017561,0.12931144,0.00000000,0.46368879,0.02869335
-5.95197599,0.43893887,0.16238535,0.00016053,0.11816022,0.00000000,0.42383673,0.02572063
-5.94597299,0.39468582,0.14652018,0.00014605,0.10746653,0.00000000,0.38540661,0.02295447
-5.93996998,0.35323348,0.13148844,0.00013226,0.09728540,0.00000000,0.34864714,0.02039761
-5.93396698,0.31468842,0.11736159,0.00011920,0.08766501,0.00000000,0.31377145,0.01805021
-5.92796398,0.27911915,0.10419192,0.00010693,0.07864701,0.00000000,0.28095735,0.01591040
-5.92196098,0.24656181,0.09201388,0.00009549,0.07026714,0.00000000,0.25034868,0.01397476
-5.91595798,0.21702645,0.08084570,0.00008493,0.06255596,0.00000000,0.22205757,0.01223882
-5.90995498,0.19050355,0.07069141,0.00007526,0.05553980,0.00000000,0.19616765,0.01069753
-5.90395198,0.16697089,0.06154295,0.00006651,0.04924197,0.00000000,0.17273802,0.00934574
-5.89794897,0.14640060,0.05338250,0.00005870,0.04368410,0.00000000,0.15180816,0.00817861
-5.89194597,0.12876630,0.04618490,0.00005185,0.03888779,0.00000000,0.13340326,0.00719206
-5.88594297,0.11405018,0.03992005,0.00004597,0.03487625,0.00000000,0.11754020,0.00638322
-5.87993997,0.10224997,0.03455521,0.00004107,0.03167623,0.00000000,0.10423360,0.00575074
-5.87393697,0.09338547,0.03005732,0.00003717,0.02931976,0.00000000,0.09350204,0.00529517
-5.86793397,0.08750448,0.02639498,0.00003430,0.02784603,0.00000000,0.08537395,0.00501928
-5.86193097,0.08468794,0.02354028,0.00003250,0.02730295,0.00000000,0.07989301,0.00492831
-5.85592796,0.08505395,0.02147036,0.00003179,0.02774847,0.00000000,0.07712283,0.00503013
-5.84992496,0.08876035,0.02016861,0.00003223,0.02925158,0.00000000,0.07715045,0.00533535
-5.84392196,0.09600569,0.01962544,0.00003388,0.03189269,0.00000000,0.08008866,0.00585730
-5.83791896,0.10702814,0.01983878,0.00003682,0.03576341,0.00000000,0.08607656,0.00661196
-5.83191596,0.12210225,0.02081403,0.00004113,0.04096565,0.00000000,0.09527849,0.00761763
-5.82591296,0.14153322,0.02256364,0.00004689,0.04760981,0.00000000,0.10788090,0.00889453
-5.81990995,0.16564865,0.02510623,0.00005421,0.05581215,0.00000000,0.12408718,0.01046428
-5.81390695,0.19478762,0.02846527,0.00006319,0.06569125,0.00000000,0.14411039,0.01234913
-5.80790395,0.22928726,0.03266744,0.00007393,0.07736357,0.00000000,0.16816399,0.01457104
-5.80190095,0.26946703,0.03774052,0.00008654,0.09093815,0.00000000,0.19645066,0.01715070
-5.79589795,0.31561102,0.04371117,0.00010110,0.10651069,0.00000000,0.22914959,0.02010634
-5.78989495,0.36794883,0.05060240,0.00011769,0.12415700,0.00000000,0.26640262,0.02345244
-5.78389195,0.42663584,0.05843107,0.00013636,0.14392628,0.00000000,0.30829968,0.02719851
-5.77788894,0.49173354,0.06720540,0.00015713,0.16583428,0.00000000,0.35486438,0.03134768
-5.77188594,0.56319110,0.07692274,0.00018001,0.18985688,0.00000000,0.40604015,0.03589558
-5.76588294,0.64082914,0.08756765,0.00020495,0.21592432,0.00000000,0.46167811,0.04082918
-5.75987994,0.72432691,0.09911054,0.00023187,0.24391658,0.00000000,0.52152718,0.04612593
-5.75387694,0.81321392,0.11150699,0.00026065,0.27366013,0.00000000,0.58522744,0.05175316
-5.74787394,0.90686705,0.12469777,0.00029113,0.30492663,0.00000000,0.65230734,0.05766783
-5.74187094,1.00451400,0.13860980,0.00032310,0.33743358,0.00000000,0.72218554,0.06381668
-5.73586793,1.10524363,0.15315803,0.00035632,0.37084751,0.00000000,0.79417759,0.07013679
-5.72986493,1.20802352,0.16824824,0.00039054,0.40478941,0.00000000,0.86750799,0.07655669
-5.72386193,1.31172451,0.18378068,0.00042545,0.43884276,0.00000000,0.94132722,0.08299785
-5.71785893,1.41515190,0.19965448,0.00046078,0.47256380,0.00000000,1.01473367,0.08937663
-5.71185593,1.51708223,0.21577263,0.00049621,0.50549388,0.00000000,1.08679971,0.09560662
