energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,4.87325504,0.01978844,0.77246500,0.24338074,0.06923200,1.99833365,1.03892754,1.56697720
-5.99399700,4.91655067,0.01998963,0.77752162,0.24611939,0.07008166,2.02075522,1.04493813,1.57960365
-5.98799400,4.94388714,0.02013831,0.77961414,0.24825700,0.07071901,2.03736452,1.04805474,1.58646847
-5.98199100,4.95535551,0.02023536,0.77879533,0.24980535,0.07114479,2.04814831,1.04828619,1.58767756
-5.97598799,4.95145038,0.02028309,0.77519900,0.25078735,0.07136477,2.05323483,1.04572827,1.58348261
-5.96998499,4.93302943,0.02028509,0.76903462,0.25123458,0.07138909,2.05287611,1.04055557,1.57426965
-5.96398199,4.90126424,0.02024598,0.76058003,0.25118470,0.07123154,2.04742746,1.03301142,1.56054425
-5.95797899,4.85758540,0.02017121,0.75017246,0.25067900,0.07090870,2.03732550,1.02339659,1.54291405
-5.95197599,4.80362445,0.02006687,0.73819838,0.24976013,0.07043920,2.02306591,1.01205728,1.52206960
-5.94597299,4.74115563,0.01993941,0.72508262,0.24847012,0.06984295,2.00518208,0.99937306,1.49876414
-5.93996998,4.67203971,0.01979552,0.71127691,0.24684887,0.06914044,1.98422550,0.98574522,1.47379316
-5.93396698,4.59817193,0.01964196,0.69724848,0.24493312,0.06835213,1.96074883,0.97158598,1.44797447
-5.92796398,4.52143564,0.01948538,0.68346891,0.24275587,0.06749797,1.93529193,0.95730883,1.42212911
-5.92196098,4.44366247,0.01933228,0.67040339,0.24034634,0.06659703,1.90837131,0.94332019,1.39706369
-5.91595798,4.36659957,0.01918889,0.65850076,0.23773032,0.06566726,1.88047292,0.93001245,1.37355434
-5.90995498,4.29188380,0.01906112,0.64818432,0.23493090,0.06472532,1.85204804,0.91775842,1.35233230
-5.90395198,4.22102242,0.01895453,0.63984351,0.23196950,0.06378657,1.82351205,0.90690696,1.33407131
-5.89794897,4.15537958,0.01887433,0.63382651,0.22886700,0.06286506,1.79524536,0.89777974,1.31937664
-5.89194597,4.09616754,0.01882527,0.63043380,0.22564500,0.06197369,1.76759616,0.89066885,1.30877568
-5.88594297,4.04444181,0.01881171,0.62991262,0.22232700,0.06112424,1.74088424,0.88583513,1.30270997
-5.87993997,4.00109916,0.01883755,0.63245237,0.21893950,0.06032761,1.71540541,0.88350702,1.30152862
-5.87393697,3.96687769,0.01890619,0.63818097,0.21551286,0.05959386,1.69143596,0.88387973,1.30548299
-5.86793397,3.94235843,0.01902052,0.64716221,0.21208189,0.05893240,1.66923677,0.88711480,1.31472278
-5.86193097,3.92796800,0.01918283,0.65939421,0.20868624,0.05835202,1.64905685,0.89333983,1.32929351
-5.85592796,3.92398214,0.01939481,0.67480894,0.20537033,0.05786098,1.63113594,0.90264852,1.34913556
-5.84992496,3.93053015,0.01965747,0.69327308,0.20218309,0.05746696,1.61570619,0.91510095,1.37408488
-5.84392196,3.94760029,0.01997110,0.71459008,0.19917731,0.05717710,1.60299280,0.93072430,1.40387568
-5.83791896,3.97504625,0.02033528,0.73850373,0.19640875,0.05699784,1.59321376,0.94951391,1.43814509
-5.83191596,4.01259502,0.02074881,0.76470297,0.19393494,0.05693490,1.58657860,0.97143476,1.47643996
-5.82591296,4.05985609,0.02120976,0.79282823,0.19181381,0.05699311,1.58328627,0.99642352,1.51822590
-5.81990995,4.11633201,0.02171545,0.82247892,0.19010214,0.05717629,1.58352239,1.02439085,1.56289823
-5.81390695,4.18143026,0.02226253,0.85322218,0.18885376,0.05748709,1.58745565,1.05522420,1.60979500
-5.80790395,4.25447597,0.02284706,0.88460247,0.18811787,0.05792685,1.59523376,1.08879071,1.65821146
-5.80190095,4.33472530,0.02346453,0.91615184,0.18793711,0.05849547,1.60697882,1.12494024,1.70741576
-5.79589795,4.42137883,0.02411001,0.94740060,0.18834583,0.05919124,1.62278224,1.16350817,1.75666540
-5.78989495,4.51359452,0.02477826,0.97788788,0.18936836,0.06001077,1.64269940,1.20431802,1.80522371
-5.78389195,4.61049977,0.02546381,1.00717199,0.19101742,0.06094887,1.66674405,1.24718348,1.85237613
-5.77788894,4.71120213,0.02616106,1.03483996,0.19329285,0.06199850,1.69488284,1.29190979,1.89744539
-5.77188594,4.81479834,0.02686445,1.06051619,0.19618054,0.06315077,1.72702991,1.33829447,1.93980536
-5.76588294,4.92038167,0.02756844,1.08386979,0.19965175,0.06439488,1.76304208,1.38612718,1.97889306
-5.75987994,5.02704746,0.02826769,1.10462055,0.20366285,0.06571826,1.80271473,1.43518888,2.01421847
-5.75387694,5.13389717,0.02895705,1.12254326,0.20815554,0.06710663,1.84577876,1.48525029,2.04537200
-5.74787394,5.24004127,0.02963159,1.13747045,0.21305750,0.06854414,1.89189894,1.53606986,2.07202948
-5.74187094,5.34460136,0.03028664,1.14929360,0.21828363,0.07001359,1.94067388,1.58739144,2.09395469
-5.73586793,5.44671211,0.03091778,1.15796265,0.22373768,0.07149670,1.99163780,1.63894189,2.11099959
-5.72986493,5.54552345,0.03152080,1.16348431,0.22931442,0.07297439,2.04426442,1.69042886,2.12310232
-5.72386193,5.64020352,0.03209167,1.16591898,0.23490214,0.07442711,2.09797286,1.74153905,2.13028334
-5.71785893,5.72994267,0.03262649,1.16537667,0.24038548,0.07583523,2.15213561,1.79193721,2.13263987
-5.71185593,5.81395865,0.03312145,1.16201205,0.24564849,0.07717942,2.20608834,1.84126598,2.13033903
-5.70585293,5.89150315,0.03357275,1.15601879,0.25057767,0.07844105,2.25914148,1.88914688,2.12360976
-5.69984992,5.96186937,0.03397660,1.14762336,0.25506510,0.07960259,2.31059301,1.93518245,2.11273402
-5.69384692,6.02440041,0.03432915,1.13707851,0.25901130,0.08064794,2.35974221,1.97895964,2.09803729
-5.68784392,6.07849805,0.03462647,1.12465641,0.26232782,0.08156281,2.40590383,2.02005433,2.07987869
-5.68184092,6.12363142,0.03486459,1.11064176,0.26493946,0.08233493,2.44842222,2.05803714,2.05864088
-5.67583792,6.15934495,0.03503945,1.09532479,0.26678598,0.08295432,2.48668492,2.09248006,2.03471988
-5.66983492,6.18526532,0.03514705,1.07899448,0.26782326,0.08341341,2.52013523,2.12296404,2.00851509
-5.66383192,6.20110671,0.03518342,1.06193182,0.26802391,0.08370708,2.54828335,2.14908716,1.98041955
-5.65782891,6.20667436,0.03514481,1.04440355,0.26737734,0.08383269,2.57071582,2.17047316,1.95081081
-5.65182591,6.20186605,0.03502776,1.02665626,0.26588920,0.08378997,2.58710293,2.18678011,1.92004249
-5.64582291,6.18667168,0.03482927,1.00891120,0.26358041,0.08358088,2.59720392,2.19770898,1.88843682
-5.63981991,6.16117099,0.03454698,0.99135982,0.26048582,0.08320942,2.60087003,2.20301176,1.85627846
-5.63381691,6.12552981,0.03417934,0.97416026,0.25665245,0.08268139,2.59804527,2.20249897,1.82380975
-5.62781391,6.07999517,0.03372577,0.95743496,0.25213764,0.08200414,2.58876515,2.19604630,1.79122757
-5.62181091,6.02488971,0.03318686,0.94126948,0.24700704,0.08118626,2.57315341,2.18360004,1.75868209
-5.61580790,5.96060585,0.03256454,0.92571265,0.24133263,0.08023740,2.55141712,2.16518129,1.72627745
-5.60980490,5.88760011,0.03186218,0.91077809,0.23519078,0.07916794,2.52384023,2.14088859,1.69407426
-5.60380190,5.80638797,0.03108472,0.89644702,0.22866050,0.07798885,2.49077614,2.11089898,1.66209408
-5.59779890,5.71753946,0.03023873,0.88267243,0.22182191,0.07671151,2.45263920,2.07546733,1.63032552
-5.59179590,5.62167556,0.02933238,0.86938425,0.21475489,0.07534756,2.40989581,2.03492385,1.59873174
-5.58579290,5.51946546,0.02837541,0.85649553,0.20753803,0.07390887,2.36305518,1.98966996,1.56725902
-5.57978989,5.41162450,0.02737906,0.84390913,0.20024776,0.07240746,2.31266003,1.94017238,1.53584596
-5.57378689,5.29891255,0.02635581,0.83152481,0.19295771,0.07085555,2.25927752,1.88695573,1.50443282
-5.56778389,5.18213245,0.02531923,0.81924625,0.18573826,0.06926556,2.20349057,1.83059375,1.47297059
-5.56178089,5.06212825,0.02428367,0.80698770,0.17865614,0.06765017,2.14588966,1.77169939,1.44142917
-5.55577789,4.93978270,0.02326395,0.79467991,0.17177422,0.06602240,2.08706538,1.71091407,1.40980440
-5.54977489,4.81601380,0.02227497,0.78227512,0.16515120,0.06439563,2.02760156,1.64889635,1.37812343
-5.54377189,4.69176990,0.02133141,0.76975070,0.15884145,0.06278365,1.96806928,1.58631038,1.34644828
-5.53776888,4.56802334,0.02044729,0.75711149,0.15289468,0.06120071,1.90902155,1.52381451,1.31487732
-5.53176588,4.44576228,0.01963564,0.74439056,0.14735566,0.05966142,1.85098875,1.46205029,1.28354466
-5.52576288,4.32598092,0.01890815,0.73164848,0.14226391,0.05818074,1.79447469,1.40163212,1.25261759
-5.51975988,4.20966808,0.01827487,0.71897111,0.13765326,0.05677387,1.73995333,1.34313796,1.22229213
