energy_ev,total_up,P_s_up,P_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,1.91657397,0.01070916,0.32220929,0.39306484,0.25642452,1.03411637,0.00000000
-5.99399700,2.02825289,0.01100143,0.35109685,0.42115199,0.27673982,1.08460893,0.00000000
-5.98799400,2.14672553,0.01131007,0.38143217,0.45099040,0.29815687,1.13849202,0.00000000
-5.98199100,2.27186991,0.01163732,0.41304520,0.48249846,0.32058272,1.19585317,0.00000000
-5.97598799,2.40338870,0.01198497,0.44573036,0.51554897,0.34389761,1.25669264,0.00000000
-5.96998499,2.54080782,0.01235441,0.47925031,0.54996947,0.36795729,1.32091850,0.00000000
-5.96398199,2.68348230,0.01274664,0.51334140,0.58554447,0.39259654,1.38834525,0.00000000
-5.95797899,2.83060935,0.01316232,0.54772049,0.62201950,0.41763391,1.45869601,0.00000000
-5.95197599,2.98124787,0.01360188,0.58209300,0.65910680,0.44287729,1.53160799,0.00000000
-5.94597299,3.13434340,0.01406559,0.61616165,0.69649249,0.46813027,1.60664096,0.00000000
-5.93996998,3.28875726,0.01455367,0.64963578,0.73384481,0.49319877,1.68328806,0.00000000
-5.93396698,3.44329828,0.01506639,0.68224047,0.77082313,0.51789774,1.76098866,0.00000000
-5.92796398,3.59675560,0.01560411,0.71372516,0.80708722,0.54205745,1.83914218,0.00000000
-5.92196098,3.74793072,0.01616734,0.74387139,0.84230644,0.56552904,1.91712266,0.00000000
-5.91595798,3.89566739,0.01675675,0.77249890,0.87616828,0.58818897,1.99429306,0.00000000
-5.90995498,4.03887785,0.01737311,0.79947011,0.90838595,0.60994215,2.07001891,0.00000000
-5.90395198,4.17656430,0.01801726,0.82469240,0.93870468,0.63072338,2.14368085,0.00000000
-5.89794897,4.30783490,0.01868995,0.84811819,0.96690634,0.65049723,2.21468555,0.00000000
-5.89194597,4.43191379,0.01939173,0.86974278,0.99281247,0.66925607,2.28247487,0.00000000
-5.88594297,4.54814526,0.02012277,0.88959998,1.01628540,0.68701657,2.34653333,0.00000000
-5.87993997,4.65599243,0.02088270,0.90775584,1.03722775,0.70381475,2.40639360,0.00000000
-5.87393697,4.75503121,0.02167042,0.92430087,1.05558029,0.71970002,2.46164063,0.00000000
-5.86793397,4.84494063,0.02248396,0.93934116,1.07131862,0.73472841,2.51191425,0.00000000
-5.86193097,4.92549089,0.02332038,0.95298904,1.08444886,0.74895565,2.55691100,0.00000000
-5.85592796,4.99653044,0.02417566,0.96535381,1.09500279,0.76243047,2.59638516,0.00000000
-5.84992496,5.05797354,0.02504476,0.97653320,1.10303289,0.77518859,2.63014963,0.00000000
-5.84392196,5.10978963,0.02592162,0.98660609,1.10860753,0.78724795,2.65807676,0.00000000
-5.83791896,5.15199541,0.02679931,0.99562699,1.11180693,0.79860539,2.68009942,0.00000000
-5.83191596,5.18465063,0.02767026,1.00362271,1.11271982,0.80923523,2.69621230,0.00000000
-5.82591296,5.20785756,0.02852650,1.01059134,1.11144131,0.81908974,2.70647351,0.00000000
-5.81990995,5.22176445,0.02936000,1.01650374,1.10807180,0.82810164,2.71100624,0.00000000
-5.81390695,5.22657221,0.03016299,1.02130737,1.10271711,0.83618845,2.71000008,0.00000000
-5.80790395,5.22254344,0.03092840,1.02493224,1.09548951,0.84325837,2.70371176,0.00000000
-5.80190095,5.21001276,0.03165015,1.02729847,1.08650945,0.84921741,2.69246473,0.00000000
-5.79589795,5.18939668,0.03232354,1.02832510,1.07590781,0.85397721,2.67664708,0.00000000
-5.78989495,5.16120177,0.03294550,1.02793934,1.06382810,0.85746300,2.65670737,0.00000000
-5.78389195,5.12602931,0.03351482,1.02608568,1.05042832,0.85962117,2.63314802,0.00000000
-5.77788894,5.08457538,0.03403223,1.02273420,1.03588219,0.86042579,2.60651593,0.00000000
-5.77188594,5.03762504,0.03450044,1.01788743,1.02037927,0.85988373,2.57739043,0.00000000
-5.76588294,4.98604020,0.03492398,1.01158516,1.00412383,0.85803772,2.54636849,0.00000000
-5.75987994,4.93074098,0.03530901,1.00390700,0.98733239,0.85496730,2.51404781,0.00000000
-5.75387694,4.87268096,0.03566295,0.99497218,0.97022976,0.85078736,2.48100821,0.00000000
-5.74787394,4.81281726,0.03599408,0.98493680,0.95304383,0.84564431,2.44779227,0.00000000
-5.74187094,4.75207702,0.03631100,0.97398840,0.93599926,0.83971008,2.41488601,0.00000000
-5.73586793,4.69132198,0.03662211,0.96233833,0.91931043,0.83317418,2.38270092,0.00000000
-5.72986493,4.63131337,0.03693502,0.95021232,0.90317404,0.82623447,2.35155818,0.00000000
-5.72386193,4.57267942,0.03725601,0.93783969,0.88776186,0.81908694,2.32167627,0.00000000
