energy_ev,total_up,Au_p_up,Au_d_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,2.09656852,0.41857623,1.26930310,1.00446482,0.14295917,0.00210170,0.15412010,0.00256412,0.47238938
-5.99399700,2.01400794,0.39455547,1.22954440,0.95711338,0.13526015,0.00199264,0.14483130,0.00256545,0.44907645
-5.98799400,1.93195040,0.37082655,1.18913061,0.90993159,0.12785886,0.00188391,0.13575931,0.00258407,0.42668241
-5.98199100,1.85105073,0.34766438,1.14835741,0.86344498,0.12079231,0.00177598,0.12698923,0.00262104,0.40537239
-5.97598799,1.77194634,0.32532430,1.10753704,0.81814304,0.11409208,0.00166927,0.11860056,0.00267702,0.38528902
-5.96998499,1.69523956,0.30403562,1.06698911,0.77447012,0.10778367,0.00156423,0.11066452,0.00275217,0.36654884
-5.96398199,1.62148163,0.28399665,1.02703139,0.73281823,0.10188603,0.00146127,0.10324203,0.00284611,0.34923950
-5.95797899,1.55115899,0.26537105,0.98797071,0.69352182,0.09641117,0.00136081,0.09638212,0.00295794,0.33341810
-5.95197599,1.48468223,0.24828583,0.95009454,0.65685461,0.09136413,0.00126329,0.09012106,0.00308615,0.31911065
-5.94597299,1.42237806,0.23283064,0.91366341,0.62302846,0.08674304,0.00116910,0.08448188,0.00322871,0.30631253
-5.93996998,1.36448459,0.21905854,0.87890464,0.59219407,0.08253948,0.00107868,0.07947452,0.00338302,0.29499011
-5.93396698,1.31114994,0.20698785,0.84600749,0.56444361,0.07873896,0.00099241,0.07509650,0.00354604,0.28508335
-5.92796398,1.26243410,0.19660508,0.81512001,0.53981474,0.07532166,0.00091071,0.07133386,0.00371430,0.27650922
-5.92196098,1.21831394,0.18786868,0.78634764,0.51829602,0.07226328,0.00083394,0.06816255,0.00388400,0.26916583
-5.91595798,1.17869091,0.18071328,0.75975348,0.49983317,0.06953601,0.00076243,0.06555003,0.00405113,0.26293710
-5.90995498,1.14340098,0.17505437,0.73536020,0.48433601,0.06710960,0.00069650,0.06345702,0.00421156,0.25769765
