energy_ev,total_up,In_p_up,In_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.19003664,0.05080490,0.00014844,0.03958149,0.84520240,0.32296371,0.47426867
-5.99399700,1.22790249,0.05180369,0.00015755,0.04080847,0.87351469,0.33353561,0.49172053
-5.98799400,1.26482685,0.05274692,0.00016890,0.04192860,0.90087658,0.34442331,0.50854661
-5.98199100,1.30026799,0.05361554,0.00018254,0.04292575,0.92689514,0.35546082,0.52454338
-5.97598799,1.33380274,0.05439940,0.00019852,0.04378749,0.95124981,0.36651449,0.53954269
-5.96998499,1.36512783,0.05509764,0.00021697,0.04450506,0.97369226,0.37748364,0.55341123
-5.96398199,1.39405775,0.05571884,0.00023804,0.04507325,0.99404380,0.38830026,0.56604899
-5.95797899,1.42052007,0.05628092,0.00026198,0.04549005,1.01219127,0.39892826,0.57738674
-5.95197599,1.44454887,0.05681097,0.00028907,0.04575636,1.02808169,0.40936232,0.58738303
-5.94597299,1.46627751,0.05734484,0.00031969,0.04587553,1.04171673,0.41962661,0.59602117
-5.93996998,1.48593124,0.05792668,0.00035431,0.04585295,1.05314728,0.42977372,0.60330633
-5.93396698,1.50382055,0.05860835,0.00039349,0.04569565,1.06246900,0.43988368,0.60926324
-5.92796398,1.52033578,0.05944882,0.00043789,0.04541186,1.06981907,0.45006336,0.61393465
-5.92196098,1.53594318,0.06051341,0.00048831,0.04501075,1.07537436,0.46044613,0.61738070
-5.91595798,1.55118244,0.06187307,0.00054564,0.04450215,1.07935131,0.47119171,0.61967919
-5.90995498,1.56666544,0.06360357,0.00061092,0.04389641,1.08200706,0.48248600,0.62092670
-5.90395198,1.58307570,0.06578458,0.00068530,0.04320430,1.08364171,0.49454068,0.62124042
-5.89794897,1.60116767,0.06849870,0.00077007,0.04243703,1.08460106,0.50759231,0.62076019
-5.89194597,1.62176506,0.07183038,0.00086662,0.04160629,1.08527916,0.52190049,0.61965064
-5.88594297,1.64575704,0.07586461,0.00097643,0.04072434,1.08612001,0.53774496,0.61810284
-5.87993997,1.67409144,0.08068559,0.00110108,0.03980413,1.08761753,0.55542108,0.61633517
-5.87393697,1.70776406,0.08637509,0.00124219,0.03885939,1.09031319,0.57523382,0.61459284
-5.86793397,1.74780315,0.09301065,0.00140137,0.03790468,1.09479056,0.59748979,0.61314599
-5.86193097,1.79524892,0.10066367,0.00158022,0.03695539,1.10166647,0.62248755,0.61228588
-5.85592796,1.85112778,0.10939722,0.00178028,0.03602770,1.11157842,0.65050617,0.61231924
