energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.28052978,0.01280032,0.04772756,0.27993014,0.02074349,0.74585040,0.19925561,0.10137517
-5.99399700,1.31360304,0.01331697,0.04766973,0.29160189,0.02136228,0.76892640,0.20756958,0.10345539
-5.98799400,1.34659976,0.01384086,0.04758962,0.30311231,0.02198412,0.79194217,0.21595128,0.10552501
-5.98199100,1.37900496,0.01436719,0.04751350,0.31439458,0.02260163,0.81449327,0.22427898,0.10756147
-5.97598799,1.41039422,0.01489241,0.04747372,0.32540846,0.02320890,0.83622203,0.23244325,0.10955034
-5.96998499,1.44044721,0.01541440,0.04750800,0.33614266,0.02380162,0.85682831,0.24035035,0.11148616
-5.96398199,1.46895702,0.01593256,0.04765836,0.34661616,0.02437703,0.87607810,0.24792513,0.11337278
-5.95797899,1.49583464,0.01644796,0.04796990,0.35687826,0.02493391,0.89380947,0.25511305,0.11522335
-5.95197599,1.52110824,0.01696325,0.04848929,0.36700727,0.02547237,0.90993549,0.26188144,0.11705988
-5.94597299,1.54491712,0.01748262,0.04926315,0.37710773,0.02599366,0.92444402,0.26821968,0.11891231
-5.93996998,1.56750019,0.01801167,0.05033629,0.38730609,0.02649987,0.93739403,0.27413837,0.12081722
-5.93396698,1.58917948,0.01855713,0.05174989,0.39774511,0.02699362,0.94890877,0.27966749,0.12281604
-5.92796398,1.61033897,0.01912660,0.05353973,0.40857684,0.02747768,0.95916576,0.28485355,0.12495303
-5.92196098,1.63139980,0.01972816,0.05573442,0.41995465,0.02795459,0.96838410,0.28975580,0.12727289
-5.91595798,1.65279262,0.02036997,0.05835388,0.43202438,0.02842630,0.97680966,0.29444182,0.12981820
-5.90995498,1.67492858,0.02105977,0.06140790,0.44491521,0.02889381,0.98469877,0.29898259,0.13262680
-5.90395198,1.69817023,0.02180448,0.06489506,0.45873044,0.02935685,0.99230124,0.30344727,0.13572920
-5.89794897,1.72280379,0.02260966,0.06880193,0.47353884,0.02981367,0.99984363,0.30789813,0.13914612
-5.89194597,1.74901448,0.02347913,0.07310262,0.48936695,0.03026086,1.00751364,0.31238577,0.14288635
-5.88594297,1.77686616,0.02441454,0.07775877,0.50619278,0.03069331,1.01544644,0.31694499,0.14694502
-5.87993997,1.80628658,0.02541509,0.08271991,0.52394139,0.03110419,1.02371390,0.32159159,0.15130239
-5.87393697,1.83705937,0.02647728,0.08792433,0.54248268,0.03148517,1.03231716,0.32632030,0.15592322
-5.86793397,1.86882330,0.02759483,0.09330031,0.56163162,0.03182660,1.04118326,0.33110390,0.16075689
-5.86193097,1.90107919,0.02875871,0.09876775,0.58115112,0.03211786,1.05016585,0.33589380,0.16573817
-5.85592796,1.93320447,0.02995722,0.10424021,0.60075748,0.03234778,1.05905029,0.34062191,0.17078869
-5.84992496,1.96447453,0.03117633,0.10962719,0.62012827,0.03250513,1.06756260,0.34520374,0.17581915
-5.84392196,1.99409036,0.03240003,0.11483668,0.63891245,0.03257906,1.07538208,0.34954270,0.18073206
-5.83791896,2.02121074,0.03361080,0.11977777,0.65674221,0.03255964,1.08215682,0.35353514,0.18542497
-5.83191596,2.04498768,0.03479021,0.12436335,0.67324610,0.03243836,1.08752119,0.35707602,0.18979409
-5.82591296,2.06460315,0.03591953,0.12851272,0.68806275,0.03220855,1.09111444,0.36006478,0.19373797
-5.81990995,2.07930522,0.03698034,0.13215399,0.70085463,0.03186571,1.09259943,0.36241112,0.19716135
-5.81390695,2.08844183,0.03795519,0.13522618,0.71132103,0.03140785,1.09168026,0.36404025,0.19997869
-5.80790395,2.09149023,0.03882818,0.13768100,0.71920986,0.03083561,1.08811804,0.36489744,0.20211740
-5.80190095,2.08808082,0.03958547,0.13948414,0.72432742,0.03015231,1.08174387,0.36495148,0.20352058
-5.79589795,2.07801404,0.04021568,0.14061603,0.72654590,0.02936389,1.07246837,0.36419688,0.20414911
-5.78989495,2.06126954,0.04071022,0.14107206,0.72580807,0.02847875,1.06028733,0.36265476,0.20398297
-5.78389195,2.03800746,0.04106346,0.14086231,0.72212921,0.02750744,1.04528320,0.36037226,0.20302181
-5.77788894,2.00856163,0.04127275,0.14001068,0.71559601,0.02646229,1.02762256,0.35742074,0.20128471
-5.77188594,1.97342559,0.04133831,0.13855359,0.70636267,0.02535701,1.00754971,0.35389260,0.19880918
-5.76588294,1.93323202,0.04126307,0.13653825,0.69464453,0.02420617,0.98537692,0.34989728,0.19564939
-5.75987994,1.88872720,0.04105231,0.13402060,0.68070949,0.02302476,0.96147198,0.34555634,0.19187385
-5.75387694,1.84074165,0.04071330,0.13106310,0.66486790,0.02182767,0.93624376,0.34099825,0.18756267
-5.74787394,1.79015888,0.04025485,0.12773233,0.64746123,0.02062925,0.91012670,0.33635294,0.18280439
-5.74187094,1.73788367,0.03968684,0.12409671,0.62885037,0.01944289,0.88356501,0.33174658,0.17769275
-5.73586793,1.68481160,0.03901983,0.12022418,0.60940395,0.01828072,0.85699742,0.32729683,0.17232345
-5.72986493,1.63180120,0.03826456,0.11618030,0.58948722,0.01715334,0.83084320,0.32310873,0.16679107
-5.72386193,1.57964975,0.03743172,0.11202647,0.56945211,0.01606962,0.80549003,0.31927153,0.16118623
-5.71785893,1.52907384,0.03653156,0.10781857,0.54962854,0.01503666,0.78128426,0.31585645,0.15559323
-5.71185593,1.48069489,0.03557378,0.10360602,0.53031747,0.01405975,0.75852361,0.31291551,0.15008810
-5.70585293,1.43503012,0.03456739,0.09943114,0.51178572,0.01314246,0.73745264,0.31048141,0.14473720
-5.69984992,1.39248859,0.03352071,0.09532900,0.49426258,0.01228679,0.71826079,0.30856828,0.13959631
-5.69384692,1.35337202,0.03244142,0.09132755,0.47793809,0.01149334,0.70108283,0.30717325,0.13471023
-5.68784392,1.31787976,0.03133663,0.08744807,0.46296290,0.01076155,0.68600135,0.30627871,0.13011286
-5.68184092,1.28611702,0.03021308,0.08370586,0.44944945,0.01008993,0.67305103,0.30585496,0.12582767
-5.67583792,1.25810566,0.02907724,0.08011109,0.43747420,0.00947635,0.66222402,0.30586309,0.12186844
-5.66983492,1.23379641,0.02793549,0.07666981,0.42708065,0.00891829,0.65347623,0.30625803,0.11824032
-5.66383192,1.21308191,0.02679421,0.07338485,0.41828287,0.00841305,0.64673396,0.30699139,0.11494095
-5.65782891,1.19580973,0.02565989,0.07025687,0.41106933,0.00795802,0.64190056,0.30801412,0.11196171
-5.65182591,1.18179470,0.02453915,0.06728518,0.40540679,0.00755081,0.63886282,0.30927886,0.10928901
-5.64582291,1.17083025,0.02343869,0.06446852,0.40124406,0.00718942,0.63749678,0.31074182,0.10690544
-5.63981991,1.16269830,0.02236520,0.06180564,0.39851568,0.00687239,0.63767303,0.31236435,0.10479091
-5.63381691,1.15717766,0.02132527,0.05929578,0.39714514,0.00659883,0.63926110,0.31411400,0.10292372
-5.62781391,1.15405082,0.02032514,0.05693892,0.39704794,0.00636849,0.64213321,0.31596522,0.10128138
-5.62181091,1.15310928,0.01937055,0.05473590,0.39813419,0.00618178,0.64616722,0.31789977,0.09984145
-5.61580790,1.15415744,0.01846651,0.05268841,0.40031088,0.00603975,0.65124891,0.31990672,0.09858219
-5.60980490,1.15701523,0.01761710,0.05079887,0.40348388,0.00594403,0.65727360,0.32198230,0.09748306
-5.60380190,1.16151973,0.01682527,0.04907017,0.40755947,0.00589684,0.66414713,0.32412947,0.09652522
-5.59779890,1.16752567,0.01609276,0.04750539,0.41244562,0.00590085,0.67178638,0.32635736,0.09569185
-5.59179590,1.17490517,0.01541997,0.04610746,0.41805283,0.00595910,0.68011913,0.32868047,0.09496838
-5.58579290,1.18354666,0.01480599,0.04487880,0.42429469,0.00607492,0.68908357,0.33111777,0.09434271
-5.57978989,1.19335308,0.01424863,0.04382099,0.43108797,0.00625182,0.69862715,0.33369165,0.09380522
-5.57378689,1.20423934,0.01374454,0.04293439,0.43835244,0.00649331,0.70870510,0.33642665,0.09334879
-5.56778389,1.21612932,0.01328944,0.04221791,0.44601020,0.00680284,0.71927845,0.33934813,0.09296868
