energy_ev,total_up,In_p_up,In_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,0.81504766,0.04120582,0.00357227,0.00158370,0.18612463,0.64557862,0.20478710
-5.99399700,0.75117608,0.03724134,0.00328847,0.00148120,0.16772116,0.59060843,0.18983336
-5.98799400,0.69394893,0.03376302,0.00303702,0.00140213,0.15147660,0.54153256,0.17658149
-5.98199100,0.64369961,0.03079866,0.00281952,0.00134827,0.13750778,0.49863970,0.16512709
-5.97598799,0.60064497,0.02836712,0.00263703,0.00132108,0.12589127,0.46211399,0.15553740
-5.96998499,0.56489672,0.02647893,0.00249014,0.00132170,0.11666627,0.43204446,0.14785376
-5.96398199,0.53647257,0.02513694,0.00237899,0.00135097,0.10983782,0.40843459,0.14209384
-5.95797899,0.51530633,0.02433692,0.00230334,0.00140937,0.10537980,0.39121112,0.13825362
-5.95197599,0.50125625,0.02406810,0.00226255,0.00149704,0.10323769,0.38023172,0.13630883
-5.94597299,0.49411120,0.02431359,0.00225566,0.00161375,0.10333091,0.37529099,0.13621579
-5.93996998,0.49359467,0.02505074,0.00228135,0.00175884,0.10555462,0.37612479,0.13791176
-5.93396698,0.49936664,0.02625137,0.00233796,0.00193126,0.10978120,0.38241293,0.14131472
-5.92796398,0.51102383,0.02788189,0.00242352,0.00212946,0.11586117,0.39378055,0.14632283
-5.92196098,0.52809886,0.02990347,0.00253569,0.00235144,0.12362404,0.40979859,0.15281367
-5.91595798,0.55005912,0.03227213,0.00267177,0.00259466,0.13287894,0.42998398,0.16064359
-5.90995498,0.57630609,0.03493886,0.00282872,0.00285611,0.14341548,0.45380011,0.16964723
-5.90395198,0.60617600,0.03784993,0.00300314,0.00313225,0.15500487,0.48065831,0.17963767
-5.89794897,0.63894242,0.04094722,0.00319129,0.00341907,0.16740151,0.50992082,0.19040717
-5.89194597,0.67382163,0.04416882,0.00338914,0.00371214,0.18034535,0.54090581,0.20172887
-5.88594297,0.70998089,0.04744975,0.00359239,0.00400666,0.19356485,0.57289477,0.21335942
-5.87993997,0.74655006,0.05072295,0.00379654,0.00429753,0.20678092,0.60514237,0.22504267
-5.87393697,0.78263637,0.05392038,0.00399697,0.00457952,0.21971146,0.63688885,0.23651431
-5.86793397,0.81734200,0.05697442,0.00418906,0.00484730,0.23207678,0.66737462,0.24750742
-5.86193097,0.84978413,0.05981928,0.00436824,0.00509564,0.24360548,0.69585667,0.25775874
-5.85592796,0.87911637,0.06239260,0.00453015,0.00531955,0.25404064,0.72162614,0.26701538
-5.84992496,0.90455104,0.06463699,0.00467076,0.00551439,0.26314624,0.74402639,0.27504168
-5.84392196,0.92538085,0.06650159,0.00478641,0.00567602,0.27071324,0.76247066,0.28162602
-5.83791896,0.94099933,0.06794347,0.00487404,0.00580095,0.27656528,0.77645846,0.28658710
-5.83191596,0.95091862,0.06892884,0.00493114,0.00588642,0.28056358,0.78558995,0.28977946
-5.82591296,0.95478391,0.06943404,0.00495595,0.00593053,0.28261077,0.78957743,0.29109794
-5.81990995,0.95238364,0.06944615,0.00494742,0.00593226,0.28265354,0.78825336,0.29048086
-5.81390695,0.94365493,0.06896335,0.00490531,0.00589150,0.28068386,0.78157447,0.28791165
-5.80790395,0.92868388,0.06799485,0.00483011,0.00580910,0.27673869,0.76962162,0.28341907
-5.80190095,0.90770073,0.06656043,0.00472310,0.00568679,0.27089821,0.75259552,0.27707562
-5.79589795,0.88107005,0.06468970,0.00458624,0.00552712,0.26328265,0.73080827,0.26899468
-5.78989495,0.84927648,0.06242099,0.00442211,0.00533339,0.25404774,0.70467131,0.25932608
-5.78389195,0.81290657,0.05979998,0.00423381,0.00510951,0.24337917,0.67468024,0.24825059
-5.77788894,0.77262781,0.05687811,0.00402488,0.00485989,0.23148615,0.64139723,0.23597355
-5.77188594,0.72916561,0.05371091,0.00379913,0.00458928,0.21859444,0.60543186,0.22271781
-5.76588294,0.68327940,0.05035620,0.00356056,0.00430262,0.20493918,0.56742126,0.20871647
-5.75987994,0.63573887,0.04687240,0.00331322,0.00400490,0.19075773,0.52801031,0.19420562
-5.75387694,0.58730136,0.04331680,0.00306107,0.00370102,0.17628292,0.48783291,0.17941745
-5.74787394,0.53869116,0.03974411,0.00280793,0.00339564,0.16173685,0.44749482,0.16457393
-5.74187094,0.49058157,0.03620515,0.00255731,0.00309308,0.14732563,0.40755880,0.14988139
-5.73586793,0.44358022,0.03274581,0.00231240,0.00279725,0.13323493,0.36853244,0.13552598
-5.72986493,0.39821794,0.02940625,0.00207599,0.00251154,0.11962678,0.33085899,0.12167035
-5.72386193,0.35494134,0.02622039,0.00185039,0.00223883,0.10663735,0.29491122,0.10845137
-5.71785893,0.31410911,0.02321573,0.00163749,0.00198139,0.09437593,0.26098836,0.09597903
-5.71185593,0.27599170,0.02041335,0.00143870,0.00174097,0.08292483,0.22931591,0.08433637
-5.70585293,0.24077411,0.01782820,0.00125498,0.00151874,0.07234027,0.20004798,0.07358032
-5.69984992,0.20856139,0.01546959,0.00108687,0.00131536,0.06265407,0.17327177,0.06374347
-5.69384692,0.17938607,0.01334182,0.00093453,0.00113104,0.05387587,0.14901387,0.05483629
-5.68784392,0.15321729,0.01144500,0.00079777,0.00096556,0.04599585,0.12724770,0.04685003
-5.68184092,0.12997080,0.00977587,0.00067614,0.00081839,0.03898775,0.10790184,0.03975976
-5.67583792,0.10951948,0.00832876,0.00056894,0.00068867,0.03281195,0.09086867,0.03352765
-5.66983492,0.09170377,0.00709649,0.00047530,0.00057536,0.02741862,0.07601302,0.02810616
-5.66383192,0.07634176,0.00607133,0.00039422,0.00047725,0.02275059,0.06318039,0.02344124
-5.65782891,0.06323847,0.00524587,0.00032463,0.00039305,0.01874617,0.05220463,0.01947518
-5.65182591,0.05219421,0.00461384,0.00026540,0.00032140,0.01534152,0.04291470,0.01614920
-5.64582291,0.04301180,0.00417083,0.00021542,0.00026096,0.01247271,0.03514060,0.01340576
-5.63981991,0.03550252,0.00391502,0.00017360,0.00021040,0.01007751,0.02871820,0.01119039
-5.63381691,0.02949095,0.00384763,0.00013889,0.00016847,0.00809664,0.02349308,0.00945326
-5.62781391,0.02481846,0.00397345,0.00011032,0.00013399,0.00647484,0.01932341,0.00815026
-5.62181091,0.02134570,0.00430105,0.00008700,0.00010588,0.00516154,0.01608190,0.00724382
-5.61580790,0.01895397,0.00484304,0.00006812,0.00008317,0.00411120,0.01365691,0.00670332
-5.60980490,0.01754569,0.00561601,0.00005295,0.00006500,0.00328353,0.01195288,0.00650526
-5.60380190,0.01704402,0.00664041,0.00004087,0.00005059,0.00264338,0.01089004,0.00663306
-5.59779890,0.01739183,0.00794025,0.00003131,0.00003929,0.00216057,0.01040375,0.00707676
-5.59179590,0.01854996,0.00954251,0.00002382,0.00003053,0.00180955,0.01044329,0.00783229
-5.58579290,0.02049505,0.01147647,0.00001799,0.00002385,0.00156900,0.01097035,0.00890073
-5.57978989,0.02321686,0.01377280,0.00001349,0.00001884,0.00142138,0.01195734,0.01028728
-5.57378689,0.02671531,0.01646236,0.00001004,0.00001517,0.00135241,0.01338538,0.01200008
-5.56778389,0.03099715,0.01957493,0.00000742,0.00001258,0.00135064,0.01524228,0.01404895
-5.56178089,0.03607250,0.02313771,0.00000545,0.00001086,0.00140690,0.01752035,0.01644398
-5.55577789,0.04195120,0.02717362,0.00000397,0.00000982,0.00151393,0.02021424,0.01919407
-5.54977489,0.04863913,0.03169961,0.00000287,0.00000933,0.00166587,0.02331880,0.02230538
-5.54377189,0.05613464,0.03672489,0.00000206,0.00000928,0.00185794,0.02682698,0.02577989
-5.53776888,0.06442508,0.04224913,0.00000147,0.00000959,0.00208604,0.03072790,0.02961388
-5.53176588,0.07348366,0.04826087,0.00000104,0.00001018,0.00234650,0.03500505,0.03379667
-5.52576288,0.08326672,0.05473607,0.00000073,0.00001101,0.00263577,0.03963480,0.03830941
-5.51975988,0.09371154,0.06163702,0.00000051,0.00001202,0.00295024,0.04458513,0.04312417
-5.51375688,0.10473481,0.06891155,0.00000036,0.00001317,0.00328608,0.04981480,0.04820335
-5.50775388,0.11623196,0.07649278,0.00000025,0.00001444,0.00363910,0.05527286,0.05349931
-5.50175088,0.12807724,0.08429938,0.00000018,0.00001580,0.00400470,0.06089860,0.05895461
-5.49574787,0.14012492,0.09223642,0.00000014,0.00001720,0.00437783,0.06662203,0.06450244
-5.48974487,0.15221130,0.10019685,0.00000012,0.00001863,0.00475302,0.07236482,0.07006771
-5.48374187,0.16415783,0.10806357,0.00000011,0.00002006,0.00512444,0.07804162,0.07556840
-5.47773887,0.17577501,0.11571211,0.00000012,0.00002146,0.00548598,0.08356201,0.08091746
-5.47173587,0.18686721,0.12301375,0.00000015,0.00002281,0.00583142,0.08883264,0.08602500
-5.46573287,0.19723806,0.12983913,0.00000021,0.00002408,0.00615451,0.09375978,0.09080081
-5.45972986,0.20669628,0.13606209,0.00000029,0.00002525,0.00644923,0.09825210,0.09515704
