energy_ev,total_up,Ge_p_up,Ge_d_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,0.73924902,0.13812635,0.00000000,0.51105372,0.34524700,0.24666487,0.00000000
-5.99399700,0.76247554,0.14964732,0.00000000,0.50542734,0.36042339,0.24343171,0.00000000
-5.98799400,0.79319376,0.16188913,0.00000000,0.50491739,0.37876466,0.24405036,0.00000000
-5.98199100,0.83157070,0.17472098,0.00000000,0.50997634,0.40024380,0.24882673,0.00000000
-5.97598799,0.87778613,0.18801264,0.00000000,0.52105624,0.42483850,0.25807338,0.00000000
-5.96998499,0.93201877,0.20163599,0.00000000,0.53859032,0.45252808,0.27209788,0.00000000
-5.96398199,0.99442977,0.21546646,0.00000000,0.56297309,0.48328943,0.29118954,0.00000000
-5.95797899,1.06514349,0.22938422,0.00000000,0.59453946,0.51709165,0.31560482,0.00000000
-5.95197599,1.14422584,0.24327512,0.00000000,0.63354339,0.55388939,0.34555168,0.00000000
-5.94597299,1.23166082,0.25703125,0.00000000,0.68013648,0.59361527,0.38117333,0.00000000
-5.93996998,1.32732578,0.27055126,0.00000000,0.73434739,0.63617123,0.42253185,0.00000000
-5.93396698,1.43096643,0.28374026,0.00000000,0.79606273,0.68141944,0.46959235,0.00000000
-5.92796398,1.54217281,0.29650948,0.00000000,0.86501037,0.72917306,0.52220841,0.00000000
-5.92196098,1.66035750,0.30877569,0.00000000,0.94074612,0.77918747,0.58010951,0.00000000
-5.91595798,1.78473772,0.32046056,0.00000000,1.02264470,0.83115255,0.64289131,0.00000000
-5.90995498,1.91432274,0.33148997,0.00000000,1.10989584,0.88468674,0.71000961,0.00000000
-5.90395198,2.04790819,0.34179345,0.00000000,1.20150649,0.93933354,0.78077866,0.00000000
-5.89794897,2.18407854,0.35130395,0.00000000,1.29630956,0.99456099,0.85437443,0.00000000
-5.89194597,2.32121889,0.35995790,0.00000000,1.39297975,1.04976479,0.92984334,0.00000000
-5.88594297,2.45753669,0.36769576,0.00000000,1.49005648,1.10427530,1.00611667,0.00000000
-5.87993997,2.59109344,0.37446305,0.00000000,1.58597366,1.15736862,1.08203050,0.00000000
-5.87393697,2.71984617,0.38021185,0.00000000,1.67909573,1.20828165,1.15635098,0.00000000
-5.86793397,2.84169753,0.38490272,0.00000000,1.76775898,1.25623082,1.22780424,0.00000000
-5.86193097,2.95455298,0.38850693,0.00000000,1.85031678,1.30043390,1.29511002,0.00000000
-5.85592796,3.05638299,0.39100885,0.00000000,1.92518696,1.34013404,1.35701778,0.00000000
-5.84992496,3.14528754,0.39240835,0.00000000,1.99089972,1.37462505,1.41234407,0.00000000
-5.84392196,3.21956022,0.39272285,0.00000000,2.04614375,1.40327664,1.46000941,0.00000000
-5.83791896,3.27774878,0.39198908,0.00000000,2.08980866,1.42555858,1.49907320,0.00000000
-5.83191596,3.31870914,0.39026408,0.00000000,2.12102176,1.44106228,1.52876498,0.00000000
-5.82591296,3.34165010,0.38762547,0.00000000,2.13917733,1.44951873,1.54851074,0.00000000
-5.81990995,3.34616631,0.38417078,0.00000000,2.14395702,1.45081187,1.55795275,0.00000000
-5.81390695,3.33225765,0.38001581,0.00000000,2.13534030,1.44498634,1.55696216,0.00000000
-5.80790395,3.30033398,0.37529202,0.00000000,2.11360444,1.43224937,1.54564358,0.00000000
-5.80190095,3.25120457,0.37014308,0.00000000,2.07931389,1.41296635,1.52433142,0.00000000
-5.79589795,3.18605292,0.36472065,0.00000000,2.03329968,1.38765041,1.49357815,0.00000000
-5.78989495,3.10639780,0.35917963,0.00000000,1.97662976,1.35694634,1.45413494,0.00000000
-5.78389195,3.01404261,0.35367309,0.00000000,1.91057159,1.32160959,1.40692572,0.00000000
-5.77788894,2.91101525,0.34834728,0.00000000,1.83654904,1.28248145,1.35301565,0.00000000
-5.77188594,2.79950160,0.34333678,0.00000000,1.75609532,1.24046150,1.29357571,0.00000000
-5.76588294,2.68177554,0.33876025,0.00000000,1.67080435,1.19647863,1.22984473,0.00000000
-5.75987994,2.56012874,0.33471698,0.00000000,1.58228263,1.15146207,1.16309080,0.00000000
-5.75387694,2.43680347,0.33128437,0.00000000,1.49210364,1.10631362,1.09457344,0.00000000
-5.74787394,2.31393104,0.32851656,0.00000000,1.40176677,1.06188238,1.02550823,0.00000000
-5.74187094,2.19347842,0.32644432,0.00000000,1.31266216,1.01894287,0.95703512,0.00000000
-5.73586793,2.07720489,0.32507612,0.00000000,1.22604266,0.97817755,0.89019159,0.00000000
-5.72986493,1.96662999,0.32440037,0.00000000,1.14300377,0.94016406,0.82589135,0.00000000
-5.72386193,1.86301345,0.32438887,0.00000000,1.06447166,0.90536769,0.76490912,0.00000000
-5.71785893,1.76734710,0.32500100,0.00000000,0.99119936,0.87413899,0.70787164,0.00000000
-5.71185593,1.68035827,0.32618880,0.00000000,0.92377048,0.84671626,0.65525483,0.00000000
-5.70585293,1.60252351,0.32790234,0.00000000,0.86260973,0.82323261,0.60738650,0.00000000
-5.69984992,1.53409126,0.33009549,0.00000000,0.80799901,0.80372684,0.56445430,0.00000000
-5.69384692,1.47511141,0.33273147,0.00000000,0.76009788,0.78815729,0.52651776,0.00000000
-5.68784392,1.42547008,0.33578817,0.00000000,0.71896683,0.77641801,0.49352376,0.00000000
-5.68184092,1.38492710,0.33926281,0.00000000,0.68459200,0.76835597,0.46532422,0.00000000
-5.67583792,1.35315431,0.34317586,0.00000000,0.65690984,0.76378867,0.44169522,0.00000000
-5.66983492,1.32977256,0.34757382,0.00000000,0.63583030,0.76252095,0.42235638,0.00000000
-5.66383192,1.31438565,0.35253084,0.00000000,0.62125742,0.76436043,0.40698965,0.00000000
-5.65782891,1.30660961,0.35814899,0.00000000,0.61310633,0.76913056,0.39525692,0.00000000
-5.65182591,1.30609601,0.36455711,0.00000000,0.61131576,0.77668093,0.38681542,0.00000000
-5.64582291,1.31254869,0.37190814,0.00000000,0.61585576,0.78689423,0.38133087,0.00000000
-5.63981991,1.32573310,0.38037507,0.00000000,0.62673021,0.79968978,0.37848770,0.00000000
-5.63381691,1.34547849,0.39014550,0.00000000,0.64397426,0.81502341,0.37799635,0.00000000
-5.62781391,1.37167303,0.40141501,0.00000000,0.66764704,0.83288397,0.37959768,0.00000000
-5.62181091,1.40425275,0.41437954,0.00000000,0.69782020,0.85328676,0.38306453,0.00000000
-5.61580790,1.44318530,0.42922705,0.00000000,0.73456305,0.87626441,0.38820088,0.00000000
-5.60980490,1.48844971,0.44612884,0.00000000,0.77792533,0.90185587,0.39483886,0.00000000
-5.60380190,1.54001400,0.46523083,0.00000000,0.82791876,0.93009440,0.40283417,0.00000000
-5.59779890,1.59781209,0.48664524,0.00000000,0.88449865,0.96099528,0.41206053,0.00000000
-5.59179590,1.66172187,0.51044322,0.00000000,0.94754666,0.99454440,0.42240359,0.00000000
-5.58579290,1.73154622,0.53664864,0.00000000,1.01685622,1.03068843,0.43375496,0.00000000
-5.57978989,1.80699846,0.56523359,0.00000000,1.09212148,1.06932756,0.44600685,0.00000000
-5.57378689,1.88769361,0.59611596,0.00000000,1.17293101,1.11031145,0.45904788,0.00000000
-5.56778389,1.97314657,0.62915924,0.00000000,1.25876679,1.15343900,0.47276022,0.00000000
-5.56178089,2.06277779,0.66417479,0.00000000,1.34900916,1.19846213,0.48701857,0.00000000
-5.55577789,2.15592659,0.70092674,0.00000000,1.44294779,1.24509385,0.50169091,0.00000000
-5.54977489,2.25187192,0.73913918,0.00000000,1.53979850,1.29302021,0.51664107,0.00000000
-5.54377189,2.34985960,0.77850577,0.00000000,1.63872546,1.34191570,0.53173304,0.00000000
-5.53776888,2.44913489,0.81870112,0.00000000,1.73886788,1.39146141,0.54683659,0.00000000
-5.53176588,2.54897863,0.85939362,0.00000000,1.83936997,1.44136485,0.56183393,0.00000000
-5.52576288,2.64874486,0.90025915,0.00000000,1.93941281,1.49138036,0.57662684,0.00000000
-5.51975988,2.74789767,0.94099491,0.00000000,2.03824643,1.54132866,0.59114380,0.00000000
-5.51375688,2.84604489,0.98133269,0.00000000,2.13522038,1.59111431,0.60534641,0.00000000
-5.50775388,2.94296622,1.02105087,0.00000000,2.22981111,1.64073965,0.61923466,0.00000000
