energy_ev,total_up,Al_p_up,Al_d_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
-6.00000000,1.09061197,0.08310802,0.00000000,0.24617859,0.47896724,0.01759468,0.44278663
-5.99399700,1.14140865,0.08805934,0.00000000,0.25598014,0.50659830,0.01907902,0.46465355
-5.98799400,1.19930795,0.09370628,0.00000000,0.26741124,0.53809826,0.02070559,0.48907679
-5.98199100,1.26414886,0.10002635,0.00000000,0.28043706,0.57339055,0.02245461,0.51598797
-5.97598799,1.33560122,0.10698543,0.00000000,0.29498692,0.61231587,0.02430275,0.54524893
-5.96998499,1.41316294,0.11453763,0.00000000,0.31095426,0.65463019,0.02622339,0.57665047
-5.96398199,1.49616289,0.12262553,0.00000000,0.32819761,0.70000540,0.02818709,0.60991345
-5.95797899,1.58376963,0.13118079,0.00000000,0.34654268,0.74803259,0.03016212,0.64469259
-5.95197599,1.67500605,0.14012503,0.00000000,0.36578550,0.79822837,0.03211514,0.68058284
-5.94597299,1.76876982,0.14937123,0.00000000,0.38569663,0.85004387,0.03401200,0.71712828
-5.93996998,1.86385890,0.15882530,0.00000000,0.40602618,0.90287647,0.03581858,0.75383325
-5.93396698,1.95900159,0.16838806,0.00000000,0.42650974,0.95608388,0.03750176,0.79017541
-5.92796398,2.05288987,0.17795730,0.00000000,0.44687471,1.00900010,0.03903026,0.82562025
-5.92196098,2.14421503,0.18743012,0.00000000,0.46684719,1.06095283,0.04037568,0.85963641
-5.91595798,2.23170409,0.19670518,0.00000000,0.48615879,1.11128156,0.04151331,0.89171141
-5.90995498,2.31415572,0.20568508,0.00000000,0.50455353,1.15935574,0.04242292,0.92136686
-5.90395198,2.39047414,0.21427844,0.00000000,0.52179430,1.20459241,0.04308946,0.94817285
-5.89794897,2.45969977,0.22240197,0.00000000,0.53766875,1.24647235,0.04350352,0.97176068
-5.89194597,2.52103536,0.22998214,0.00000000,0.55199448,1.28455437,0.04366172,0.99183349
-5.88594297,2.57386672,0.23695665,0.00000000,0.56462328,1.31848706,0.04356681,1.00817443
-5.87993997,2.61777718,0.24327547,0.00000000,0.57544435,1.34801749,0.04322762,1.02065196
-5.87393697,2.65255544,0.24890161,0.00000000,0.58438636,1.37299667,0.04265884,1.02922222
-5.86793397,2.67819664,0.25381146,0.00000000,0.59141845,1.39338151,0.04188054,1.03392828
-5.86193097,2.69489674,0.25799482,0.00000000,0.59654997,1.40923330,0.04091763,1.03489660
-5.85592796,2.70304078,0.26145458,0.00000000,0.59982925,1.42071282,0.03979909,1.03233075
-5.84992496,2.70318557,0.26420611,0.00000000,0.60134135,1.42807235,0.03855715,1.02650274
-5.84392196,2.69603780,0.26627650,0.00000000,0.60120490,1.43164511,0.03722644,1.01774259
-5.83791896,2.68242860,0.26770342,0.00000000,0.59956833,1.43183237,0.03584303,1.00642644
-5.83191596,2.66328567,0.26853402,0.00000000,0.59660551,1.42908911,0.03444354,0.99296385
