energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,4.23916540,0.01041637,1.34969546,0.02499473,0.92334466,2.73556526,1.61141316
-5.99399700,4.33173466,0.01111056,1.36888586,0.02580200,0.95798687,2.82746120,1.62390045
-5.98799400,4.42545140,0.01177463,1.38847553,0.02664373,0.99294695,2.91964730,1.63680755
-5.98199100,4.51972708,0.01239862,1.40846180,0.02752011,1.02786259,3.01144316,1.65016839
-5.97598799,4.61377164,0.01297309,1.42877453,0.02842873,1.06232799,3.10207297,1.66393591
-5.96998499,4.70661066,0.01348936,1.44927678,0.02936433,1.09590314,3.19068677,1.67798296
-5.96398199,4.79711277,0.01393992,1.46976886,0.03031878,1.12812515,3.27638693,1.69210710
-5.95797899,4.88402637,0.01431864,1.48999552,0.03128122,1.15852147,3.35825917,1.70603937
-5.95197599,4.96602456,0.01462109,1.50965640,0.03223832,1.18662450,3.43540673,1.71945637
-5.94597299,5.04175638,0.01484475,1.52841894,0.03317469,1.21198694,3.50698647,1.73199561
-5.93996998,5.10990237,0.01498920,1.54593346,0.03407342,1.23419749,3.57224515,1.74327300
-5.93396698,5.16923169,0.01505619,1.56184959,0.03491671,1.25289596,3.63055416,1.75290200
-5.92796398,5.21865822,0.01504976,1.57583318,0.03568660,1.26778738,3.68144099,1.76051319
-5.92196098,5.25729253,0.01497615,1.58758289,0.03636570,1.27865417,3.72461551,1.76577347
-5.91595798,5.28448705,0.01484374,1.59684549,0.03693793,1.28536602,3.75998941,1.76840364
-5.90995498,5.29987173,0.01466290,1.60342884,0.03738916,1.28788663,3.78768746,1.76819352
-5.90395198,5.30337782,0.01444570,1.60721206,0.03770791,1.28627719,3.80804924,1.76501362
-5.89794897,5.29524810,0.01420565,1.60815186,0.03788575,1.28069600,3.82162076,1.75882270
-5.89194597,5.27603234,0.01395737,1.60628482,0.03791768,1.27139424,3.82913559,1.74967057
-5.88594297,5.24656770,0.01371611,1.60172522,0.03780236,1.25870801,3.83148573,1.73769607
-5.87993997,5.20794431,0.01349740,1.59465839,0.03754205,1.24304661,3.82968314,1.72312000
-5.87393697,5.16145744,0.01331653,1.58533005,0.03714254,1.22487765,3.82481317,1.70623349
-5.86793397,5.10854824,0.01318809,1.57403184,0.03661278,1.20470956,3.81798181,1.68738223
-5.86193097,5.05073584,0.01312552,1.56108412,0.03596448,1.18307211,3.81025931,1.66694751
-5.85592796,4.98954410,0.01314064,1.54681673,0.03521153,1.16049590,3.80262254,1.64532505
-5.84992496,4.92642695,0.01324323,1.53154903,0.03436934,1.13749172,3.79589950,1.62290278
-5.84392196,4.86269621,0.01344066,1.51557024,0.03345422,1.11453070,3.79071864,1.60003900
-5.83791896,4.79945591,0.01373756,1.49912140,0.03248260,1.09202632,3.78746615,1.57704202
-5.83191596,4.73754695,0.01413556,1.48237998,0.03147048,1.07031900,3.78625385,1.55415265
-5.82591296,4.67750522,0.01463316,1.46544824,0.03043276,1.04966427,3.78689984,1.53153058
-5.81990995,4.61953588,0.01522560,1.44834593,0.02938281,1.03022488,3.78892361,1.50924552
-5.81390695,4.56350540,0.01590491,1.43100806,0.02833204,1.01206749,3.79155635,1.48727361
-5.80790395,4.50895218,0.01666002,1.41328783,0.02728974,0.99516398,3.79376673,1.46549953
-5.80190095,4.45511534,0.01747698,1.39496465,0.02626290,0.97939732,3.79430115,1.44372408
-5.79589795,4.40098036,0.01833927,1.37575681,0.02525633,0.96457183,3.79173692,1.42167702
-5.78989495,4.34533916,0.01922824,1.35533817,0.02427277,0.95042716,3.78454606,1.39903431
-5.78389195,4.28686154,0.02012358,1.33335793,0.02331321,0.93665531,3.77116651,1.37543890
-5.77788894,4.22417405,0.02100391,1.30946218,0.02237722,0.92291979,3.75007743,1.35052387
-5.77188594,4.15594216,0.02184736,1.28331633,0.02146341,0.90887603,3.71987471,1.32393659
-5.76588294,4.08095120,0.02263230,1.25462678,0.02056985,0.89419183,3.67934290,1.29536264
-5.75987994,3.99818193,0.02333793,1.22316091,0.01969458,0.87856691,3.62751997,1.26454802
-5.75387694,3.90687676,0.02394493,1.18876409,0.01883600,0.86175065,3.56375154,1.23131868
-5.74787394,3.80659325,0.02443614,1.15137299,0.01799328,0.84355706,3.48773210,1.19559603
-5.74187094,3.69724240,0.02479702,1.11102432,0.01716669,0.82387644,3.39953110,1.15740803
-5.73586793,3.57911007,0.02501618,1.06785877,0.01635781,0.80268316,3.29960296,1.11689496
-5.72986493,3.45286087,0.02508569,1.02212001,0.01556971,0.78003942,3.18878077,1.07431000
-5.72386193,3.31952477,0.02500137,0.97414888,0.01480699,0.75609488,3.06825430,1.03001448
-5.71785893,3.18046778,0.02476286,0.92437325,0.01407574,0.73108239,2.93953384,0.98446831
-5.71185593,3.03734855,0.02437368,0.87329427,0.01338343,0.70531034,2.80440204,0.93821614
-5.70585293,2.89206371,0.02384101,0.82146975,0.01273869,0.67915193,2.66485642,0.89187010
-5.69984992,2.74668494,0.02317548,0.76949563,0.01215105,0.65303228,2.52304558,0.84609002
-5.69384692,2.60339126,0.02239081,0.71798663,0.01163066,0.62741404,2.38120243,0.80156222
-5.68784392,2.46439971,0.02150333,0.66755695,0.01118788,0.60278214,2.24157749,0.75897785
-5.68184092,2.33189787,0.02053145,0.61880193,0.01083298,0.57962865,2.10637529,0.71901178
-5.67583792,2.20798082,0.01949511,0.57228154,0.01057570,0.55843820,1.97769647,0.68230288
-5.66983492,2.09459517,0.01841515,0.52850624,0.01042494,0.53967464,1.85748767,0.64943652
-5.66383192,1.99349172,0.01731274,0.48792568,0.01038838,0.52376933,1.74750069,0.62092972
-5.65782891,1.90618814,0.01620878,0.45092056,0.01047215,0.51111135,1.64926193,0.59721948
-5.65182591,1.83394207,0.01512335,0.41779759,0.01068057,0.50203981,1.56405237,0.57865431
-5.64582291,1.77773468,0.01407527,0.38878761,0.01101592,0.49683823,1.49289771,0.56548919
-5.63981991,1.73826411,0.01308167,0.36404647,0.01147821,0.49573086,1.43656816,0.55788356
-5.63381691,1.71594770,0.01215763,0.34365840,0.01206509,0.49888083,1.39558634,0.55590233
-5.62781391,1.71093191,0.01131599,0.32764135,0.01277176,0.50638978,1.37024205,0.55951932
-5.62181091,1.72310815,0.01056715,0.31595383,0.01359099,0.51829861,1.36061210,0.56862287
-5.61580790,1.75213314,0.00991901,0.30850267,0.01451313,0.53458925,1.36658347,0.58302302
-5.60980490,1.79745218,0.00937699,0.30515123,0.01552632,0.55518685,1.38787793,0.60245982
-5.60380190,1.85832373,0.00894406,0.30572762,0.01661666,0.57996241,1.42407670,0.62661241
-5.59779890,1.93384432,0.00862090,0.31003238,0.01776849,0.60873554,1.47464355,0.65510834
-5.59179590,2.02297248,0.00840607,0.31784552,0.01896473,0.64127718,1.53894520,0.68753284
-5.58579290,2.12455106,0.00829624,0.32893236,0.02018732,0.67731233,1.61626817,0.72343776
-5.57978989,2.23732744,0.00828643,0.34304839,0.02141766,0.71652272,1.70583159,0.76234993
-5.57378689,2.35997133,0.00837029,0.35994272,0.02263712,0.75854954,1.80679557,0.80377886
-5.56778389,2.49109011,0.00854034,0.37936043,0.02382755,0.80299627,1.91826532,0.84722357
-5.56178089,2.62924201,0.00878826,0.40104367,0.02497183,0.84943177,2.03929144,0.89217867
-5.55577789,2.77294721,0.00910515,0.42473190,0.02605437,0.89739379,2.16886684,0.93813955
-5.54977489,2.92069748,0.00948176,0.45016125,0.02706160,0.94639287,2.30592121,0.98460684
-5.54377189,3.07096465,0.00990870,0.47706340,0.02798239,0.99591694,2.44931406,1.03109015
-5.53776888,3.22220851,0.01037668,0.50516410,0.02880838,1.04543641,2.59782738,1.07711121
-5.53176588,3.37288454,0.01087662,0.53418175,0.02953418,1.09440998,2.75015897,1.12220651
-5.52576288,3.52145174,0.01139979,0.56382611,0.03015758,1.14229096,2.90491779,1.16592948
-5.51975988,3.66638126,0.01193794,0.59379746,0.03067943,1.18853404,3.06062212,1.20785249
