energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-6.00000000,1.96551995,-2.19700370,1.29289292,-1.52739834,0.50546071,-0.52264911,0.00138100,-0.00160999,0.54030652,-0.73710476,0.03327866,-0.06323131,0.38195097,-0.34999912,0.23894002,-0.24461700,0.13743961,-0.12296777
-5.99399700,2.00431439,-2.21298362,1.33199294,-1.54460576,0.52494532,-0.51086616,0.00131392,-0.00163982,0.55775607,-0.73030509,0.03493779,-0.06297543,0.38736240,-0.36251713,0.23346621,-0.25501339,0.13734275,-0.12752162
-5.98799400,2.04487412,-2.22528900,1.37290982,-1.55785418,0.54619975,-0.49872620,0.00124351,-0.00167033,0.57680981,-0.72197507,0.03671794,-0.06235653,0.39238922,-0.37471289,0.22740112,-0.26541943,0.13698013,-0.13188112
-5.98199100,2.08701714,-2.23338949,1.41536576,-1.56683110,0.56904013,-0.48620994,0.00117109,-0.00170090,0.59729948,-0.71207311,0.03859396,-0.06139071,0.39705197,-0.38637091,0.22092695,-0.27568106,0.13637587,-0.13597950
-5.97598799,2.13053039,-2.23678819,1.45911031,-1.57127148,0.59323875,-0.47330597,0.00109807,-0.00173081,0.61902450,-0.70058340,0.04054018,-0.06010055,0.40138186,-0.39727315,0.21424298,-0.28562770,0.13555787,-0.13974965
-5.96998499,2.17517239,-2.23503886,1.50392962,-1.57096593,0.61852613,-0.46001410,0.00102596,-0.00175926,0.64175456,-0.68751883,0.04253135,-0.05851452,0.40542124,-0.40720497,0.20756145,-0.29507627,0.13455716,-0.14312552
-5.96398199,2.22068024,-2.22776283,1.54965593,-1.56576874,0.64459530,-0.44634825,0.00095629,-0.00178535,0.66523397,-0.67292304,0.04454349,-0.05666621,0.40922448,-0.41596150,0.20110354,-0.30383616,0.13340746,-0.14604384
-5.95797899,2.26678114,-2.21466544,1.59617751,-1.55560537,0.67110852,-0.43233863,0.00089064,-0.00180815,0.68918800,-0.65687170,0.04655491,-0.05459346,0.41285916,-0.42335416,0.19509539,-0.31171497,0.13214486,-0.14844587
-5.95197599,2.31320836,-2.19555179,1.64344867,-1.54047970,0.69770616,-0.41803329,0.00083055,-0.00182672,0.71333110,-0.63947296,0.04854719,-0.05233747,0.41640758,-0.42921718,0.18976437,-0.31852483,0.13080774,-0.15027931
-5.94597299,2.35972079,-2.17034124,1.69149952,-1.52048072,0.72401777,-0.40349917,0.00077759,-0.00184014,0.73737669,-0.62086735,0.05050605,-0.04994181,0.41996836,-0.43341387,0.18533557,-0.32408916,0.12943684,-0.15150017
-5.93996998,2.40612499,-2.13908052,1.74044504,-1.49578862,0.74967463,-0.38882257,0.00073327,-0.00184758,0.76104833,-0.60122704,0.05242224,-0.04745152,0.42365791,-0.43584243,0.18202848,-0.32824935,0.12807538,-0.15207460
-5.93396698,2.45229849,-2.10195471,1.79049243,-1.46668013,0.77432354,-0.37410918,0.00069909,-0.00184830,0.78409152,-0.58075476,0.05429212,-0.04491220,0.42761160,-0.43644111,0.18005388,-0.33087135,0.12676932,-0.15198057
-5.92796398,2.49821232,-2.05929584,1.84194618,-1.43353285,0.79764089,-0.35948365,0.00067652,-0.00184171,0.80628572,-0.55968219,0.05611820,-0.04236917,0.43198440,-0.43519242,0.17961094,-0.33185163,0.12556748,-0.15120930
-5.92196098,2.54395102,-2.01158841,1.89520968,-1.39682826,0.81934653,-0.34508877,0.00066697,-0.00182739,0.82745575,-0.53826818,0.05790927,-0.03986673,0.43695054,-0.43212620,0.18088427,-0.33112238,0.12452167,-0.14976640
-5.91595798,2.58972820,-1.95947153,1.95078242,-1.35715331,0.83921646,-0.33108429,0.00067184,-0.00180515,0.84748181,-0.51679661,0.05968036,-0.03744755,0.44270222,-0.42732142,0.18404111,-0.32865557,0.12368653,-0.14767257
-5.90995498,2.63589575,-1.90373710,2.00925199,-1.31520023,0.85709361,-0.31764534,0.00069247,-0.00177502,0.86630743,-0.49557391,0.06145230,-0.03515214,0.44944694,-0.42090654,0.18922845,-0.32446580,0.12311917,-0.14496390
-5.90395198,2.68294515,-1.84532405,2.07128000,-1.27176438,0.87289598,-0.30496053,0.00073015,-0.00173728,0.88394469,-0.47492642,0.06325102,-0.03301845,0.45740348,-0.41305836,0.19657006,-0.31861164,0.12287849,-0.14169166
-5.89794897,2.73149978,-1.78530811,2.13758162,-1.22774008,0.88662164,-0.29322965,0.00078615,-0.00169246,0.90047610,-0.45519734,0.06510649,-0.03108158,0.46679637,-0.40399933,0.20616349,-0.31119553,0.12302412,-0.13792158
