energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Cr_p_up,Cr_d_up,Se_s_up,Se_p_up
-6.00000000,0.33995547,0.00043310,0.04566526,0.20756587,0.04504718,0.19935723,0.04308457,0.00172119,0.14371955
-5.99399700,0.32956104,0.00039339,0.04444172,0.20222953,0.04347101,0.19262568,0.04180847,0.00170672,0.13944936
-5.98799400,0.31854209,0.00037487,0.04303087,0.19605236,0.04186349,0.18588070,0.04043318,0.00169188,0.13493399
-5.98199100,0.30696216,0.00037687,0.04144476,0.18909922,0.04022660,0.17914467,0.03896916,0.00167862,0.13020626
-5.97598799,0.29494939,0.00039925,0.03970236,0.18146691,0.03857124,0.17248200,0.03743536,0.00166937,0.12532685
-5.96998499,0.28268965,0.00044231,0.03782856,0.17327965,0.03691632,0.16599511,0.03585850,0.00166707,0.12038148
-5.96398199,0.27041837,0.00050683,0.03585302,0.16468380,0.03528768,0.15981947,0.03427226,0.00167512,0.11547745
-5.95797899,0.25841141,0.00059399,0.03380888,0.15584220,0.03371670,0.15411773,0.03271648,0.00169732,0.11073984
-5.95197599,0.24697546,0.00070534,0.03173150,0.14692836,0.03223903,0.14907335,0.03123627,0.00173788,0.10630745
-5.94597299,0.23643826,0.00084272,0.02965724,0.13812067,0.03089304,0.14488377,0.02988127,0.00180133,0.10232864
-5.93996998,0.22713913,0.00100817,0.02762221,0.12959693,0.02971848,0.14175351,0.02870499,0.00189252,0.09895729
-5.93396698,0.21942002,0.00120387,0.02566128,0.12152932,0.02875500,0.13988722,0.02776429,0.00201652,0.09634893
-5.92796398,0.21361735,0.00143200,0.02380707,0.11407998,0.02804089,0.13948299,0.02711907,0.00217863,0.09465724
-5.92196098,0.21005482,0.00169465,0.02208925,0.10739730,0.02761182,0.14072588,0.02683214,0.00238430,0.09403086
-5.91595798,0.20903735,0.00199365,0.02053392,0.10161301,0.02749975,0.14378197,0.02696927,0.00263911,0.09461072
-5.90995498,0.21084623,0.00233049,0.01916322,0.09684008,0.02773198,0.14879298,0.02759945,0.00294870,0.09652789
-5.90395198,0.21573551,0.00270613,0.01799512,0.09317138,0.02833035,0.15587154,0.02879530,0.00331874,0.09990196
-5.89794897,0.22392960,0.00312092,0.01704335,0.09067925,0.02931060,0.16509729,0.03063353,0.00375490,0.10483987
-5.89194597,0.23562211,0.00357441,0.01631753,0.08941568,0.03068192,0.17651391,0.03319557,0.00426282,0.11143546
-5.88594297,0.25097580,0.00406530,0.01582337,0.08941331,0.03244664,0.19012709,0.03656808,0.00484806,0.11976939
-5.87993997,0.27012354,0.00459133,0.01556309,0.09068688,0.03460021,0.20590371,0.04084339,0.00551605,0.12990961
-5.87393697,0.29317015,0.00514918,0.01553584,0.09323536,0.03713124,0.22377221,0.04611980,0.00627211,0.14191225
-5.86793397,0.32019499,0.00573449,0.01573821,0.09704434,0.04002181,0.24362414,0.05250148,0.00712135,0.15582287
-5.86193097,0.35125494,0.00634187,0.01616482,0.10208883,0.04324797,0.26531711,0.06009811,0.00806867,0.17167796
-5.85592796,0.38638770,0.00696492,0.01680891,0.10833624,0.04678041,0.28867892,0.06902390,0.00911867,0.18950656
-5.84992496,0.42561501,0.00759635,0.01766292,0.11574935,0.05058523,0.31351282,0.07939613,0.01027559,0.20933193
-5.84392196,0.46894542,0.00822810,0.01871901,0.12428929,0.05462496,0.33960385,0.09133292,0.01154322,0.23117293
-5.83791896,0.51637641,0.00885156,0.01996962,0.13391823,0.05885958,0.36672583,0.10495036,0.01292476,0.25504514
-5.83191596,0.56789536,0.00945776,0.02140784,0.14460177,0.06324764,0.39464890,0.12035886,0.01442267,0.28096134
-5.82591296,0.62347913,0.01003761,0.02302774,0.15631068,0.06774739,0.42314706,0.13765870,0.01603851,0.30893132
-5.81990995,0.68309184,0.01058220,0.02482458,0.16902215,0.07231790,0.45200543,0.15693502,0.01777268,0.33896068
-5.81390695,0.74668081,0.01108304,0.02679485,0.18272003,0.07691997,0.48102675,0.17825207,0.01962418,0.37104862
-5.80790395,0.81417033,0.01153234,0.02893614,0.19739431,0.08151706,0.51003666,0.20164718,0.02159036,0.40518462
-5.80190095,0.88545342,0.01192328,0.03124695,0.21303959,0.08607582,0.53888741,0.22712442,0.02366659,0.44134385
-5.79589795,0.96038171,0.01225018,0.03372619,0.22965248,0.09056655,0.56745967,0.25464838,0.02584597,0.47948165
-5.78989495,1.03875377,0.01250876,0.03637264,0.24722816,0.09496328,0.59566221,0.28413825,0.02811902,0.51952696
-5.78389195,1.12030248,0.01269618,0.03918423,0.26575594,0.09924363,0.62342933,0.31546267,0.03047345,0.56137514
-5.77788894,1.20468212,0.01281119,0.04215724,0.28521430,0.10338835,0.65071613,0.34843561,0.03289392,0.60488057
-5.77188594,1.29145598,0.01285410,0.04528539,0.30556538,0.10738068,0.67749183,0.38281367,0.03536192,0.64984927
-5.76588294,1.38008559,0.01282673,0.04855894,0.32674930,0.11120547,0.70373148,0.41829510,0.03785571,0.69603237
-5.75987994,1.46992246,0.01273234,0.05196387,0.34867885,0.11484820,0.72940656,0.45452091,0.04035043,0.74312068
-5.75387694,1.56020341,0.01257543,0.05548107,0.37123457,0.11829394,0.75447513,0.49107818,0.04281823,0.79074116
-5.74787394,1.65005047,0.01236156,0.05908576,0.39426099,0.12152636,0.77887225,0.52750570,0.04522873,0.83845565
-5.74187094,1.73847595,0.01209711,0.06274706,0.41756412,0.12452683,0.80250131,0.56330204,0.04754942,0.88576250
-5.73586793,1.82439344,0.01178904,0.06642792,0.44091067,0.12727379,0.82522712,0.59793585,0.04974635,0.93210120
-5.72986493,1.90663483,0.01144464,0.07008522,0.46402921,0.12974237,0.84687134,0.63085815,0.05178491,0.97686045
-5.72386193,1.98397327,0.01107127,0.07367034,0.48661347,0.13190432,0.86721081,0.66151629,0.05363069,1.01938951
-5.71785893,2.05515172,0.01067616,0.07713000,0.50832779,0.13372836,0.88597904,0.68936911,0.05525046,1.05901268
-5.71185593,2.11891608,0.01026620,0.08040737,0.52881462,0.13518094,0.90287126,0.71390266,0.05661319,1.09504659
-5.70585293,2.17405192,0.00984783,0.08344360,0.54770402,0.13622724,0.91755268,0.73464596,0.05769106,1.12681965
-5.69984992,2.21942322,0.00942694,0.08617949,0.56462462,0.13683263,0.92966997,0.75118596,0.05846042,1.15369296
-5.69384692,2.25401147,0.00900881,0.08855738,0.57921570,0.13696429,0.93886515,0.76318128,0.05890270,1.17508167
-5.68784392,2.27695336,0.00859815,0.09052308,0.59113992,0.13659304,0.94479156,0.77037382,0.05900516,1.19047608
-5.68184092,2.28757523,0.00819916,0.09202792,0.60009594,0.13569519,0.94713080,0.77259794,0.05876151,1.19946121
-5.67583792,2.28542252,0.00781563,0.09303050,0.60583046,0.13425438,0.94560985,0.76978664,0.05817224,1.20173403
-5.66983492,2.27028276,0.00745112,0.09349845,0.60814898,0.13226324,0.94001743,0.76197446,0.05724488,1.19711747
-5.66383192,2.24220080,0.00710908,0.09340980,0.60692478,0.12972477,0.93021867,0.74929699,0.05599388,1.18557037
-5.65782891,2.20148552,0.00679311,0.09275397,0.60210557,0.12665342,0.91616721,0.73198699,0.05444038,1.16719303
-5.65182591,2.14870756,0.00650711,0.09153248,0.59371757,0.12307575,0.89791415,0.71036729,0.05261168,1.14222781
-5.64582291,2.08468804,0.00625548,0.08975903,0.58186663,0.11903061,0.87561326,0.68484087,0.05054055,1.11105497
-5.63981991,2.01047896,0.00604334,0.08745934,0.56673653,0.11456888,0.84952218,0.65587856,0.04826439,1.07418366
-5.63381691,1.92733598,0.00587660,0.08467033,0.54858435,0.10975275,0.81999963,0.62400487,0.04582423,1.03223878
-5.62781391,1.83668494,0.00576216,0.08143906,0.52773318,0.10465455,0.78749869,0.58978270,0.04326370,0.98594406
-5.62181091,1.74008371,0.00570790,0.07782126,0.50456271,0.09935526,0.75255650,0.55379761,0.04062786,0.93610238
-5.61580790,1.63918102,0.00572275,0.07387953,0.47949782,0.09394274,0.71578106,0.51664221,0.03796217,0.88357405
-5.60980490,1.53567407,0.00581659,0.06968148,0.45299606,0.08850964,0.67783563,0.47890139,0.03531141,0.82925422
-5.60380190,1.43126669,0.00600020,0.06529759,0.42553426,0.08315135,0.63942154,0.44113895,0.03271867,0.77405022
-5.59779890,1.32762976,0.00628501,0.06079923,0.39759520,0.07796382,0.60126022,0.40388610,0.03022454,0.71885982
-5.59179590,1.22636513,0.00668294,0.05625667,0.36965450,0.07304144,0.56407519,0.36763206,0.02786634,0.66455129
-5.58579290,1.12897430,0.00720602,0.05173721,0.34216856,0.06847507,0.52857459,0.33281709,0.02567751,0.61194578
-5.57978989,1.03683271,0.00786609,0.04730363,0.31556376,0.06435028,0.49543512,0.29982799,0.02368717,0.56180268
-5.57378689,0.95116991,0.00867433,0.04301283,0.29022732,0.06074570,0.46528755,0.26899602,0.02191980,0.51480815
-5.56778389,0.87305592,0.00964082,0.03891480,0.26649997,0.05773180,0.43870448,0.24059698,0.02039506,0.47156698
-5.56178089,0.80339354,0.01077408,0.03505189,0.24467060,0.05536975,0.41619025,0.21485333,0.01912771,0.43259781
