energy_ev,total_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up,Y_p_up,Y_d_up
-6.00000000,0.39264231,0.00039036,0.14924292,0.00021709,0.00003878,0.01700382,0.11767373
-5.99399700,0.39064886,0.00038947,0.14947878,0.00019495,0.00003842,0.01739715,0.11732030
-5.98799400,0.38619301,0.00038639,0.14878592,0.00018492,0.00003779,0.01779931,0.11623102
-5.98199100,0.37937387,0.00038103,0.14718540,0.00018613,0.00003691,0.01822872,0.11443110
-5.97598799,0.37035121,0.00037336,0.14472356,0.00019801,0.00003581,0.01870913,0.11196444
-5.96998499,0.35933939,0.00036344,0.14147033,0.00022037,0.00003449,0.01926917,0.10889195
-5.96398199,0.34659965,0.00035141,0.13751673,0.00025327,0.00003299,0.01994177,0.10528945
-5.95797899,0.33243114,0.00033746,0.13297171,0.00029703,0.00003134,0.02076343,0.10124498
-5.95197599,0.31716095,0.00032184,0.12795853,0.00035217,0.00002955,0.02177329,0.09685589
-5.94597299,0.30113359,0.00030482,0.12261063,0.00041938,0.00002768,0.02301204,0.09222565
-5.93996998,0.28470034,0.00028671,0.11706738,0.00049946,0.00002574,0.02452067,0.08746064
-5.93396698,0.26820876,0.00026784,0.11146970,0.00059328,0.00002376,0.02633907,0.08266687
-5.92796398,0.25199286,0.00024854,0.10595579,0.00070174,0.00002179,0.02850449,0.07794694
-5.92196098,0.23636423,0.00022914,0.10065714,0.00082572,0.00001984,0.03104998,0.07339719
-5.91595798,0.22160427,0.00020996,0.09569492,0.00096607,0.00001793,0.03400271,0.06910524
-5.90995498,0.20795799,0.00019133,0.09117688,0.00112352,0.00001610,0.03738239,0.06514789
-5.90395198,0.19562928,0.00017353,0.08719493,0.00129873,0.00001435,0.04119976,0.06158960
-5.89794897,0.18477789,0.00015686,0.08382333,0.00149222,0.00001271,0.04545520,0.05848134
-5.89194597,0.17551815,0.00014161,0.08111771,0.00170440,0.00001118,0.05013759,0.05586012
-5.88594297,0.16791933,0.00012805,0.07911485,0.00193560,0.00000977,0.05522351,0.05374898
-5.87993997,0.16200765,0.00011648,0.07783323,0.00218608,0.00000848,0.06067678,0.05215748
-5.87393697,0.15776974,0.00010718,0.07727434,0.00245615,0.00000732,0.06644843,0.05108271
-5.86793397,0.15515750,0.00010051,0.07742471,0.00274622,0.00000629,0.07247718,0.05051081
-5.86193097,0.15409412,0.00009683,0.07825865,0.00305692,0.00000539,0.07869045,0.05041877
-5.85592796,0.15448103,0.00009660,0.07974142,0.00338930,0.00000460,0.08500585,0.05077663
-5.84992496,0.15620561,0.00010033,0.08183305,0.00374490,0.00000394,0.09133323,0.05154997
-5.84392196,0.15914937,0.00010865,0.08449231,0.00412604,0.00000338,0.09757718,0.05270252
-5.83791896,0.16319635,0.00012228,0.08768100,0.00453592,0.00000294,0.10363993,0.05419890
-5.83191596,0.16824139,0.00014211,0.09136822,0.00497885,0.00000259,0.10942456,0.05600734
-5.82591296,0.17419811,0.00016916,0.09553450,0.00546043,0.00000235,0.11483839,0.05810230
-5.81990995,0.18100617,0.00020460,0.10017564,0.00598769,0.00000220,0.11979638,0.06046695
-5.81390695,0.18863750,0.00024978,0.10530601,0.00656920,0.00000215,0.12422451,0.06309522
-5.80790395,0.19710134,0.00030625,0.11096116,0.00721513,0.00000220,0.12806277,0.06599356
-5.80190095,0.20644770,0.00037569,0.11719959,0.00793723,0.00000234,0.13126782,0.06918212
-5.79589795,0.21676897,0.00045997,0.12410350,0.00874876,0.00000259,0.13381501,0.07269541
-5.78989495,0.22819964,0.00056109,0.13177834,0.00966424,0.00000293,0.13569980,0.07658226
-5.78389195,0.24091384,0.00068119,0.14035122,0.01069922,0.00000338,0.13693831,0.08090508
-5.77788894,0.25512075,0.00082247,0.14996794,0.01186982,0.00000395,0.13756710,0.08573846
-5.77188594,0.27105790,0.00098717,0.16078886,0.01319228,0.00000464,0.13764205,0.09116700
-5.76588294,0.28898246,0.00117755,0.17298351,0.01468233,0.00000545,0.13723646,0.09728250
-5.75987994,0.30916078,0.00139575,0.18672417,0.01635453,0.00000641,0.13643840,0.10418057
-5.75387694,0.33185652,0.00164379,0.20217868,0.01822151,0.00000750,0.13534734,0.11195672
-5.74787394,0.35731790,0.00192348,0.21950258,0.02029325,0.00000875,0.13407039,0.12070218
-5.74187094,0.38576431,0.00223635,0.23883101,0.02257628,0.00001016,0.13271813,0.13049948
-5.73586793,0.41737326,0.00258357,0.26027080,0.02507300,0.00001173,0.13140035,0.14141805
-5.72986493,0.45226788,0.00296590,0.28389286,0.02778103,0.00001346,0.13022185,0.15351013
-5.72386193,0.49050588,0.00338364,0.30972558,0.03069270,0.00001536,0.12927843,0.16680695
-5.71785893,0.53207039,0.00383656,0.33774936,0.03379473,0.00001743,0.12865343,0.18131564
-5.71185593,0.57686327,0.00432392,0.36789265,0.03706804,0.00001966,0.12841475,0.19701680
-5.70585293,0.62470124,0.00484440,0.40002984,0.04048786,0.00002205,0.12861268,0.21386309
