energy_ev,total_up,Bi_p_up,Bi_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,2.40026680,0.25016593,0.00380962,0.03241797,1.42377678,0.79863063,0.56648981
-5.99399700,2.36396739,0.25347346,0.00366527,0.03316581,1.39662103,0.79616837,0.55845248
-5.98799400,2.32379972,0.25621345,0.00351158,0.03388507,1.36724630,0.79322541,0.54954679
-5.98199100,2.28028849,0.25830183,0.00335112,0.03455744,1.33608971,0.78984548,0.53988419
-5.97598799,2.23396161,0.25965896,0.00318648,0.03516579,1.30358937,0.78605763,0.52958400
-5.96998499,2.18534339,0.26021297,0.00302016,0.03569467,1.27017659,0.78187842,0.51877188
-5.96398199,2.13494936,0.25990298,0.00285457,0.03613094,1.23626922,0.77731505,0.50757843
-5.95797899,2.08328253,0.25868220,0.00269195,0.03646419,1.20226599,0.77236895,0.49613756
-5.95197599,2.03083059,0.25652057,0.00253435,0.03668705,1.16854183,0.76703956,0.48458485
-5.94597299,1.97806350,0.25340690,0.00238356,0.03679544,1.13544379,0.76132790,0.47305559
-5.93996998,1.92543104,0.24935026,0.00224115,0.03678860,1.10328752,0.75523962,0.46168267
-5.93396698,1.87335983,0.24438066,0.00210839,0.03666903,1.07235408,0.74878721,0.45059408
-5.92796398,1.82224952,0.23854886,0.00198629,0.03644226,1.04288678,0.74199113,0.43991015
-5.92196098,1.77246787,0.23192535,0.00187557,0.03611646,1.01508821,0.73487987,0.42974062
-5.91595798,1.72434499,0.22459850,0.00177665,0.03570204,0.98911727,0.72748886,0.42018147
-5.90995498,1.67816674,0.21667212,0.00168971,0.03521102,0.96508634,0.71985831,0.41131185
-5.90395198,1.63416773,0.20826231,0.00161464,0.03465647,0.94305890,0.71203037,0.40319115
-5.89794897,1.59252468,0.19949401,0.00155111,0.03405185,0.92304765,0.70404575,0.39585644
-5.89194597,1.55335041,0.19049726,0.00149854,0.03341042,0.90501362,0.69594020,0.38932048
-5.88594297,1.51668953,0.18140346,0.00145620,0.03274464,0.88886638,0.68774130,0.38357051
-5.87993997,1.48251615,0.17234175,0.00142315,0.03206571,0.87446586,0.67946588,0.37856794
-5.87393697,1.45073433,0.16343567,0.00139833,0.03138317,0.86162578,0.67111833,0.37424905
-5.86793397,1.42118164,0.15480027,0.00138057,0.03070460,0.85011898,0.66269015,0.37052687
-5.86193097,1.39363587,0.14653982,0.00136864,0.03003553,0.83968459,0.65416091,0.36729410
-5.85592796,1.36782510,0.13874599,0.00136126,0.02937936,0.83003696,0.64550048,0.36442706
