energy_ev,total_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
3.83891946,2.09874777,0.00600106,0.09392247,0.22866379,0.18117102,0.02049131,0.15627247,0.20390761,1.83923567
3.84492246,2.05281875,0.00603309,0.09215915,0.23143873,0.17747097,0.02021821,0.15074958,0.20450406,1.79699708
3.85092546,2.00686664,0.00606946,0.09045695,0.23501244,0.17372896,0.01996133,0.14532377,0.20525448,1.75417763
3.85692846,1.96165481,0.00611578,0.08885450,0.23953445,0.17001855,0.01974622,0.14004940,0.20620559,1.71139548
3.86293147,1.91794231,0.00617783,0.08738582,0.24514551,0.16640761,0.01959854,0.13497691,0.20740099,1.66928250
3.86893447,1.87645917,0.00626135,0.08607899,0.25197140,0.16295569,0.01954326,0.13015168,0.20887882,1.62846424
3.87493747,1.83788155,0.00637180,0.08495496,0.26011684,0.15971193,0.01960386,0.12561316,0.21066949,1.58953909
3.88094047,1.80280796,0.00651410,0.08402685,0.26965957,0.15671333,0.01980153,0.12139402,0.21279375,1.55305749
3.88694347,1.77173779,0.00669242,0.08329952,0.28064496,0.15398377,0.02015434,0.11751960,0.21526102,1.51950247
3.89294647,1.74505323,0.00690991,0.08276952,0.29308143,0.15153363,0.02067660,0.11400763,0.21806829,1.48927234
3.89894947,1.72300570,0.00716854,0.08242554,0.30693691,0.14936004,0.02137813,0.11086815,0.22119947,1.46266681
3.90495248,1.70570738,0.00746892,0.08224912,0.32213649,0.14744790,0.02226382,0.10810383,0.22462546,1.43987702
3.91095548,1.69312863,0.00781015,0.08221575,0.33856154,0.14577135,0.02333318,0.10571047,0.22830478,1.42098031
3.91695848,1.68510143,0.00818979,0.08229623,0.35605043,0.14429585,0.02458008,0.10367786,0.23218479,1.40594010
3.92296148,1.68132884,0.00860384,0.08245820,0.37440084,0.14298057,0.02599274,0.10199084,0.23620357,1.39461094
3.92896448,1.68140032,0.00904683,0.08266782,0.39337375,0.14178108,0.02755376,0.10063055,0.24029221,1.38674874
3.93496748,1.68481219,0.00951187,0.08289145,0.41269909,0.14065210,0.02924052,0.09957581,0.24437751,1.38202576
3.94097049,1.69099260,0.00999094,0.08309727,0.43208279,0.13955026,0.03102557,0.09880455,0.24838500,1.38004983
3.94697349,1.69932983,0.01047506,0.08325675,0.45121519,0.13843657,0.03287740,0.09829527,0.25224207,1.38038705
3.95297649,1.70920295,0.01095465,0.08334594,0.46978044,0.13727868,0.03476127,0.09802835,0.25588105,1.38258691
3.95897949,1.72001334,0.01141982,0.08334643,0.48746651,0.13605266,0.03664020,0.09798724,0.25924229,1.38620894
3.96498249,1.73121599,0.01186082,0.08324603,0.50397566,0.13474427,0.03847614,0.09815947,0.26227683,1.39084960
3.97098549,1.74234910,0.01226834,0.08303912,0.51903469,0.13334968,0.04023116,0.09853730,0.26494874,1.39616835
3.97698849,1.75306069,0.01263397,0.08272659,0.53240472,0.13187561,0.04186873,0.09911817,0.26723702,1.40191173
3.98299150,1.76313132,0.01295054,0.08231551,0.54389005,0.13033889,0.04335493,0.09990475,0.26913687,1.40793430
3.98899450,1.77249166,0.01321248,0.08181847,0.55334570,0.12876551,0.04465969,0.10090477,0.27066043,1.41421572
3.99499750,1.78123434,0.01341609,0.08125266,0.56068332,0.12718922,0.04575787,0.10213042,0.27183678,1.42087283
4.00100050,1.78961945,0.01355979,0.08063870,0.56587511,0.12564974,0.04663014,0.10359761,0.27271147,1.42816649
4.00700350,1.79807339,0.01364430,0.07999942,0.56895576,0.12419073,0.04726382,0.10532494,0.27334538,1.43650249
4.01300650,1.80718118,0.01367271,0.07935847,0.57002208,0.12285761,0.04765331,0.10733256,0.27381312,1.44642646
4.01900950,1.81767229,0.01365052,0.07873901,0.56923051,0.12169543,0.04780041,0.10964090,0.27420095,1.45861294
4.02501251,1.83040057,0.01358554,0.07816241,0.56679251,0.12074669,0.04771431,0.11226946,0.27460446,1.47384866
4.03101551,1.84631902,0.01348779,0.07764712,0.56296811,0.12004958,0.04741134,0.11523562,0.27512599,1.49301073
4.03701851,1.86645014,0.01336925,0.07720771,0.55805778,0.11963630,0.04691448,0.11855356,0.27587198,1.51704029
4.04302151,1.89185312,0.01324362,0.07685417,0.55239318,0.11953194,0.04625265,0.12223349,0.27695042,1.54691262
4.04902451,1.92358886,0.01312597,0.07659145,0.54632688,0.11975364,0.04545980,0.12628093,0.27846834,1.58360444
4.05502751,1.96268405,0.01303240,0.07641930,0.54022175,0.12031026,0.04457388,0.13069646,0.28052965,1.62805989
4.06103052,2.01009563,0.01297961,0.07633239,0.53444026,0.12120248,0.04363568,0.13547559,0.28323321,1.68115588
4.06703352,2.06667673,0.01298453,0.07632073,0.52933421,0.12242328,0.04268769,0.14060896,0.28667136,1.74366839
4.07303652,2.13314524,0.01306389,0.07637031,0.52523510,0.12395884,0.04177294,0.14608280,0.29092876,1.81624059
4.07903952,2.21005610,0.01323383,0.07646400,0.52244555,0.12578967,0.04093384,0.15187959,0.29608165,1.89935400
4.08504252,2.29777800,0.01350950,0.07658256,0.52123204,0.12789201,0.04021125,0.15797882,0.30219742,1.99330377
4.09104552,2.39647544,0.01390472,0.07670583,0.52181900,0.13023931,0.03964356,0.16435796,0.30933452,2.09817871
4.09704852,2.50609649,0.01443164,0.07681389,0.52438447,0.13280378,0.03926600,0.17099335,0.31754249,2.21384709
4.10305153,2.62636667,0.01510044,0.07688832,0.52905724,0.13555790,0.03911008,0.17786115,0.32686212,2.33994854
4.10905453,2.75678900,0.01591909,0.07691328,0.53591555,0.13847574,0.03920326,0.18493820,0.33732560,2.47589250
4.11505753,2.89665019,0.01689317,0.07687653,0.54498712,0.14153413,0.03956866,0.19220266,0.34895656,2.62086319
4.12106053,3.04503275,0.01802563,0.07677024,0.55625046,0.14471355,0.04022508,0.19963467,0.36176985,2.77383120
4.12706353,3.20083229,0.01931673,0.07659155,0.56963718,0.14799869,0.04118697,0.20721664,0.37577105,2.93357112
4.13306653,3.36277958,0.02076393,0.07634295,0.58503525,0.15137873,0.04246457,0.21493344,0.39095564,3.09868477
4.13906953,3.52946648,0.02236184,0.07603232,0.60229280,0.15484721,0.04406406,0.22277237,0.40730773,3.26762916
4.14507254,3.69937470,0.02410223,0.07567269,0.62122247,0.15840171,0.04598774,0.23072298,0.42479850,3.43874828
4.15107554,3.87090638,0.02597406,0.07528174,0.64160591,0.16204306,0.04823413,0.23877660,0.44338419,3.61030750
4.15707854,4.04241546,0.02796355,0.07488105,0.66319843,0.16577445,0.05079809,0.24692589,0.46300394,3.78052935
4.16308154,4.21223861,0.03005431,0.07449508,0.68573354,0.16960023,0.05367077,0.25516415,0.48357742,3.94762956
4.16908454,4.37872481,0.03222746,0.07415004,0.70892727,0.17352463,0.05683955,0.26348458,0.50500249,4.10985188
4.17508754,4.54026246,0.03446183,0.07387255,0.73248226,0.17755033,0.06028790,0.27187953,0.52715302,4.26550069
4.18109055,4.69530347,0.03673422,0.07368827,0.75609156,0.18167711,0.06399506,0.28033965,0.54987704,4.41297027
4.18709355,4.84238355,0.03901962,0.07362050,0.77944199,0.18590047,0.06793584,0.28885309,0.57299544,4.55076990
4.19309655,4.98013845,0.04129153,0.07368884,0.80221738,0.19021041,0.07208027,0.29740471,0.59630139,4.67754433
