energy_ev,total_up,Li_s_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,3.56341489,0.04392233,1.75454520,1.50233437,0.02647574,0.32372169,0.08868349,1.66357191
-5.99399700,3.68663313,0.04511567,1.82624892,1.54021551,0.02739626,0.33509199,0.09359539,1.72726967
-5.98799400,3.81599071,0.04629331,1.90640444,1.57928871,0.02830789,0.34795297,0.09885284,1.79291275
-5.98199100,3.94865178,0.04742980,1.99276986,1.61844841,0.02919222,0.36193849,0.10439930,1.85931010
-5.97598799,4.08190863,0.04850275,2.08308615,1.65667115,0.03003284,0.37668226,0.11017659,1.92533115
-5.96998499,4.21323413,0.04949345,2.17511670,1.69303641,0.03081580,0.39182443,0.11612549,1.98992917
-5.96398199,4.34032434,0.05038732,2.26668652,1.72674227,0.03152998,0.40701783,0.12218618,2.05215992
-5.95797899,4.46113005,0.05117425,2.35572027,1.75711538,0.03216725,0.42193355,0.12829861,2.11119489
-5.95197599,4.57387626,0.05184866,2.44027796,1.78361520,0.03272267,0.43626583,0.13440260,2.16632859
-5.94597299,4.67706946,0.05240947,2.51858719,1.80583235,0.03319434,0.44973618,0.14043794,2.21697992
-5.93996998,4.76949321,0.05285989,2.58907101,1.82348167,0.03358330,0.46209649,0.14634433,2.26268781
-5.93396698,4.85019308,0.05320702,2.65037032,1.83639066,0.03389319,0.47313134,0.15206131,2.30310176
-5.92796398,4.91845267,0.05346131,2.70136028,1.84448428,0.03412984,0.48265919,0.15752825,2.33796816
-5.92196098,4.97376301,0.05363601,2.74116007,1.84776713,0.03430075,0.49053281,0.16268434,2.36711366
-5.91595798,5.01578773,0.05374643,2.76913600,1.84630455,0.03441453,0.49663869,0.16746876,2.39042684
-5.90995498,5.04432689,0.05380924,2.78489795,1.84020363,0.03448031,0.50089584,0.17182100,2.40783958
-5.90395198,5.05928202,0.05384173,2.78828959,1.82959565,0.03450714,0.50325390,0.17568141,2.41930969
-5.89794897,5.06062501,0.05386109,2.77937317,1.81462081,0.03450346,0.50369079,0.17899194,2.42480593
-5.89194597,5.04837283,0.05388376,2.75840967,1.79541631,0.03447660,0.50221011,0.18169719,2.42429658
-5.88594297,5.02256987,0.05392484,2.72583554,1.77210834,0.03443238,0.49883838,0.18374556,2.41774233
-5.87993997,4.98327868,0.05399756,2.68223719,1.74480819,0.03437488,0.49362226,0.18509068,2.40509393
-5.87393697,4.93057944,0.05411288,2.62832444,1.71361270,0.03430621,0.48662606,0.18569295,2.38629474
-5.86793397,4.86457782,0.05427916,2.56490411,1.67860845,0.03422652,0.47792935,0.18552103,2.36128779
-5.86193097,4.78542002,0.05450194,2.49285481,1.63987935,0.03413409,0.46762499,0.18455344,2.33002671
-5.85592796,4.69331332,0.05478375,2.41310372,1.59751659,0.03402549,0.45581747,0.18277995,2.29248967
-5.84992496,4.58855024,0.05512410,2.32660608,1.55163016,0.03389586,0.44262159,0.18020276,2.24869503
-5.84392196,4.47153366,0.05551945,2.23432758,1.50236073,0.03373928,0.42816141,0.17683744,2.19871754
-5.83791896,4.34280083,0.05596327,2.13722999,1.44989101,0.03354914,0.41256943,0.17271342,2.14270356
-5.83191596,4.20304358,0.05644617,2.03625973,1.39445533,0.03331854,0.39598586,0.16787412,2.08088429
-5.82591296,4.05312297,0.05695605,1.93233917,1.33634687,0.03304068,0.37855793,0.16237658,2.01358559
-5.81990995,3.89407654,0.05747835,1.82636020,1.27592177,0.03270922,0.36043905,0.15629067,1.94123373
-5.81390695,3.72711713,0.05799625,1.71917953,1.21359964,0.03231861,0.34178781,0.14969773,1.86435637
-5.80790395,3.55362280,0.05849105,1.61161516,1.14986035,0.03186432,0.32276677,0.14268894,1.78357848
-5.80190095,3.37511772,0.05894253,1.50444353,1.08523726,0.03134302,0.30354088,0.13536318,1.69961332
-5.79589795,3.19324501,0.05932931,1.39839687,1.02030699,0.03075272,0.28427561,0.12782467,1.61324875
-5.78989495,3.00973236,0.05962944,1.29416045,0.95567645,0.03009277,0.26513481,0.12018043,1.52532963
-5.78389195,2.82635237,0.05982085,1.19236944,0.89196763,0.02936391,0.24627828,0.11253757,1.43673708
-5.77788894,2.64487923,0.05988196,1.09360550,0.82980097,0.02856812,0.22785922,0.10500065,1.34836567
-5.77188594,2.46704393,0.05979234,0.99839300,0.76977812,0.02770858,0.21002160,0.09766905,1.26109970
-5.76588294,2.29449009,0.05953328,0.90719506,0.71246494,0.02678950,0.19289751,0.09063460,1.17578957
-5.75987994,2.12873228,0.05908848,0.82040984,0.65837541,0.02581598,0.17660478,0.08397947,1.09322950
-5.75387694,1.97111868,0.05844463,0.73836715,0.60795720,0.02479388,0.16124474,0.07777431,1.01413727
-5.74787394,1.82279958,0.05759195,0.66132586,0.56157954,0.02372961,0.14690044,0.07207686,0.93913713
-5.74187094,1.68470271,0.05652467,0.58947238,0.51952363,0.02263005,0.13363528,0.06693094,0.86874611
-5.73586793,1.55751623,0.05524138,0.52292034,0.48197610,0.02150241,0.12149211,0.06236585,0.80336440
-5.72986493,1.44167973,0.05374520,0.46171177,0.44902550,0.02035407,0.11049297,0.05839619,0.74326985
-5.72386193,1.33738316,0.05204393,0.40581978,0.42066202,0.01919255,0.10063933,0.05502216,0.68861654
-5.71785893,1.24457343,0.05014987,0.35515274,0.39678012,0.01802534,0.09191284,0.05223012,0.63943742
-5.71185593,1.16296799,0.04807961,0.30955977,0.37718409,0.01685992,0.08427669,0.04999366,0.59565044
-5.70585293,1.09207457,0.04585359,0.26883756,0.36159606,0.01570358,0.07767734,0.04827484,0.55706791
-5.69984992,1.03121612,0.04349558,0.23273804,0.34966624,0.01456343,0.07204668,0.04702573,0.52340849
-5.69384692,0.97955983,0.04103201,0.20097671,0.34098489,0.01344629,0.06730445,0.04619023,0.49431123
-5.68784392,0.93614904,0.03849119,0.17324138,0.33509567,0.01235865,0.06336096,0.04570591,0.46935109
-5.68184092,0.89993697,0.03590257,0.14920086,0.33150975,0.01130657,0.06011981,0.04550600,0.44805535
-5.67583792,0.86982110,0.03329587,0.12851346,0.32972044,0.01029567,0.05748075,0.04552149,0.42992033
-5.66983492,0.84467704,0.03070035,0.11083492,0.32921770,0.00933103,0.05534238,0.04568304,0.41442784
-5.66383192,0.82339112,0.02814403,0.09582562,0.32950217,0.00841717,0.05360484,0.04592295,0.40106103
-5.65782891,0.80489061,0.02565309,0.08315690,0.33009825,0.00755800,0.05217214,0.04617697,0.38931902
-5.65182591,0.78817082,0.02325132,0.07251632,0.33056603,0.00675684,0.05095433,0.04638586,0.37873006
-5.64582291,0.77231864,0.02095969,0.06361189,0.33051142,0.00601636,0.04986930,0.04649681,0.36886292
-5.63981991,0.75653162,0.01879613,0.05617522,0.32959457,0.00533867,0.04884424,0.04646456,0.35933624
-5.63381691,0.74013269,0.01677536,0.04996357,0.32753614,0.00472528,0.04781668,0.04625227,0.34982568
-5.62781391,0.72257985,0.01490886,0.04476097,0.32412134,0.00417720,0.04673519,0.04583207,0.34006879
-5.62181091,0.70347115,0.01320506,0.04037848,0.31920180,0.00369499,0.04555966,0.04518524,0.32986760
-5.61580790,0.68254481,0.01166946,0.03665363,0.31269516,0.00327883,0.04426124,0.04430222,0.31908897
-5.60980490,0.65967483,0.01030496,0.03344926,0.30458253,0.00292860,0.04282190,0.04318223,0.30766274
