energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,2.27673293,0.01346139,0.26768357,0.75753320,0.00000000,1.76518034,1.33258683,0.57731103,0.00000000
-5.99399700,2.29708994,0.01380823,0.27508148,0.74607035,0.00000000,1.76109725,1.35385422,0.57397739,0.00000000
-5.98799400,2.31616254,0.01414471,0.28193504,0.73466216,0.00000000,1.75403930,1.37444912,0.57098721,0.00000000
-5.98199100,2.33349818,0.01445799,0.28812771,0.72313698,0.00000000,1.74362822,1.39415988,0.56826203,0.00000000
-5.97598799,2.34875496,0.01473552,0.29356230,0.71134613,0.00000000,1.72959121,1.41283888,0.56574451,0.00000000
-5.96998499,2.36169670,0.01496549,0.29816237,0.69916704,0.00000000,1.71176842,1.43039534,0.56339698,0.00000000
-5.96398199,2.37218443,0.01513722,0.30187267,0.68650593,0.00000000,1.69011650,1.44678604,0.56119942,0.00000000
-5.95797899,2.38016513,0.01524158,0.30465894,0.67329989,0.00000000,1.66470782,1.46200474,0.55914693,0.00000000
-5.95197599,2.38565850,0.01527129,0.30650696,0.65951852,0.00000000,1.63572576,1.47607108,0.55724709,0.00000000
-5.94597299,2.38874285,0.01522120,0.30742100,0.64516479,0.00000000,1.60345632,1.48901952,0.55551708,0.00000000
-5.93996998,2.38954093,0.01508848,0.30742196,0.63027536,0.00000000,1.56827647,1.50088927,0.55398100,0.00000000
-5.93396698,2.38820661,0.01487270,0.30654508,0.61492021,0.00000000,1.53064005,1.51171561,0.55266743,0.00000000
-5.92796398,2.38491316,0.01457584,0.30483772,0.59920155,0.00000000,1.49106167,1.52152318,0.55160721,0.00000000
-5.92196098,2.37984352,0.01420223,0.30235703,0.58325202,0.00000000,1.45009960,1.53032156,0.55083174,0.00000000
-5.91595798,2.37318308,0.01375842,0.29916782,0.56723219,0.00000000,1.40833820,1.53810323,0.55037160,0.00000000
-5.90995498,2.36511490,0.01325290,0.29534069,0.55132732,0.00000000,1.36637065,1.54484388,0.55025558,0.00000000
-5.90395198,2.35581721,0.01269588,0.29095041,0.53574344,0.00000000,1.32478258,1.55050478,0.55051013,0.00000000
-5.89794897,2.34546298,0.01209894,0.28607453,0.52070277,0.00000000,1.28413708,1.55503686,0.55115899,0.00000000
-5.89194597,2.33422073,0.01147467,0.28079234,0.50643853,0.00000000,1.24496134,1.55838593,0.55222299,0.00000000
-5.88594297,2.32225622,0.01083633,0.27518392,0.49318912,0.00000000,1.20773530,1.56049834,0.55372001,0.00000000
-5.87993997,2.30973398,0.01019747,0.26932937,0.48119189,0.00000000,1.17288228,1.56132662,0.55566468,0.00000000
