energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,8.85044616,0.03608083,1.16095628,1.72115823,0.47968214,3.45074231,1.58242083,0.13239680,3.69990090
-5.99399700,8.70639975,0.03609833,1.13857381,1.67589797,0.47476245,3.37998364,1.56802443,0.13313877,3.63297334
-5.98799400,8.53794328,0.03593593,1.11286241,1.62589487,0.46840041,3.29687753,1.54913666,0.13368638,3.55635121
-5.98199100,8.34860365,0.03559732,1.08425988,1.57200923,0.46074889,3.20289336,1.52626793,0.13407167,3.47166183
-5.97598799,8.14218907,0.03508943,1.05323276,1.51513763,0.45197987,3.09963663,1.49999549,0.13433472,3.38063626
-5.96998499,7.92272205,0.03442220,1.02026849,1.45619703,0.44228107,2.98881597,1.47095456,0.13452348,3.28507772
-5.96398199,7.69436779,0.03360836,0.98586726,1.39610912,0.43185215,2.87220852,1.43982789,0.13469316,3.18682875
-5.95797899,7.46135879,0.03266304,0.95053377,1.33578514,0.42090071,2.75162454,1.40733368,0.13490515,3.08773740
-5.95197599,7.22791663,0.03160334,0.91476892,1.27611133,0.40963789,2.62887206,1.37421198,0.13522554,2.98962300
-5.94597299,6.99817219,0.03044784,0.87906161,1.21793522,0.39827406,2.50572227,1.34120986,0.13572319,2.89424202
-5.93996998,6.77608531,0.02921611,0.84388065,1.16205274,0.38701429,2.38387628,1.30906554,0.13646744,2.80325425
-5.93396698,6.56536549,0.02792820,0.80966693,1.10919639,0.37605403,2.26493407,1.27849185,0.13752545,2.71819004
-5.92796398,6.36939499,0.02660409,0.77682601,1.06002434,0.36557491,2.15036606,1.25015944,0.13895937,2.64041909
-5.92196098,6.19115622,0.02526322,0.74572119,1.01511080,0.35574091,2.04148789,1.22468016,0.14082338,2.57112131
-5.91595798,6.03316512,0.02392407,0.71666732,0.97493742,0.34669479,1.93943890,1.20259117,0.14316071,2.51126060
-5.90995498,5.89741262,0.02260370,0.68992533,0.93988619,0.33855511,1.84516471,1.18434037,0.14600088,2.46156220
-5.90395198,5.78531616,0.02131748,0.66569780,0.91023368,0.33141377,1.75940413,1.17027348,0.14935721,2.42249440
-5.89794897,5.69768313,0.02007879,0.64412566,0.88614692,0.32533422,1.68268085,1.16062361,0.15322472,2.39425541
-5.89194597,5.63468831,0.01889885,0.62528606,0.86768108,0.32035032,1.61529986,1.15550357,0.15757872,2.37676621
-5.88594297,5.59586663,0.01778658,0.60919177,0.85477909,0.31646607,1.55734887,1.15490140,0.16237397,2.36966992
-5.87993997,5.58012268,0.01674861,0.59579193,0.84727338,0.31365596,1.50870460,1.15867947,0.16754471,2.37233830
-5.87393697,5.58575752,0.01578924,0.58497437,0.84488983,0.31186631,1.46904377,1.16657736,0.17300543,2.38388568
-5.86793397,5.61051304,0.01491061,0.57656948,0.84725407,0.31101724,1.43785862,1.17821848,0.17865258,2.40319046
-5.86193097,5.65163323,0.01411279,0.57035551,0.85390007,0.31100543,1.41447654,1.19312044,0.18436701,2.42892380
-5.85592796,5.70594112,0.01339396,0.56606530,0.86428098,0.31170759,1.39808327,1.21070885,0.19001723,2.45958514
-5.84992496,5.76992936,0.01275072,0.56339415,0.87778208,0.31298440,1.38774901,1.23033416,0.19546329,2.49354364
-5.84392196,5.83986179,0.01217826,0.56200875,0.89373549,0.31468501,1.38245690,1.25129096,0.20056113,2.52908419
-5.83791896,5.91188268,0.01167067,0.56155681,0.91143636,0.31665176,1.38113275,1.27283912,0.20516734,2.56445685
-5.83191596,5.98212992,0.01122124,0.56167714,0.93016009,0.31872509,1.38267549,1.29422590,0.20914392,2.59792776
-5.82591296,6.04684816,0.01082270,0.56200984,0.94918008,0.32074844,1.38598721,1.31470831,0.21236304,2.62782985
-5.81990995,6.10249783,0.01046750,0.56220630,0.96778544,0.32257290,1.39000209,1.33357487,0.21471152,2.65261149
-5.81390695,6.14585614,0.01014808,0.56193864,0.98529819,0.32406165,1.39371338,1.35016595,0.21609472,2.67088126
-5.80790395,6.17410642,0.00985708,0.56090841,1.00108932,0.32509381,1.39619768,1.36389204,0.21643986,2.68144716
-5.80190095,6.18491294,0.00958757,0.55885413,1.01459330,0.32556776,1.39663611,1.37424931,0.21569846,2.68334898
-5.79589795,6.17647887,0.00933318,0.55555763,1.02532061,0.32540382,1.39433173,1.38083214,0.21384794,2.67588268
-5.78989495,6.14758593,0.00908830,0.55084898,1.03286797,0.32454618,1.38872324,1.38334217,0.21089213,2.65861605
-5.78389195,6.09761527,0.00884813,0.54460992,1.03692600,0.32296410,1.37939459,1.38159404,0.20686098,2.63139562
-5.77788894,6.02654993,0.00860881,0.53677576,1.03728428,0.32065248,1.36608087,1.37551765,0.20180918,2.59434464
-5.77188594,5.93495990,0.00836745,0.52733595,1.03383375,0.31763168,1.34867062,1.36515742,0.19581404,2.54785293
