energy_ev,total_up,As_p_up,As_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-6.00000000,2.55723396,0.97530240,0.00000000,1.57354511,1.54885970,0.01370090,0.52948541
-5.99399700,2.57365966,0.97940048,0.00000000,1.60113058,1.55902884,0.01371681,0.52792617
-5.98799400,2.58750158,0.98125767,0.00000000,1.62680966,1.56650561,0.01372696,0.52721073
-5.98199100,2.59830300,0.98062199,0.00000000,1.65018360,1.57096386,0.01373535,0.52734548
-5.97598799,2.60573161,0.97731009,0.00000000,1.67095988,1.57216458,0.01374658,0.52833899
-5.96998499,2.60958879,0.97121373,0.00000000,1.68895530,1.56996415,0.01376572,0.53020148
-5.96398199,2.60981385,0.96230369,0.00000000,1.70409509,1.56431928,0.01379826,0.53294400
-5.95797899,2.60648305,0.95063099,0.00000000,1.71640777,1.55528830,0.01384992,0.53657738
-5.95197599,2.59980299,0.93632506,0.00000000,1.72601606,1.54302856,0.01392652,0.54111085
-5.94597299,2.59009856,0.91958895,0.00000000,1.73312417,1.52778989,0.01403374,0.54655035
-5.93996998,2.57779590,0.90069169,0.00000000,1.73800208,1.50990434,0.01417698,0.55289660
-5.93396698,2.56340079,0.87995807,0.00000000,1.74096739,1.48977255,0.01436105,0.56014297
-5.92796398,2.54747370,0.85775625,0.00000000,1.74236573,1.46784732,0.01459001,0.56827317
-5.92196098,2.53060234,0.83448383,0.00000000,1.74255047,1.44461510,0.01486691,0.57725902
-5.91595798,2.51337324,0.81055297,0.00000000,1.74186282,1.42057634,0.01519359,0.58705819
-5.90995498,2.49634347,0.78637525,0.00000000,1.74061321,1.39622543,0.01557055,0.59761231
-5.90395198,2.48001419,0.76234704,0.00000000,1.73906474,1.37203139,0.01599675,0.60884540
-5.89794897,2.46480704,0.73883598,0.00000000,1.73741966,1.34842010,0.01646957,0.62066285
-5.89194597,2.45104474,0.71616924,0.00000000,1.73580924,1.32575889,0.01698480,0.63295106
-5.88594297,2.43893673,0.69462404,0.00000000,1.73428771,1.30434427,0.01753660,0.64557778
-5.87993997,2.42857055,0.67442078,0.00000000,1.73283031,1.28439325,0.01811769,0.65839339
-5.87393697,2.41990941,0.65571900,0.00000000,1.73133567,1.26603862,0.01871944,0.67123284
-5.86793397,2.41279586,0.63861627,0.00000000,1.72963202,1.24932830,0.01933212,0.68391859
-5.86193097,2.40696134,0.62314979,0.00000000,1.72748715,1.23422865,0.01994516,0.69626417
-5.85592796,2.40204104,0.60930060,0.00000000,1.72462130,1.22063145,0.02054745,0.70807845
-5.84992496,2.39759308,0.59699990,0.00000000,1.72072233,1.20836405,0.02112767,0.71917033
-5.84392196,2.39312099,0.58613699,0.00000000,1.71546224,1.19720201,0.02167464,0.72935373
