energy_ev,total_up,P_s_up,P_p_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,1.85294355,0.00729067,0.28698629,0.87450351,0.81111405,0.01850571,0.63504319
-5.99399700,1.75916688,0.00696853,0.26965923,0.80181529,0.77047692,0.01775382,0.61694609
-5.98799400,1.67939408,0.00665076,0.25570299,0.73824783,0.73661378,0.01696284,0.60255634
-5.98199100,1.61325511,0.00633784,0.24498964,0.68347192,0.70933900,0.01613657,0.59175419
-5.97598799,1.56023751,0.00603055,0.23735490,0.63709358,0.68838551,0.01527988,0.58438481
-5.96998499,1.51970884,0.00573000,0.23260347,0.59867297,0.67341540,0.01439865,0.58026340
-5.96398199,1.49093772,0.00543756,0.23051452,0.56774151,0.66403039,0.01349961,0.57917977
-5.95797899,1.47311353,0.00515486,0.23084732,0.54381718,0.65978208,0.01259015,0.58090230
-5.95197599,1.46536476,0.00488373,0.23334699,0.52641784,0.66018209,0.01167812,0.58518159
-5.94597299,1.46677644,0.00462606,0.23775029,0.51507250,0.66471207,0.01077159,0.59175399
-5.93996998,1.47640673,0.00438380,0.24379141,0.50933073,0.67283363,0.00987858,0.60034510
-5.93396698,1.49330299,0.00415878,0.25120784,0.50877027,0.68399819,0.00900682,0.61067357
-5.92796398,1.51651737,0.00395270,0.25974605,0.51300296,0.69765677,0.00816355,0.62245506
-5.92196098,1.54512215,0.00376702,0.26916703,0.52167916,0.71326965,0.00735529,0.63540664
-5.91595798,1.57822437,0.00360288,0.27925157,0.53449072,0.73031574,0.00658771,0.64925126
-5.90995498,1.61497992,0.00346107,0.28980516,0.55117256,0.74830157,0.00586547,0.66372249
-5.90395198,1.65460651,0.00334200,0.30066236,0.57150301,0.76676968,0.00519222,0.67856904
-5.89794897,1.69639537,0.00324564,0.31169057,0.59530281,0.78530616,0.00457048,0.69355915
-5.89194597,1.73972114,0.00317159,0.32279304,0.62243287,0.80354732,0.00400173,0.70848432
-5.88594297,1.78404980,0.00311901,0.33391114,0.65279096,0.82118507,0.00348642,0.72316245
-5.87993997,1.82894439,0.00308672,0.34502563,0.68630716,0.83797115,0.00302406,0.73744006
-5.87393697,1.87406822,0.00307321,0.35615707,0.72293848,0.85371992,0.00261332,0.75119344
-5.86793397,1.91918574,0.00307671,0.36736527,0.76266265,0.86830987,0.00225214,0.76432890
-5.86193097,1.96416108,0.00309523,0.37874777,0.80547127,0.88168366,0.00193791,0.77678190
-5.85592796,2.00895440,0.00312667,0.39043740,0.85136269,0.89384703,0.00166751,0.78851524
-5.84992496,2.05361642,0.00316886,0.40259900,0.90033479,0.90486645,0.00143754,0.79951658
-5.84392196,2.09828128,0.00321964,0.41542527,0.95237792,0.91486582,0.00124438,0.80979529
-5.83791896,2.14315816,0.00327693,0.42913191,1.00746836,0.92402216,0.00108432,0.81937896
-5.83191596,2.18852178,0.00333883,0.44395202,1.06556225,0.93256060,0.00095364,0.82830979
-5.82591296,2.23470204,0.00340363,0.46012990,1.12659050,0.94074851,0.00084873,0.83664096
-5.81990995,2.28207278,0.00346990,0.47791427,1.19045445,0.94888911,0.00076611,0.84443323
-5.81390695,2.33103976,0.00353650,0.49755098,1.25702241,0.95731419,0.00070253,0.85175190
-5.80790395,2.38202763,0.00360263,0.51927527,1.32612707,0.96637631,0.00065497,0.85866394
-5.80190095,2.43546589,0.00366782,0.54330369,1.39756352,0.97644016,0.00062065,0.86523564
-5.79589795,2.49177358,0.00373196,0.56982577,1.47108786,0.98787314,0.00059712,0.87153040
-5.78989495,2.55134261,0.00379522,0.59899563,1.54641612,1.00103526,0.00058217,0.87760668
-5.78389195,2.61451977,0.00385808,0.63092358,1.62322337,1.01626824,0.00057387,0.88351608
-5.77788894,2.68158761,0.00392123,0.66566810,1.70114289,1.03388401,0.00057057,0.88930129
-5.77188594,2.75274433,0.00398552,0.70322840,1.77976539,1.05415288,0.00057087,0.89499393
-5.76588294,2.82808357,0.00405190,0.74353784,1.85863824,1.07729155,0.00057358,0.90061219
-5.75987994,2.90757458,0.00412134,0.78645855,1.93726493,1.10345147,0.00057774,0.90615840
-5.75387694,2.99104389,0.00419474,0.83177773,2.01510504,1.13270794,0.00058256,0.91161647
-5.74787394,3.07815962,0.00427287,0.87920573,2.09157487,1.16505056,0.00058743,0.91694943
-5.74187094,3.16841963,0.00435628,0.92837646,2.16604934,1.20037552,0.00059187,0.92209736
-5.73586793,3.26114458,0.00444530,0.97885027,2.23786549,1.23848030,0.00059553,0.92697585
-5.72986493,3.35547721,0.00453992,1.03011935,2.30632791,1.27906133,0.00059815,0.93147526
-5.72386193,3.45038851,0.00463987,1.08161595,2.37071655,1.32171494,0.00059956,0.93546116
-5.71785893,3.54469162,0.00474453,1.13272313,2.43029707,1.36594193,0.00059966,0.93877605
-5.71185593,3.63706332,0.00485304,1.18278789,2.48433381,1.41115587,0.00059839,0.94124256
-5.70585293,3.72607334,0.00496432,1.23113635,2.53210533,1.45669503,0.00059575,0.94266817
-5.69984992,3.81022039,0.00507712,1.27709057,2.57292202,1.50183774,0.00059176,0.94285147
