energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.50376473,0.05330593,0.03814240,0.32027935,0.16780246,0.02232987,0.55093928,0.25035196,1.27958773
-5.99399700,2.53694324,0.05417668,0.04002023,0.31988898,0.17290561,0.02283663,0.55591523,0.25543901,1.29418409
-5.98799400,2.56762136,0.05491588,0.04175267,0.31917301,0.17824723,0.02328529,0.56061227,0.25999466,1.30745086
-5.98199100,2.59466032,0.05551312,0.04330471,0.31813483,0.18377709,0.02366022,0.56492222,0.26392922,1.31864595
-5.97598799,2.61706431,0.05595884,0.04464552,0.31678765,0.18945466,0.02394903,0.56875438,0.26716183,1.32711402
-5.96998499,2.63400574,0.05624476,0.04574944,0.31515551,0.19525080,0.02414289,0.57203987,0.26962366,1.33229905
-5.96398199,2.64484790,0.05636433,0.04659693,0.31327431,0.20114905,0.02423677,0.57473583,0.27126091,1.33375544
-5.95797899,2.64916344,0.05631318,0.04717527,0.31119296,0.20714656,0.02422963,0.57682924,0.27203756,1.33115692
-5.95197599,2.64674763,0.05608944,0.04747908,0.30897439,0.21325460,0.02412432,0.57833991,0.27193752,1.32430249
-5.94597299,2.63762494,0.05569399,0.04751064,0.30669627,0.21949845,0.02392745,0.57932255,0.27096631,1.31311910
-5.93996998,2.62204851,0.05513070,0.04727981,0.30445135,0.22591672,0.02364909,0.57986761,0.26915187,1.29766054
-5.93396698,2.60049180,0.05440641,0.04680385,0.30234728,0.23256006,0.02330232,0.58010064,0.26654475,1.27810245
-5.92796398,2.57363240,0.05353090,0.04610685,0.30050575,0.23948922,0.02290267,0.58018022,0.26321738,1.25473352
-5.92196098,2.54232856,0.05251676,0.04521901,0.29906098,0.24677254,0.02246748,0.58029431,0.25926261,1.22794300
-5.91595798,2.50758887,0.05137904,0.04417562,0.29815738,0.25448291,0.02201523,0.58065510,0.25479155,1.19820514
-5.90995498,2.47053641,0.05013496,0.04301594,0.29794652,0.26269434,0.02156471,0.58149258,0.24993073,1.16606100
-5.90395198,2.43236872,0.04880348,0.04178191,0.29858340,0.27147813,0.02113438,0.58304689,0.24481877,1.13209848
-5.89794897,2.39431501,0.04740481,0.04051677,0.30022207,0.28089899,0.02074152,0.58555986,0.23960263,1.09693126
-5.89194597,2.35759246,0.04595993,0.03926371,0.30301080,0.29101102,0.02040167,0.58926594,0.23443364,1.06117768
-5.88594297,2.32336320,0.04449009,0.03806444,0.30708682,0.30185395,0.02012795,0.59438289,0.22946340,1.02544021
-5.87993997,2.29269361,0.04301637,0.03695798,0.31257100,0.31344953,0.01993062,0.60110265,0.22483963,0.99028639
-5.87393697,2.26651736,0.04155916,0.03597941,0.31956238,0.32579850,0.01981671,0.60958255,0.22070222,0.95623187
-5.86793397,2.24560354,0.04013781,0.03515890,0.32813302,0.33887793,0.01978975,0.61993738,0.21717945,0.92372619
-5.86193097,2.23053068,0.03877020,0.03452084,0.33832317,0.35263945,0.01984972,0.63223246,0.21438444,0.89314150
-5.85592796,2.22166754,0.03747246,0.03408323,0.35013701,0.36700798,0.01999307,0.64647798,0.21241210,0.86476469
-5.84992496,2.21916096,0.03625864,0.03385724,0.36353920,0.38188150,0.02021291,0.66262491,0.21133631,0.83879284
-5.84392196,2.22293092,0.03514051,0.03384702,0.37845226,0.39713142,0.02049929,0.68056243,0.21120768,0.81533199
-5.83791896,2.23267271,0.03412732,0.03404971,0.39475507,0.41260396,0.02083963,0.70011718,0.21205166,0.79439905
-5.83191596,2.24786587,0.03322567,0.03445571,0.41228249,0.42812225,0.02121923,0.72105427,0.21386732,0.77592655
-5.82591296,2.26778934,0.03243934,0.03504901,0.43082624,0.44348917,0.02162176,0.74308011,0.21662648,0.75976976
-5.81990995,2.29154220,0.03176925,0.03580785,0.45013715,0.45849095,0.02202993,0.76584694,0.22027362,0.74571592
-5.81390695,2.31806924,0.03121338,0.03670541,0.46992862,0.47290134,0.02242605,0.78895912,0.22472628,0.73349497
-5.80790395,2.34619055,0.03076683,0.03771070,0.48988153,0.48648628,0.02279263,0.81198094,0.22987619,0.72279141
-5.80190095,2.37463415,0.03042182,0.03878946,0.50965026,0.49900903,0.02311299,0.83444592,0.23559105,0.71325675
-5.79589795,2.40207100,0.03016789,0.03990521,0.52886994,0.51023549,0.02337171,0.85586724,0.24171710,0.70452221
