energy_ev,total_up,As_p_up,As_d_up,S_s_up,S_p_up,Ta_p_up,Ta_d_up
-6.00000000,7.50700703,3.12173884,0.00000000,0.02515785,1.66400467,8.42506093,3.10736904
-5.99399700,7.60367249,3.11939018,0.00000000,0.02584546,1.69797152,8.55262284,3.13729674
-5.98799400,7.68130874,3.10985057,0.00000000,0.02647797,1.72753537,8.65132138,3.16080191
-5.98199100,7.73861035,3.09322322,0.00000000,0.02704554,1.75218226,8.71965734,3.17750593
-5.97598799,7.77456662,3.06972019,0.00000000,0.02753859,1.77149038,8.75652339,3.18712294
-5.96998499,7.78846207,3.03964248,0.00000000,0.02794795,1.78513687,8.76121503,3.18945454
-5.96398199,7.77987448,3.00336019,0.00000000,0.02826502,1.79290258,8.73343700,3.18438462
-5.95797899,7.74867092,2.96129362,0.00000000,0.02848188,1.79467486,8.67330514,3.17187454
-5.95197599,7.69500176,2.91389611,0.00000000,0.02859158,1.79044809,8.58134327,3.15195900
-5.94597299,7.61929242,2.86163913,0.00000000,0.02858828,1.78032176,8.45847448,3.12474251
-5.93996998,7.52223245,2.80499984,0.00000000,0.02846748,1.76449599,8.30600644,3.09039632
-5.93396698,7.40476134,2.74445112,0.00000000,0.02822624,1.74326453,8.12561003,3.04915553
-5.92796398,7.26805055,2.68045401,0.00000000,0.02786333,1.71700514,7.91929105,3.00131597
-5.92196098,7.11348128,2.61345229,0.00000000,0.02737937,1.68616767,7.68935487,2.94723059
-5.91595798,6.94261792,2.54386872,0.00000000,0.02677692,1.65126006,7.43836421,2.88730494
-5.90995498,6.75717705,2.47210277,0.00000000,0.02606054,1.61283264,7.16909069,2.82199159
-5.90395198,6.55899271,2.39852928,0.00000000,0.02523670,1.57146141,6.88446116,2.75178324
-5.89794897,6.34997853,2.32349790,0.00000000,0.02431376,1.52773082,6.58750012,2.67720474
-5.89194597,6.13208796,2.24733294,0.00000000,0.02330175,1.48221669,6.28126996,2.59880396
-5.88594297,5.90727383,2.17033348,0.00000000,0.02221222,1.43547020,5.96881089,2.51714193
-5.87993997,5.67744902,2.09277378,0.00000000,0.02105787,1.38800342,5.65308263,2.43278265
-5.87393697,5.44444964,2.01490379,0.00000000,0.01985236,1.34027723,5.33690988,2.34628299
-5.86793397,5.21000234,1.93694987,0.00000000,0.01860988,1.29269194,5.02293339,2.25818312
-5.86193097,4.97569727,1.85911587,0.00000000,0.01734484,1.24558129,4.71356851,2.16899814
-5.85592796,4.74296763,1.78158457,0.00000000,0.01607151,1.19920980,4.41097226,2.07921114
-5.84992496,4.51307666,1.70451950,0.00000000,0.01480368,1.15377370,4.11702011,1.98926817
-5.84392196,4.28711247,1.62806731,0.00000000,0.01355436,1.10940526,3.83329267,1.89957525
-5.83791896,4.06599048,1.55236063,0.00000000,0.01233551,1.06618007,3.56107249,1.81049757
-5.83191596,3.85046306,1.47752132,0.00000000,0.01115780,1.02412702,3.30135021,1.72236080
-5.82591296,3.64113539,1.40366410,0.00000000,0.01003044,0.98324006,3.05483937,1.63545426
-5.81990995,3.43848618,1.33090027,0.00000000,0.00896110,0.94349121,2.82199839,1.55003564
-5.81390695,3.24289183,1.25934156,0.00000000,0.00795581,0.90484398,2.60305834,1.46633692
-5.80790395,3.05465230,1.18910362,0.00000000,0.00701898,0.86726632,2.39805461,1.38457084
-5.80190095,2.87401691,1.12030917,0.00000000,0.00615344,0.83074241,2.20686095,1.30493755
-5.79589795,2.70120859,1.05309052,0.00000000,0.00536054,0.79528264,2.02922379,1.22763078
-5.78989495,2.53644484,0.98759123,0.00000000,0.00464026,0.76093111,1.86479567,1.15284315
-5.78389195,2.37995453,0.92396689,0.00000000,0.00399137,0.72777037,1.71316607,1.08077019
-5.77788894,2.23198940,0.86238492,0.00000000,0.00341161,0.69592312,1.57388868,1.01161272
-5.77188594,2.09282992,0.80302338,0.00000000,0.00289787,0.66555083,1.44650442,0.94557752
-5.76588294,1.96278539,0.74606880,0.00000000,0.00244636,0.63684941,1.33055961,0.88287616
-5.75987994,1.84218864,0.69171332,0.00000000,0.00205280,0.61004228,1.22561933,0.82372213
-5.75387694,1.73138589,0.64015107,0.00000000,0.00171262,0.58537134,1.13127612,0.76832643
-5.74787394,1.63072289,0.59157437,0.00000000,0.00142104,0.56308630,1.04715452,0.71689203
-5.74187094,1.54052842,0.54616960,0.00000000,0.00117329,0.54343314,0.97291210,0.66960748
-5.73586793,1.46109662,0.50411338,0.00000000,0.00096467,0.52664241,0.90823792,0.62664027
-5.72986493,1.39266945,0.46556904,0.00000000,0.00079065,0.51291797,0.85284922,0.58813026
-5.72386193,1.33542070,0.43068387,0.00000000,0.00064698,0.50242693,0.80648724,0.55418382
-5.71785893,1.28944281,0.39958703,0.00000000,0.00052970,0.49529134,0.76891318,0.52486893
-5.71185593,1.25473738,0.37238864,0.00000000,0.00043518,0.49158203,0.73990481,0.50021179
