energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,5.15999124,0.03978141,0.46762997,0.80401428,0.19494159,3.42232158,1.43924923,0.05660786,1.91187491
-5.99399700,5.26207850,0.04055692,0.49073674,0.79932978,0.20653888,3.58301079,1.47857849,0.05676319,1.92060982
-5.98799400,5.38664737,0.04141132,0.51703724,0.79600126,0.21956780,3.75984043,1.52399789,0.05733553,1.93661307
-5.98199100,5.53409525,0.04233610,0.54653036,0.79415763,0.23403548,3.95242712,1.57554187,0.05832422,1.96021929
-5.97598799,5.70418524,0.04332022,0.57912749,0.79386684,0.24991481,4.15988332,1.63307671,0.05972139,1.99155520
-5.96998499,5.89600733,0.04435018,0.61464706,0.79513193,0.26714189,4.38079376,1.69628999,0.06151176,2.03052494
-5.96398199,6.10796325,0.04541015,0.65281233,0.79788969,0.28561471,4.61321009,1.76468621,0.06367274,2.07680342
-5.95797899,6.33777650,0.04648223,0.69325267,0.80201199,0.30519302,4.85466528,1.83758886,0.06617467,2.12983819
-5.95197599,6.58252795,0.04754677,0.73550843,0.80730983,0.32569957,5.10220809,1.91414942,0.06898149,2.18885983
-5.94597299,6.83871631,0.04858281,0.77903934,0.81353986,0.34692268,5.35245720,1.99336292,0.07205151,2.25290064
-5.93996998,7.10234176,0.04956860,0.82323613,0.82041321,0.36862010,5.60167396,2.07408999,0.07533847,2.32082082
-5.93396698,7.36900994,0.05048219,0.86743514,0.82760625,0.39052405,5.84585138,2.15508454,0.07879274,2.39134138
-5.92796398,7.63405264,0.05130203,0.91093526,0.83477296,0.41234726,6.08081648,2.23502633,0.08236273,2.46308240
-5.92196098,7.89266058,0.05200767,0.95301667,0.84155826,0.43378985,6.30234254,2.31255722,0.08599623,2.53460517
-5.91595798,8.14002339,0.05258039,0.99296059,0.84761184,0.45454676,6.50626676,2.38631967,0.08964195,2.60445656
-5.90995498,8.37147118,0.05300383,1.03006943,0.85260192,0.47431547,6.68860912,2.45499620,0.09325087,2.67121388
-5.90395198,8.58261223,0.05326459,1.06368632,0.85622828,0.49280373,6.84568773,2.51734817,0.09677759,2.73352840
-5.89794897,8.76946142,0.05335264,1.09321354,0.85823401,0.50973703,6.97422604,2.57225240,0.10018148,2.79016586
-5.89194597,8.92855434,0.05326174,1.11812900,0.85841546,0.52486550,7.07144793,2.61873407,0.10342760,2.84004229
-5.88594297,9.05704287,0.05298968,1.13800016,0.85662996,0.53797008,7.13515686,2.65599483,0.10648750,2.88225399
-5.87993997,9.15276849,0.05253830,1.15249499,0.85280088,0.54886765,7.16379634,2.68343482,0.10933958,2.91610021
-5.87393697,9.21431103,0.05191350,1.16138963,0.84691995,0.55741504,7.15648943,2.70066780,0.11196931,2.94109818
-5.86793397,9.24101132,0.05112498,1.16457235,0.83904654,0.56351178,7.11305635,2.70752902,0.11436904,2.95698973
-5.86193097,9.23296746,0.05018589,1.16204413,0.82930416,0.56710157,7.03400988,2.70407536,0.11653764,2.96373958
-5.85592796,9.19100560,0.04911237,1.15391560,0.81787418,0.56817238,6.92052934,2.69057810,0.11847977,2.96152566
-5.84992496,9.11662712,0.04792295,1.14040078,0.80498720,0.56675537,6.77441493,2.66750860,0.12020499,2.95072197
-5.84392196,9.01193506,0.04663788,1.12180802,0.79091244,0.56292260,6.59802459,2.63551760,0.12172663,2.93187502
-5.83791896,8.87954350,0.04527845,1.09852843,0.77594566,0.55678370,6.39419665,2.59540929,0.12306056,2.90567505
-5.83191596,8.72247406,0.04386624,1.07102257,0.76039619,0.54848177,6.16616153,2.54811111,0.12422384,2.87292338
-5.82591296,8.54404427,0.04242244,1.03980580,0.74457370,0.53818850,5.91744634,2.49464083,0.12523337,2.83449743
-5.81990995,8.34775259,0.04096718,1.00543298,0.72877532,0.52609889,5.65177599,2.43607217,0.12610456,2.79131507
-5.81390695,8.13716494,0.03951892,0.96848319,0.71327362,0.51242567,5.37297473,2.37350055,0.12685013,2.74429970
-5.80790395,7.91580728,0.03809399,0.92954493,0.69830617,0.49739376,5.08487130,2.30801037,0.12747901,2.69434779
-5.80190095,7.68706845,0.03670618,0.88920232,0.68406695,0.48123473,4.79121085,2.24064502,0.12799549,2.64230003
-5.79589795,7.45411673,0.03536648,0.84802283,0.67070004,0.46418165,4.49557615,2.17238097,0.12839865,2.58891742
-5.78989495,7.21983305,0.03408290,0.80654679,0.65829594,0.44646445,4.20132011,2.10410675,0.12868199,2.53486303
-5.78389195,6.98676277,0.03286053,0.76527899,0.64689046,0.42830579,3.91151087,2.03660755,0.12883350,2.48069029
-5.77788894,6.75708699,0.03170157,0.72468240,0.63646639,0.40991765,3.62889039,1.97055581,0.12883589,2.42683788
-5.77188594,6.53261358,0.03060555,0.68517416,0.62695767,0.39149866,3.35584658,1.90650801,0.12866729,2.37363135
-5.76588294,6.31478691,0.02956968,0.64712364,0.61825584,0.37323217,3.09439867,1.84490726,0.12830215,2.32129108
-5.75987994,6.10471452,0.02858917,0.61085246,0.61021859,0.35528512,2.84619487,1.78609128,0.12771238,2.26994579
-5.75387694,5.90320801,0.02765771,0.57663614,0.60267967,0.33780753,2.61252115,1.73030491,0.12686879,2.21965080
-5.74787394,5.71083482,0.02676792,0.54470707,0.59545998,0.32093260,2.39431935,1.67771618,0.12574255,2.17040960
-5.74187094,5.52797701,0.02591187,0.51525839,0.58837902,0.30477738,2.19221291,1.62843450,0.12430682,2.12219750
-5.73586793,5.35489283,0.02508148,0.48844831,0.58126627,0.28944374,2.00653811,1.58252989,0.12253829,2.07498570
-5.72986493,5.19177671,0.02426906,0.46440458,0.57397193,0.27501955,1.83737889,1.54005163,0.12041869,2.02876417
-5.72386193,5.03881365,0.02346762,0.44322852,0.56637644,0.26157998,1.68460326,1.50104515,0.11793607,1.98356204
-5.71785893,4.89622430,0.02267125,0.42499836,0.55839838,0.24918866,1.54789940,1.46556578,0.11508592,1.93946385
-5.71185593,4.76429748,0.02187537,0.40977168,0.55000031,0.23789875,1.42680999,1.43368861,0.11187189,1.89662082
-5.70585293,4.64340817,0.02107685,0.39758651,0.54119242,0.22775354,1.32076334,1.40551339,0.10830628,1.85525610
-5.69984992,4.53401951,0.02027416,0.38846124,0.53203373,0.21878685,1.22910056,1.38116441,0.10441004,1.81566374
-5.69384692,4.43666887,0.01946728,0.38239330,0.52263087,0.21102290,1.15109784,1.36078511,0.10021251,1.77820123
-5.68784392,4.35193883,0.01865767,0.37935658,0.51313457,0.20447579,1.08598399,1.34452786,0.09575071,1.74327607
-5.68184092,4.28041527,0.01784805,0.37929804,0.50373421,0.19914874,1.03295302,1.33253957,0.09106834,1.71132717
-5.67583792,4.22263547,0.01704221,0.38213372,0.49465054,0.19503288,0.99117245,1.32494420,0.08621455,1.68280213
