energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,2.26403292,0.74299864,0.37363618,0.00394776,0.18104332,0.60774751,0.78127225,0.95962958,0.00000000
-5.99399700,2.10781611,0.67830058,0.34895807,0.00357522,0.16738110,0.56489861,0.73625224,0.88466358,0.00000000
-5.98799400,1.95986353,0.61675988,0.32604249,0.00322862,0.15453200,0.52355584,0.69346125,0.81366144,0.00000000
-5.98199100,1.82128280,0.55884032,0.30503859,0.00290930,0.14256797,0.48409871,0.65323267,0.74714583,0.00000000
-5.97598799,1.69290723,0.50489163,0.28604231,0.00261797,0.13153872,0.44683632,0.61583213,0.68550114,0.00000000
-5.96998499,1.57529004,0.45515016,0.26909648,0.00235474,0.12147138,0.41200386,0.58145294,0.62897355,0.00000000
-5.96398199,1.46870713,0.40974308,0.25419241,0.00211917,0.11237092,0.37976165,0.55021344,0.57767528,0.00000000
-5.95797899,1.37316773,0.36869565,0.24127294,0.00191035,0.10422127,0.35019677,0.52215657,0.53159269,0.00000000
-5.95197599,1.28843262,0.33194095,0.23023672,0.00172694,0.09698709,0.32332678,0.49725169,0.49059770,0.00000000
-5.94597299,1.21403879,0.29933164,0.22094371,0.00156726,0.09061609,0.29910553,0.47539868,0.45446179,0.00000000
-5.93996998,1.14932968,0.27065297,0.21322156,0.00142938,0.08504180,0.27743061,0.45643420,0.42287216,0.00000000
-5.93396698,1.09348978,0.24563662,0.20687267,0.00131117,0.08018658,0.25815203,0.44014000,0.39544903,0.00000000
-5.92796398,1.04558220,0.22397474,0.20168173,0.00121042,0.07596490,0.24108181,0.42625299,0.37176367,0.00000000
-5.92196098,1.00458803,0.20533365,0.19742345,0.00112484,0.07228655,0.22600400,0.41447672,0.35135642,0.00000000
-5.91595798,0.96944596,0.18936682,0.19387020,0.00105222,0.06905987,0.21268473,0.40449383,0.33375403,0.00000000
-5.90995498,0.93909103,0.17572684,0.19079939,0.00099040,0.06619471,0.20088200,0.39597912,0.31848588,0.00000000
-5.90395198,0.91249108,0.16407589,0.18800025,0.00093738,0.06360514,0.19035474,0.38861262,0.30509858,0.00000000
-5.89794897,0.88867984,0.15409477,0.18527987,0.00089132,0.06121174,0.18087097,0.38209219,0.29316867,0.00000000
-5.89194597,0.86678574,0.14549013,0.18246836,0.00085059,0.05894355,0.17221477,0.37614520,0.28231300,0.00000000
-5.88594297,0.84605554,0.13800007,0.17942286,0.00081380,0.05673942,0.16419193,0.37053881,0.27219683,0.00000000
-5.87993997,0.82587223,0.13139793,0.17603046,0.00077978,0.05454900,0.15663420,0.36508836,0.26253934,0.00000000
-5.87393697,0.80576680,0.12549443,0.17220985,0.00074759,0.05233316,0.14940203,0.35966365,0.25311682,0.00000000
-5.86793397,0.78542378,0.12013829,0.16791179,0.00071655,0.05006401,0.14238594,0.35419279,0.24376340,0.00000000
-5.86193097,0.76468059,0.11521543,0.16311841,0.00068618,0.04772443,0.13550656,0.34866345,0.23436970,0.00000000
-5.85592796,0.74352092,0.11064692,0.15784136,0.00065620,0.04530736,0.12871338,0.34312153,0.22487952,0.00000000
-5.84992496,0.72206278,0.10638593,0.15211911,0.00062651,0.04281469,0.12198256,0.33766719,0.21528484,0.00000000
-5.84392196,0.70054184,0.10241386,0.14601331,0.00059717,0.04025594,0.11531386,0.33244857,0.20561958,0.00000000
-5.83791896,0.67929076,0.09873581,0.13960463,0.00056833,0.03764688,0.10872694,0.32765325,0.19595230,0.00000000
-5.83191596,0.65871569,0.09537571,0.13298812,0.00054027,0.03500797,0.10225726,0.32349798,0.18637838,0.00000000
-5.82591296,0.63927072,0.09237119,0.12626839,0.00051331,0.03236288,0.09595180,0.32021700,0.17701187,0.00000000
-5.81990995,0.62143146,0.08976850,0.11955470,0.00048781,0.02973706,0.08986476,0.31804947,0.16797740,0.00000000
-5.81390695,0.60566882,0.08761758,0.11295632,0.00046412,0.02715642,0.08405352,0.31722650,0.15940253,0.00000000
-5.80790395,0.59242394,0.08596750,0.10657813,0.00044259,0.02464618,0.07857485,0.31795838,0.15141070,0.00000000
-5.80190095,0.58208533,0.08486232,0.10051682,0.00042353,0.02222995,0.07348171,0.32042251,0.14411503,0.00000000
-5.79589795,0.57496903,0.08433764,0.09485764,0.00040718,0.01992898,0.06882055,0.32475257,0.13761330,0.00000000
-5.78989495,0.57130248,0.08441781,0.08967188,0.00039373,0.01776167,0.06462931,0.33102947,0.13198400,0.00000000
-5.78389195,0.57121289,0.08511396,0.08501517,0.00038328,0.01574333,0.06093606,0.33927440,0.12728371,0.00000000
-5.77788894,0.57472032,0.08642279,0.08092653,0.00037586,0.01388605,0.05775836,0.34944449,0.12354585,0.00000000
-5.77188594,0.58173592,0.08832632,0.07742821,0.00037142,0.01219891,0.05510324,0.36143119,0.12078066,0.00000000
-5.76588294,0.59206527,0.09079244,0.07452639,0.00036983,0.01068823,0.05296784,0.37506165,0.11897652,0.00000000
-5.75987994,0.60541683,0.09377624,0.07221243,0.00037088,0.00935802,0.05134065,0.39010304,0.11810241,0.00000000
-5.75387694,0.62141505,0.09722222,0.07046492,0.00037434,0.00821050,0.05020312,0.40626975,0.11811145,0.00000000
-5.74787394,0.63961782,0.10106704,0.06925211,0.00037990,0.00724674,0.04953180,0.42323332,0.11894526,0.00000000
-5.74187094,0.65953748,0.10524291,0.06853484,0.00038725,0.00646729,0.04930068,0.44063464,0.12053919,0.00000000
-5.73586793,0.68066454,0.10968140,0.06826973,0.00039608,0.00587286,0.04948379,0.45809799,0.12282796,0.00000000
-5.72986493,0.70249338,0.11431748,0.06841249,0.00040609,0.00546501,0.05005786,0.47524648,0.12575161,0.00000000
-5.72386193,0.72454857,0.11909368,0.06892131,0.00041702,0.00524672,0.05100501,0.49171811,0.12926159,0.00000000
-5.71785893,0.74641101,0.12396413,0.06976009,0.00042868,0.00522304,0.05231522,0.50718176,0.13332669,0.00000000
-5.71185593,0.76774256,0.12889833,0.07090140,0.00044094,0.00540158,0.05398876,0.52135256,0.13793853,0.00000000
-5.70585293,0.78830823,0.13388445,0.07232917,0.00045381,0.00579294,0.05603809,0.53400573,0.14311646,0.00000000
-5.69984992,0.80799477,0.13893198,0.07404080,0.00046740,0.00641109,0.05848956,0.54498847,0.14891170,0.00000000
-5.69384692,0.82682483,0.14407359,0.07604873,0.00048195,0.00727360,0.06138450,0.55422906,0.15541033,0.00000000
-5.68784392,0.84496602,0.14936607,0.07838137,0.00049788,0.00840178,0.06477980,0.56174299,0.16273516,0.00000000
-5.68184092,0.86273419,0.15489025,0.08108335,0.00051573,0.00982074,0.06874792,0.56763563,0.17104620,0.00000000
-5.67583792,0.88059073,0.16074982,0.08421494,0.00053622,0.01155925,0.07337625,0.57210131,0.18053969,0.00000000
-5.66983492,0.89913376,0.16706913,0.08785075,0.00056022,0.01364950,0.07876574,0.57541881,0.19144551,0.00000000
-5.66383192,0.91908337,0.17398988,0.09207774,0.00058873,0.01612670,0.08502901,0.57794349,0.20402311,0.00000000
-5.65782891,0.94126141,0.18166682,0.09699246,0.00062290,0.01902855,0.09228768,0.58009632,0.21855576,0.00000000
-5.65182591,0.96656624,0.19026268,0.10269762,0.00066395,0.02239445,0.10066916,0.58235029,0.23534333,0.00000000
-5.64582291,0.99594358,0.19994223,0.10929818,0.00071320,0.02626467,0.11030283,0.58521478,0.25469368,0.00000000
-5.63981991,1.03035413,0.21086598,0.11689694,0.00077197,0.03067918,0.12131584,0.58921859,0.27691276,0.00000000
