energy_ev,total_up,N_s_up,N_p_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,2.39484828,0.00743984,0.17345394,0.69159210,0.85946004,0.02442536,1.01679212
-5.99399700,2.42646850,0.00783801,0.17768184,0.69749200,0.86828692,0.02495846,1.03171770
-5.98799400,2.44997167,0.00822151,0.18187129,0.70108053,0.87419250,0.02539757,1.04264469
-5.98199100,2.46445348,0.00858510,0.18587606,0.70212688,0.87687449,0.02573418,1.04923482
-5.97598799,2.46921586,0.00892360,0.18955227,0.70046161,0.87610916,0.02596215,1.05124554
-5.96998499,2.46379616,0.00923194,0.19276368,0.69598376,0.87176147,0.02607800,1.04854015
-5.96398199,2.44798684,0.00950538,0.19538653,0.68866504,0.86379176,0.02608108,1.04109384
-5.95797899,2.42184520,0.00973954,0.19731380,0.67855102,0.85225864,0.02597362,1.02899552
-5.95197599,2.38569265,0.00993058,0.19845868,0.66575917,0.83731801,0.02576069,1.01244528
-5.94597299,2.34010366,0.01007531,0.19875710,0.65047412,0.81921819,0.02545003,0.99174772
-5.93996998,2.28588519,0.01017129,0.19816924,0.63294020,0.79829158,0.02505177,0.96730152
-5.93396698,2.22404756,0.01021688,0.19668005,0.61345187,0.77494316,0.02457810,0.93958563
-5.92796398,2.15576820,0.01021138,0.19429872,0.59234241,0.74963637,0.02404277,0.90914294
-5.92196098,2.08235000,0.01015499,0.19105718,0.56997153,0.72287696,0.02346066,0.87656196
-5.91595798,2.00517612,0.01004888,0.18700783,0.54671240,0.69519562,0.02284718,0.84245748
-5.90995498,1.92566320,0.00989514,0.18222060,0.52293872,0.66713003,0.02221778,0.80745092
-5.90395198,1.84521493,0.00969675,0.17677940,0.49901249,0.63920707,0.02158740,0.77215115
-5.89794897,1.76517780,0.00945745,0.17077843,0.47527276,0.61192588,0.02096995,0.73713655
-5.89194597,1.68680070,0.00918173,0.16431822,0.45202599,0.58574237,0.02037791,0.70293891
-5.88594297,1.61119974,0.00887460,0.15750193,0.42953823,0.56105588,0.01982190,0.67002970
-5.87993997,1.53932952,0.00854147,0.15043173,0.40802932,0.53819817,0.01931043,0.63880900
-5.87393697,1.47196149,0.00818802,0.14320571,0.38766936,0.51742530,0.01884966,0.60959756
-5.86793397,1.40967007,0.00782000,0.13591525,0.36857724,0.49891252,0.01844334,0.58263186
-5.86193097,1.35282650,0.00744304,0.12864300,0.35082135,0.48275226,0.01809273,0.55806235
-5.85592796,1.30160035,0.00706253,0.12146142,0.33442208,0.46895518,0.01779673,0.53595469
-5.84992496,1.25596826,0.00668349,0.11443204,0.31935612,0.45745414,0.01755202,0.51629369
-5.84392196,1.21572908,0.00631037,0.10760524,0.30556200,0.44811087,0.01735332,0.49898985
-5.83791896,1.18052464,0.00594705,0.10102056,0.29294670,0.44072499,0.01719365,0.48388783
-5.83191596,1.14986505,0.00559671,0.09470744,0.28139289,0.43504489,0.01706472,0.47077678
-5.82591296,1.12315730,0.00526181,0.08868637,0.27076652,0.43078017,0.01695732,0.45940180
-5.81990995,1.09973603,0.00494411,0.08297016,0.26092441,0.42761488,0.01686167,0.44947621
-5.81390695,1.07889507,0.00464467,0.07756542,0.25172141,0.42522133,0.01676789,0.44069419
-5.80790395,1.05991876,0.00436390,0.07247409,0.24301712,0.42327367,0.01666636,0.43274326
-5.80190095,1.04211170,0.00410166,0.06769483,0.23468162,0.42146088,0.01654811,0.42531625
-5.79589795,1.02482594,0.00385733,0.06322434,0.22660038,0.41949861,0.01640513,0.41812242
-5.78989495,1.00748484,0.00362993,0.05905851,0.21867798,0.41713952,0.01623068,0.41089736
-5.78389195,0.98960269,0.00341820,0.05519332,0.21084067,0.41418167,0.01601949,0.40341133
-5.77788894,0.97079960,0.00322075,0.05162549,0.20303778,0.41047479,0.01576794,0.39547597
-5.77188594,0.95081142,0.00303611,0.04835289,0.19524204,0.40592415,0.01547417,0.38694916
-5.76588294,0.92949433,0.00286286,0.04537474,0.18744879,0.40049197,0.01513805,0.37773797
-5.75987994,0.90682442,0.00269971,0.04269156,0.17967426,0.39419646,0.01476122,0.36779962
-5.75387694,0.88289229,0.00254552,0.04030490,0.17195311,0.38710855,0.01434692,0.35714065
-5.74787394,0.85789335,0.00239940,0.03821695,0.16433533,0.37934650,0.01389985,0.34581436
-5.74187094,0.83211421,0.00226069,0.03643002,0.15688266,0.37106876,0.01342600,0.33391667
-5.73586793,0.80591619,0.00212898,0.03494595,0.14966483,0.36246548,0.01293231,0.32158074
-5.72986493,0.77971661,0.00200414,0.03376543,0.14275566,0.35374897,0.01242652,0.30897058
-5.72386193,0.75396883,0.00188626,0.03288739,0.13622935,0.34514374,0.01191677,0.29627393
-5.71785893,0.72914209,0.00177562,0.03230837,0.13015698,0.33687646,0.01141138,0.28369484
-5.71185593,0.70570195,0.00167268,0.03202206,0.12460344,0.32916639,0.01091856,0.27144622
-5.70585293,0.68409227,0.00157803,0.03201881,0.11962493,0.32221665,0.01044614,0.25974259
-5.69984992,0.66471938,0.00149234,0.03228545,0.11526701,0.31620677,0.01000138,0.24879345
-5.69384692,0.64793918,0.00141631,0.03280516,0.11156343,0.31128673,0.00959076,0.23879747
-5.68784392,0.63404744,0.00135065,0.03355754,0.10853552,0.30757275,0.00921987,0.22993753
-5.68184092,0.62327373,0.00129602,0.03451891,0.10619240,0.30514494,0.00889330,0.22237693
-5.67583792,0.61577885,0.00125302,0.03566278,0.10453170,0.30404684,0.00861466,0.21625669
-5.66983492,0.61165574,0.00122215,0.03696046,0.10354098,0.30428674,0.00838652,0.21169399
-5.66383192,0.61093354,0.00120378,0.03838189,0.10319953,0.30584056,0.00821055,0.20878159
-5.65782891,0.61358433,0.00119815,0.03989654,0.10348052,0.30865623,0.00808754,0.20758828
-5.65182591,0.61953195,0.00120536,0.04147444,0.10435345,0.31265899,0.00801758,0.20816000
-5.64582291,0.62866231,0.00122533,0.04308721,0.10578663,0.31775750,0.00800018,0.21052158
-5.63981991,0.64083436,0.00125783,0.04470908,0.10774957,0.32385026,0.00803442,0.21467886
-5.63381691,0.65589119,0.00130247,0.04631788,0.11021528,0.33083207,0.00811909,0.22062097
-5.62781391,0.67367052,0.00135870,0.04789581,0.11316217,0.33860002,0.00825289,0.22832266
-5.62181091,0.69401395,0.00142581,0.04943016,0.11657563,0.34705899,0.00843450,0.23774641
-5.61580790,0.71677464,0.00150292,0.05091366,0.12044902,0.35612607,0.00866268,0.24884432
-5.60980490,0.74182297,0.00158903,0.05234470,0.12478419,0.36573408,0.00893641,0.26155961
-5.60380190,0.76905008,0.00168302,0.05372717,0.12959142,0.37583372,0.00925487,0.27582771
-5.59779890,0.79836910,0.00178363,0.05507009,0.13488880,0.38639467,0.00961750,0.29157698
-5.59179590,0.82971434,0.00188954,0.05638693,0.14070103,0.39740535,0.01002394,0.30872901
-5.58579290,0.86303848,0.00199934,0.05769470,0.14705776,0.40887164,0.01047402,0.32719868
-5.57978989,0.89830819,0.00211158,0.05901285,0.15399159,0.42081466,0.01096767,0.34689392
-5.57378689,0.93549846,0.00222482,0.06036204,0.16153563,0.43326775,0.01150485,0.36771549
-5.56778389,0.97458620,0.00233762,0.06176285,0.16972097,0.44627278,0.01208541,0.38955662
-5.56178089,1.01554349,0.00244863,0.06323453,0.17857403,0.45987629,0.01270902,0.41230287
-5.55577789,1.05833083,0.00255657,0.06479382,0.18811396,0.47412528,0.01337501,0.43583213
-5.54977489,1.10289112,0.00266030,0.06645394,0.19835017,0.48906319,0.01408230,0.46001494
-5.54377189,1.14914433,0.00275885,0.06822391,0.20928020,0.50472603,0.01482927,0.48471516
-5.53776888,1.19698348,0.00285142,0.07010808,0.22088795,0.52113896,0.01561369,0.50979101
-5.53176588,1.24627202,0.00293744,0.07210600,0.23314242,0.53831334,0.01643266,0.53509645
-5.52576288,1.29684271,0.00301658,0.07421272,0.24599696,0.55624438,0.01728252,0.56048307
-5.51975988,1.34849817,0.00308870,0.07641931,0.25938922,0.57490953,0.01815891,0.58580217
-5.51375688,1.40101293,0.00315395,0.07871376,0.27324167,0.59426746,0.01905670,0.61090718
-5.50775388,1.45413691,0.00321267,0.08108211,0.28746283,0.61425782,0.01997011,0.63565624
-5.50175088,1.50760014,0.00326539,0.08350969,0.30194914,0.63480162,0.02089269,0.65991487
-5.49574787,1.56111846,0.00331286,0.08598249,0.31658733,0.65580226,0.02181750,0.68355859
-5.48974487,1.61439979,0.00335593,0.08848846,0.33125736,0.67714704,0.02273715,0.70647537
