energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Na_s_up,S_s_up,S_p_up
-6.00000000,0.80005574,0.00185053,0.04641155,0.28257806,0.12777219,0.15535501,0.01162581,0.48788197
-5.99399700,0.71732796,0.00205709,0.04133812,0.25345920,0.11392898,0.13591531,0.01060780,0.43843704
-5.98799400,0.64584064,0.00232609,0.03688228,0.22876598,0.10169630,0.11857717,0.00979219,0.39594841
-5.98199100,0.58583030,0.00266592,0.03305278,0.20850958,0.09111878,0.10331025,0.00918657,0.36057346
-5.97598799,0.53740259,0.00308534,0.02984998,0.19265670,0.08221946,0.09005892,0.00879688,0.33239146
-5.96998499,0.50055147,0.00359336,0.02726698,0.18113727,0.07500286,0.07874753,0.00862760,0.31141488
-5.96398199,0.47517718,0.00419901,0.02529076,0.17385138,0.06945803,0.06928531,0.00868197,0.29760003
-5.95797899,0.46110199,0.00491117,0.02390327,0.17067536,0.06556135,0.06157085,0.00896200,0.29085620
-5.95197599,0.45808320,0.00573826,0.02308228,0.17146674,0.06327900,0.05549605,0.00946853,0.29105319
-5.94597299,0.46582310,0.00668797,0.02280219,0.17606822,0.06256898,0.05094945,0.01020109,0.29802678
-5.93996998,0.48397561,0.00776691,0.02303464,0.18431049,0.06338265,0.04781882,0.01115777,0.31158241
-5.93396698,0.51215004,0.00898023,0.02374890,0.19601433,0.06566576,0.04599324,0.01233494,0.33149697
-5.92796398,0.54991222,0.01033128,0.02491225,0.21099188,0.06935903,0.04536442,0.01372693,0.35751909
-5.92196098,0.59678364,0.01182121,0.02649015,0.22904759,0.07439838,0.04582764,0.01532574,0.38936828
-5.91595798,0.65223951,0.01344858,0.02844639,0.24997877,0.08071477,0.04728210,0.01712064,0.42673349
-5.90995498,0.71570625,0.01520909,0.03074321,0.27357631,0.08823398,0.04963101,0.01909791,0.46927143
-5.90395198,0.78655958,0.01709525,0.03334135,0.29962545,0.09687627,0.05278142,0.02124052,0.51660536
-5.89794897,0.86412374,0.01909618,0.03620030,0.32790697,0.10655608,0.05664393,0.02352802,0.56832469
-5.89194597,0.94767271,0.02119750,0.03927846,0.35819881,0.11718197,0.06113235,0.02593640,0.62398592
-5.88594297,1.03643382,0.02338136,0.04253349,0.39027818,0.12865682,0.06616341,0.02843824,0.68311516
-5.87993997,1.12959411,0.02562647,0.04592275,0.42392403,0.14087840,0.07165662,0.03100288,0.74521237
-5.87393697,1.22630958,0.02790842,0.04940381,0.45891994,0.15374026,0.07753423,0.03359684,0.80975748
-5.86793397,1.32571702,0.03020001,0.05293510,0.49505709,0.16713309,0.08372150,0.03618434,0.87621811
-5.86193097,1.42694825,0.03247177,0.05647657,0.53213724,0.18094634,0.09014700,0.03872800,0.94405867
-5.85592796,1.52914577,0.03469259,0.05999044,0.56997532,0.19507027,0.09674320,0.04118968,1.01275045
