energy_ev,total_up,Ge_p_up,Ge_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,0.00879270,0.00287955,0.00000000,0.00000013,0.00242969,0.00425522,0.00127078
-5.99399700,0.00858121,0.00277976,0.00000000,0.00000018,0.00240677,0.00409180,0.00124639
-5.98799400,0.00877347,0.00280753,0.00000000,0.00000025,0.00250084,0.00411298,0.00128077
-5.98199100,0.00940812,0.00297369,0.00000000,0.00000033,0.00272471,0.00433313,0.00137964
-5.97598799,0.01053424,0.00329212,0.00000000,0.00000044,0.00309447,0.00477072,0.00155021
-5.96998499,0.01221244,0.00378010,0.00000000,0.00000058,0.00362989,0.00544873,0.00180136
-5.96398199,0.01451585,0.00445852,0.00000000,0.00000076,0.00435469,0.00639494,0.00214372
-5.95797899,0.01753058,0.00535206,0.00000000,0.00000098,0.00529678,0.00764195,0.00258974
-5.95197599,0.02135586,0.00648914,0.00000000,0.00000127,0.00648832,0.00922716,0.00315371
-5.94597299,0.02610360,0.00790175,0.00000000,0.00000163,0.00796564,0.01119233,0.00385166
-5.93996998,0.03189738,0.00962512,0.00000000,0.00000207,0.00976897,0.01358304,0.00470117
-5.93396698,0.03887068,0.01169712,0.00000000,0.00000261,0.01194200,0.01644769,0.00572114
-5.92796398,0.04716445,0.01415747,0.00000000,0.00000328,0.01453112,0.01983640,0.00693137
-5.92196098,0.05692379,0.01704674,0.00000000,0.00000408,0.01758453,0.02379936,0.00835208
-5.91595798,0.06829384,0.02040507,0.00000000,0.00000505,0.02115091,0.02838508,0.01000330
-5.90995498,0.08141487,0.02427066,0.00000000,0.00000620,0.02527799,0.03363822,0.01190410
-5.90395198,0.09641657,0.02867810,0.00000000,0.00000756,0.03001078,0.03959726,0.01407181
-5.89794897,0.11341171,0.03365646,0.00000000,0.00000915,0.03538952,0.04629194,0.01652108
-5.89194597,0.13248932,0.03922735,0.00000000,0.00001099,0.04144760,0.05374063,0.01926292
-5.88594297,0.15370758,0.04540285,0.00000000,0.00001311,0.04820916,0.06194771,0.02230365
-5.87993997,0.17708672,0.05218352,0.00000000,0.00001552,0.05568682,0.07090111,0.02564398
-5.87393697,0.20260219,0.05955654,0.00000000,0.00001825,0.06387936,0.08057002,0.02927803
-5.86793397,0.23017857,0.06749402,0.00000000,0.00002130,0.07276958,0.09090310,0.03319251
-5.86193097,0.25968436,0.07595177,0.00000000,0.00002468,0.08232247,0.10182723,0.03736612
-5.85592796,0.29092832,0.08486835,0.00000000,0.00002840,0.09248376,0.11324683,0.04176904
-5.84992496,0.32365744,0.09416481,0.00000000,0.00003244,0.10317898,0.12504410,0.04636280
-5.84392196,0.35755697,0.10374495,0.00000000,0.00003679,0.11431316,0.13708006,0.05110038
-5.83791896,0.39225279,0.11349626,0.00000000,0.00004142,0.12577127,0.14919647,0.05592665
-5.83191596,0.42731609,0.12329162,0.00000000,0.00004631,0.13741935,0.16121878,0.06077921
-5.82591296,0.46227064,0.13299162,0.00000000,0.00005139,0.14910655,0.17295984,0.06558948
-5.81990995,0.49660238,0.14244763,0.00000000,0.00005663,0.16066795,0.18422450,0.07028422
-5.81390695,0.52977115,0.15150534,0.00000000,0.00006195,0.17192804,0.19481480,0.07478725
-5.80790395,0.56122438,0.16000886,0.00000000,0.00006728,0.18270500,0.20453564,0.07902147
-5.80190095,0.59041207,0.16780513,0.00000000,0.00007255,0.19281544,0.21320067,0.08291103
-5.79589795,0.61680264,0.17474847,0.00000000,0.00007767,0.20207953,0.22063825,0.08638354
-5.78989495,0.63989909,0.18070506,0.00000000,0.00008255,0.21032629,0.22669701,0.08937236
