energy_ev,total_up,Sb_p_up,Sb_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,0.63447077,0.26302628,0.00529355,0.20682896,0.00000000,0.63918811,0.12057155
-5.99399700,0.65528892,0.26594784,0.00584080,0.21773813,0.00000000,0.66740136,0.12493178
-5.98799400,0.68245208,0.27027805,0.00642549,0.23191871,0.00000000,0.70203233,0.13034046
-5.98199100,0.71546367,0.27570709,0.00704357,0.24930410,0.00000000,0.74254469,0.13670059
-5.97598799,0.75374726,0.28192174,0.00769020,0.26977311,0.00000000,0.78832100,0.14390272
-5.96998499,0.79665752,0.28861361,0.00835974,0.29315027,0.00000000,0.83867234,0.15182713
-5.96398199,0.84349216,0.29548693,0.00904583,0.31920734,0.00000000,0.89284942,0.16034623
-5.95797899,0.89350478,0.30226553,0.00974150,0.34766617,0.00000000,0.95005490,0.16932705
-5.95197599,0.94591877,0.30869893,0.01043926,0.37820310,0.00000000,1.00945725,0.17863379
-5.94597299,0.99994182,0.31456735,0.01113125,0.41045486,0.00000000,1.07020568,0.18813039
-5.93996998,1.05478107,0.31968545,0.01180939,0.44402607,0.00000000,1.13144618,0.19768318
-5.93396698,1.10965856,0.32390483,0.01246563,0.47849803,0.00000000,1.19233820,0.20716341
-5.92796398,1.16382667,0.32711512,0.01309206,0.51343889,0.00000000,1.25207165,0.21644966
-5.92196098,1.21658308,0.32924378,0.01368121,0.54841459,0.00000000,1.30988355,0.22543025
-5.91595798,1.26728498,0.33025467,0.01422620,0.58300039,0.00000000,1.36507392,0.23400523
-5.90995498,1.31536188,0.33014542,0.01472098,0.61679248,0.00000000,1.41702012,0.24208831
-5.90395198,1.36032663,0.32894387,0.01516050,0.64941913,0.00000000,1.46518913,0.24960828
-5.89794897,1.40178428,0.32670371,0.01554085,0.68055097,0.00000000,1.50914708,0.25651024
-5.89194597,1.43943820,0.32349954,0.01585944,0.70990987,0.00000000,1.54856565,0.26275626
-5.88594297,1.47309340,0.31942164,0.01611501,0.73727595,0.00000000,1.58322485,0.26832572
-5.87993997,1.50265670,0.31457059,0.01630775,0.76249251,0.00000000,1.61301206,0.27321508
-5.87393697,1.52813384,0.30905210,0.01643919,0.78546853,0.00000000,1.63791729,0.27743733
-5.86793397,1.54962354,0.30297213,0.01651225,0.80617865,0.00000000,1.65802492,0.28102095
-5.86193097,1.56730887,0.29643258,0.01653105,0.82466068,0.00000000,1.67350218,0.28400843
-5.85592796,1.58144620,0.28952767,0.01650077,0.84101090,0.00000000,1.68458511,0.28645455
-5.84992496,1.59235239,0.28234106,0.01642750,0.85537714,0.00000000,1.69156265,0.28842436
-5.84392196,1.60039063,0.27494394,0.01631798,0.86795034,0.00000000,1.69475973,0.28999093
-5.83791896,1.60595565,0.26739389,0.01617939,0.87895482,0.00000000,1.69452017,0.29123302
-5.83191596,1.60945894,0.25973470,0.01601907,0.88863775,0.00000000,1.69119044,0.29223270
-5.82591296,1.61131445,0.25199693,0.01584430,0.89725843,0.00000000,1.68510491,0.29307296
-5.81990995,1.61192533,0.24419926,0.01566206,0.90507766,0.00000000,1.67657340,0.29383549
-5.81390695,1.61167217,0.23635037,0.01547879,0.91234768,0.00000000,1.66587141,0.29459846
-5.80790395,1.61090285,0.22845133,0.01530023,0.91930310,0.00000000,1.65323361,0.29543461
-5.80190095,1.60992436,0.22049830,0.01513123,0.92615282,0.00000000,1.63885032,0.29640942
-5.79589795,1.60899646,0.21248539,0.01497567,0.93307335,0.00000000,1.62286722,0.29757961
-5.78989495,1.60832723,0.20440751,0.01483635,0.94020350,0.00000000,1.60538786,0.29899173
-5.78389195,1.60807034,0.19626316,0.01471494,0.94764039,0.00000000,1.58647842,0.30068111
-5.77788894,1.60832390,0.18805695,0.01461203,0.95543689,0.00000000,1.56617441,0.30267100
-5.77188594,1.60913072,0.17980179,0.01452712,0.96360033,0.00000000,1.54448850,0.30497200
-5.76588294,1.61047987,0.17152070,0.01445869,0.97209242,0.00000000,1.52141890,0.30758175
-5.75987994,1.61230931,0.16324823,0.01440433,0.98083037,0.00000000,1.49695781,0.31048502
-5.75387694,1.61450977,0.15503132,0.01436083,0.98968906,0.00000000,1.47109932,0.31365407
-5.74787394,1.61692966,0.14692989,0.01432433,0.99850433,0.00000000,1.44384653,0.31704952
-5.74187094,1.61938116,0.13901692,0.01429049,1.00707732,0.00000000,1.41521745,0.32062164
-5.73586793,1.62164752,0.13137819,0.01425463,1.01517987,0.00000000,1.38524977,0.32431200
-5.72986493,1.62349172,0.12411177,0.01421191,1.02256084,0.00000000,1.35400428,0.32805580
