energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up
-6.00000000,5.20498486,0.23006755,3.80544937,0.00302514,0.13432632,0.54004103,0.46918672,0.12361614,0.45321956
-5.99399700,5.62159355,0.25089727,4.13013139,0.00280370,0.14108363,0.57173525,0.49645169,0.13233508,0.48882968
-5.98799400,6.04534614,0.27219669,4.45948804,0.00260264,0.14800862,0.60412499,0.52476175,0.14137650,0.52510460
-5.98199100,6.46991993,0.29367146,4.78872651,0.00242168,0.15496835,0.63663579,0.55364057,0.15060819,0.56149994
-5.97598799,6.88846927,0.31499933,5.11268655,0.00226011,0.16181690,0.66863960,0.58255435,0.15988055,0.59742310
-5.96998499,7.29378731,0.33583697,5.42595853,0.00211686,0.16839984,0.69947258,0.61092608,0.16903032,0.63224765
-5.96398199,7.67849283,0.35582817,5.72301970,0.00199057,0.17455914,0.72845522,0.63815215,0.17788494,0.66532994
-5.95797899,8.03523548,0.37461329,5.99838382,0.00187965,0.18013848,0.75491401,0.66362080,0.18626751,0.69602745
-5.95197599,8.35691154,0.39183931,6.24675849,0.00178237,0.18498866,0.77820377,0.68673154,0.19400210,0.72371812
-5.94597299,8.63688150,0.40717047,6.46320400,0.00169696,0.18897284,0.79772968,0.70691490,0.20091932,0.74781981
-5.93996998,8.86918038,0.42029869,6.64328683,0.00162170,0.19197145,0.81296804,0.72365161,0.20686174,0.76780925
-5.93396698,9.04871155,0.43095361,6.78322131,0.00155500,0.19388653,0.82348484,0.73649033,0.21168916,0.78323943
-5.92796398,9.17141566,0.43891165,6.87999298,0.00149548,0.19464532,0.82895141,0.74506336,0.21528335,0.79375492
-5.92196098,9.23440705,0.44400370,6.93145823,0.00144206,0.19420294,0.82915636,0.74909950,0.21755206,0.79910419
-5.91595798,9.23607166,0.44612120,6.93641562,0.00139400,0.19254405,0.82401342,0.74843360,0.21843224,0.79914861
-5.90995498,9.17612207,0.44522021,6.89464565,0.00135099,0.18968351,0.81356481,0.74301246,0.21789228,0.79386760
-5.90395198,9.05560752,0.44132335,6.80691733,0.00131318,0.18566589,0.79798012,0.73289677,0.21593308,0.78335977
-5.89794897,8.87687883,0.43451955,6.67496144,0.00128122,0.18056401,0.77755082,0.71825924,0.21258814,0.76784008
-5.89194597,8.64351022,0.42496162,6.50141184,0.00125627,0.17447662,0.75268071,0.69937894,0.20792242,0.74763316
-5.88594297,8.36018222,0.41286175,6.28971797,0.00124008,0.16752513,0.72387291,0.67663224,0.20203026,0.72316318
-5.87993997,8.03253137,0.39848527,6.04403267,0.00123494,0.15984992,0.69171402,0.65048087,0.19503236,0.69494068
-5.87393697,7.66697399,0.38214280,5.76908079,0.00124374,0.15160608,0.65685618,0.62145765,0.18707197,0.66354720
-5.86793397,7.27051204,0.36418131,5.47001451,0.00126992,0.14295891,0.61999796,0.59015052,0.17831046,0.62961815
-5.86193097,6.85052976,0.34497446,5.15226190,0.00131753,0.13407947,0.58186475,0.55718570,0.16892262,0.59382492
-5.85592796,6.41458957,0.32491253,4.82137513,0.00139113,0.12514012,0.54318961,0.52321048,0.15909158,0.55685680
-5.84992496,5.97023531,0.30439248,4.48288443,0.00149582,0.11631046,0.50469507,0.48887651,0.14900390,0.51940343
-5.84392196,5.52480995,0.28380840,4.14216322,0.00163717,0.10775350,0.46707664,0.45482396,0.13884477,0.48213848
-5.83791896,5.08529365,0.26354272,3.80430904,0.00182117,0.09962253,0.43098831,0.42166716,0.12879353,0.44570491
-5.83191596,4.65816672,0.24395840,3.47404365,0.00205411,0.09205827,0.39703043,0.38998203,0.11901974,0.41070234
-5.82591296,4.24930013,0.22539228,3.15563452,0.00234254,0.08518678,0.36574003,0.36029542,0.10967975,0.37767658
-5.81990995,3.86387501,0.20814969,2.85283887,0.00269306,0.07911779,0.33758351,0.33307662,0.10091391,0.34711155
-5.81390695,3.50633057,0.19250032,2.56886982,0.00311226,0.07394349,0.31295178,0.30873095,0.09284441,0.31942356
-5.80790395,3.18033904,0.17867535,2.30638368,0.00360648,0.06973786,0.29215730,0.28759529,0.08557374,0.29495763
-5.80190095,2.88880466,0.16686575,2.06748592,0.00418166,0.06655621,0.27543309,0.26993535,0.07918379,0.27398594
-5.79589795,2.63388311,0.15722152,1.85375313,0.00484315,0.06443518,0.26293308,0.25594464,0.07373540,0.25670780
-5.78989495,2.41701736,0.14985185,1.66626751,0.00559547,0.06339280,0.25473379,0.24574462,0.06926843,0.24325107
-5.78389195,2.23898553,0.14482595,1.50566026,0.00644218,0.06342881,0.25083686,0.23938603,0.06580223,0.23367466
-5.77788894,2.09995663,0.14217442,1.37216035,0.00738570,0.06452514,0.25117238,0.23685116,0.06333634,0.22797184
-5.77188594,1.99955014,0.14189101,1.26564519,0.00842718,0.06664643,0.25560278,0.23805672,0.06185158,0.22607411
-5.76588294,1.93689637,0.14393470,1.18569015,0.00956644,0.06974076,0.26392735,0.24285758,0.06131119,0.22785551
-5.75987994,1.91069480,0.14823200,1.13161443,0.01080197,0.07374047,0.27588732,0.25105091,0.06166225,0.23313723
-5.75387694,1.91926867,0.15467944,1.10252139,0.01213107,0.07856323,0.29117164,0.26238112,0.06283718,0.24169249
-5.74787394,1.96061474,0.16314622,1.09733213,0.01354999,0.08411331,0.30942346,0.27654537,0.06475536,0.25325170
-5.74187094,2.03244793,0.17347712,1.11481166,0.01505426,0.09028317,0.33024766,0.29319986,0.06732486,0.26750791
-5.73586793,2.13224118,0.18549554,1.15358793,0.01663909,0.09695529,0.35321926,0.31196693,0.07044434,0.28412269
-5.72986493,2.25726143,0.19900693,1.21216421,0.01829992,0.10400444,0.37789299,0.33244300,0.07400499,0.30273242
-5.72386193,2.40460278,0.21380245,1.28892615,0.02003298,0.11130031,0.40381382,0.35420735,0.07789271,0.32295506
-5.71785893,2.57121838,0.22966292,1.38214499,0.02183604,0.11871031,0.43052851,0.37683168,0.08199030,0.34439748
-5.71185593,2.75395232,0.24636318,1.48997870,0.02370908,0.12610286,0.45759777,0.39989032,0.08617981,0.36666317
-5.70585293,2.94957266,0.26367656,1.61047302,0.02565505,0.13335071,0.48460882,0.42297080,0.09034494,0.38936037
-5.69984992,3.15480671,0.28137963,1.74156406,0.02768056,0.14033440,0.51118779,0.44568460,0.09437349,0.41211031
-5.69384692,3.36637894,0.29925688,1.88108444,0.02979646,0.14694563,0.53701158,0.46767754,0.09815974,0.43455548
-5.68784392,3.58105152,0.31710536,2.02677403,0.03201830,0.15309045,0.56181836,0.48863946,0.10160677,0.45636746
-5.68184092,3.79566725,0.33473894,2.17629653,0.03436658,0.15869202,0.58541627,0.50831281,0.10462858,0.47725417
-5.67583792,4.00719380,0.35199207,2.32726230,0.03686668,0.16369290,0.60768963,0.52649953,0.10715194,0.49696608
-5.66983492,4.21276804,0.36872281,2.47725750,0.03954861,0.16805658,0.62860213,0.54306583,0.10911793,0.51530108
-5.66383192,4.40973873,0.38481495,2.62387905,0.04244629,0.17176824,0.64819654,0.55794461,0.11048309,0.53210776
-5.65782891,4.59570590,0.40017905,2.76477444,0.04559658,0.17483469,0.66659075,0.57113512,0.11122005,0.54728676
-5.65182591,4.76855482,0.41475229,2.89768490,0.04903787,0.17728322,0.68396987,0.58269975,0.11131774,0.56079013
-5.64582291,4.92648299,0.42849704,3.02049023,0.05280837,0.17915971,0.70057470,0.59275806,0.11078105,0.57261862
-5.63981991,5.06801839,0.44139825,3.13125328,0.05694412,0.18052573,0.71668678,0.60147795,0.10962998,0.58281687
-5.63381691,5.19202801,0.45345967,3.22826188,0.06147672,0.18145503,0.73261065,0.60906461,0.10789833,0.59146677
-5.62781391,5.29771593,0.46469907,3.31006619,0.06643096,0.18202931,0.74865398,0.61574741,0.10563201,0.59867923
-5.62181091,5.38461076,0.47514274,3.37550958,0.07182238,0.18233369,0.76510667,0.62176556,0.10288693,0.60458477
