energy_ev,total_up,N_s_up,N_p_up,Os_p_up,Os_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,4.31284790,0.02786265,0.21089466,0.75174357,2.59667924,0.60585576,0.33519169,1.58275336,0.00000000
-5.99399700,4.24574153,0.02577061,0.19587261,0.74796393,2.56609654,0.59285325,0.32511818,1.56897220,0.00000000
-5.98799400,4.17839552,0.02388455,0.18223706,0.74609622,2.52811287,0.58208906,0.31632679,1.55841601,0.00000000
-5.98199100,4.11142760,0.02220226,0.16998770,0.74600678,2.48351268,0.57342769,0.30887492,1.55098447,0.00000000
-5.97598799,4.04538915,0.02071821,0.15909149,0.74751875,2.43318609,0.56667216,0.30278473,1.54648280,0.00000000
-5.96998499,3.98075517,0.01942394,0.14948729,0.75041770,2.37809982,0.56157502,0.29804505,1.54463092,0.00000000
-5.96398199,3.91791443,0.01830855,0.14109107,0.75445785,2.31926506,0.55785065,0.29461405,1.54507440,0.00000000
-5.95797899,3.85716040,0.01735912,0.13380142,0.75936893,2.25770400,0.55518849,0.29242240,1.54739682,0.00000000
-5.95197599,3.79868386,0.01656116,0.12750519,0.76486331,2.19441646,0.55326657,0.29137699,1.55113326,0.00000000
-5.94597299,3.74256794,0.01589906,0.12208303,0.77064336,2.13034838,0.55176484,0.29136485,1.55578449,0.00000000
-5.93996998,3.68878621,0.01535646,0.11741468,0.77640863,2.06636357,0.55037775,0.29225727,1.56083162,0.00000000
-5.93396698,3.63720460,0.01491667,0.11338382,0.78186284,2.00321995,0.54882575,0.29391400,1.56575064,0.00000000
-5.92796398,3.58758734,0.01456299,0.10988238,0.78672048,1.94155150,0.54686512,0.29618739,1.57002680,0.00000000
-5.92196098,3.53960730,0.01427910,0.10681417,0.79071282,1.88185641,0.54429602,0.29892636,1.57316838,0.00000000
-5.91595798,3.49286060,0.01404931,0.10409781,0.79359335,1.82449192,0.54096839,0.30198025,1.57471953,0.00000000
-5.90995498,3.44688512,0.01385886,0.10166887,0.79514248,1.76967580,0.53678576,0.30520238,1.57427219,0.00000000
-5.90395198,3.40118259,0.01369418,0.09948123,0.79517157,1.71749421,0.53170678,0.30845341,1.57147652,0.00000000
-5.89794897,3.35524322,0.01354302,0.09750767,0.79352618,1.66791510,0.52574455,0.31160431,1.56605007,0.00000000
-5.89194597,3.30857213,0.01339472,0.09573969,0.79008869,1.62080651,0.51896412,0.31453907,1.55778517,0.00000000
-5.88594297,3.26071635,0.01324024,0.09418674,0.78478019,1.57595838,0.51147800,0.31715709,1.54655458,0.00000000
