energy_ev,total_up,Au_p_up,Au_d_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,0.43431412,0.03549653,0.38540962,0.01142914,0.01901873,0.00284138,0.00085815,0.04932810,0.00000000
-5.99399700,0.47914457,0.03919619,0.42497884,0.01283828,0.02092322,0.00312100,0.00101829,0.05439324,0.00000000
-5.98799400,0.52534023,0.04302311,0.46565705,0.01435968,0.02289125,0.00340550,0.00120744,0.05961238,0.00000000
-5.98199100,0.57245829,0.04694714,0.50702133,0.01599557,0.02491083,0.00369132,0.00143055,0.06494035,0.00000000
-5.97598799,0.62001451,0.05093582,0.54860718,0.01774839,0.02697012,0.00397461,0.00169320,0.07032854,0.00000000
-5.96998499,0.66749453,0.05495553,0.58991852,0.01962104,0.02905794,0.00425125,0.00200164,0.07572637,0.00000000
-5.96398199,0.71436724,0.05897257,0.63043966,0.02161704,0.03116448,0.00451699,0.00236272,0.08108285,0.00000000
-5.95797899,0.76009967,0.06295451,0.66964884,0.02374068,0.03328185,0.00476752,0.00278387,0.08634840,0.00000000
-5.95197599,0.80417299,0.06687154,0.70703297,0.02599711,0.03540461,0.00499861,0.00327300,0.09147670,0.00000000
-5.94597299,0.84609871,0.07069776,0.74210290,0.02839241,0.03753029,0.00520621,0.00383835,0.09642646,0.00000000
-5.93996998,0.88543465,0.07441246,0.77440864,0.03093351,0.03965967,0.00538656,0.00448836,0.10116319,0.00000000
-5.93396698,0.92179974,0.07800127,0.80355387,0.03362801,0.04179698,0.00553631,0.00523140,0.10566072,0.00000000
-5.92796398,0.95488694,0.08145702,0.82920912,0.03648395,0.04394989,0.00565264,0.00607553,0.10990243,0.00000000
-5.92196098,0.98447380,0.08478042,0.85112287,0.03950930,0.04612929,0.00573332,0.00702821,0.11388216,0.00000000
-5.91595798,1.01042979,0.08798042,0.86913025,0.04271149,0.04834890,0.00577679,0.00809595,0.11760472,0.00000000
-5.90995498,1.03272026,0.09107416,0.88315864,0.04609674,0.05062464,0.00578221,0.00928398,0.12108591,0.00000000
-5.90395198,1.05140661,0.09408665,0.89323007,0.04966928,0.05297380,0.00574950,0.01059586,0.12435211,0.00000000
-5.89794897,1.06664269,0.09705003,0.89946015,0.05343054,0.05541417,0.00567931,0.01203313,0.12743931,0.00000000
-5.89194597,1.07866745,0.10000249,0.90205361,0.05737837,0.05796288,0.00557303,0.01359501,0.13039184,0.00000000
-5.88594297,1.08779433,0.10298688,0.90129663,0.06150619,0.06063536,0.00543273,0.01527812,0.13326055,0.00000000
-5.87993997,1.09439773,0.10604906,0.89754624,0.06580228,0.06344415,0.00526109,0.01707620,0.13610078,0.00000000
-5.87393697,1.09889734,0.10923612,0.89121737,0.07024922,0.06639790,0.00506133,0.01898007,0.13897007,0.00000000
-5.86793397,1.10174108,0.11259438,0.88276810,0.07482352,0.06950038,0.00483708,0.02097753,0.14192573,0.00000000
-5.86193097,1.10338742,0.11616746,0.87268374,0.07949545,0.07274974,0.00459231,0.02305349,0.14502244,0.00000000
-5.85592796,1.10428805,0.11999438,0.86146062,0.08422917,0.07613801,0.00433120,0.02519014,0.14830988,0.00000000
-5.84992496,1.10487169,0.12410781,0.84959011,0.08898323,0.07965079,0.00405800,0.02736733,0.15183069,0.00000000
-5.84392196,1.10552969,0.12853257,0.83754372,0.09371124,0.08326736,0.00377695,0.02956296,0.15561863,0.00000000
-5.83791896,1.10660430,0.13328442,0.82575977,0.09836300,0.08696101,0.00349216,0.03175361,0.15969722,0.00000000
-5.83191596,1.10837973,0.13836921,0.81463216,0.10288575,0.09069972,0.00320751,0.03391517,0.16407876,0.00000000
-5.82591296,1.11107655,0.14378242,0.80450164,0.10722580,0.09444709,0.00292659,0.03602356,0.16876389,0.00000000
-5.81990995,1.11484936,0.14950906,0.79564965,0.11133015,0.09816354,0.00265259,0.03805554,0.17374166,0.00000000
-5.81390695,1.11978765,0.15552402,0.78829501,0.11514834,0.10180766,0.00238832,0.03998942,0.17898996,0.00000000
-5.80790395,1.12591946,0.16179274,0.78259307,0.11863420,0.10533775,0.00213611,0.04180589,0.18447656,0.00000000
-5.80190095,1.13321752,0.16827220,0.77863735,0.12174749,0.10871329,0.00189785,0.04348859,0.19016033,0.00000000
-5.79589795,1.14160717,0.17491217,0.77646313,0.12445544,0.11189645,0.00167495,0.04502479,0.19599287,0.00000000
-5.78989495,1.15097532,0.18165663,0.77605270,0.12673390,0.11485350,0.00146839,0.04640570,0.20192021,0.00000000
-5.78389195,1.16117999,0.18844527,0.77734169,0.12856818,0.11755596,0.00127872,0.04762686,0.20788467,0.00000000
-5.77788894,1.17205948,0.19521497,0.78022601,0.12995356,0.11998150,0.00110612,0.04868811,0.21382657,0.00000000
-5.77188594,1.18344079,0.20190133,0.78456901,0.13089519,0.12211464,0.00095041,0.04959354,0.21968597,0.00000000
-5.76588294,1.19514663,0.20843992,0.79020827,0.13140777,0.12394697,0.00081116,0.05035120,0.22540399,0.00000000
-5.75987994,1.20700081,0.21476739,0.79696192,0.13151460,0.12547708,0.00068766,0.05097255,0.23092403,0.00000000
