energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
5.28564282,4.04028238,0.12069181,0.73562629,2.23638405,0.00868550,2.53914910,1.01854267,0.15088706,1.26982780
5.29164582,3.98227629,0.11951333,0.72556155,2.19735560,0.00860146,2.53788857,0.99677534,0.14772557,1.25690907
5.29764882,3.91570530,0.11811437,0.71470346,2.15101769,0.00849560,2.52990180,0.97334801,0.14450657,1.24055021
5.30365183,3.83981010,0.11644614,0.70289273,2.09733872,0.00836587,2.51445918,0.94813044,0.14117963,1.22050372
5.30965483,3.75404620,0.11446826,0.68997631,2.03645427,0.00821082,2.49095481,0.92103546,0.13769812,1.19661250
5.31565783,3.65810893,0.11215021,0.67581546,1.96866515,0.00802960,2.45892911,0.89202484,0.13402138,1.16881482
5.32166083,3.55194997,0.10947236,0.66029336,1.89442994,0.00782206,2.41808724,0.86111336,0.13011662,1.13714615
5.32766383,3.43578473,0.10642652,0.64332223,1.81435205,0.00758869,2.36831266,0.82837065,0.12596034,1.10173779
5.33366683,3.31009028,0.10301612,0.62484923,1.72916218,0.00733064,2.30967505,0.79392104,0.12153933,1.06281252
5.33966983,3.17559425,0.09925581,0.60486105,1.63969670,0.00704964,2.24243239,0.75794124,0.11685126,1.02067742
5.34567284,3.03325512,0.09517081,0.58338691,1.54687313,0.00674800,2.16702688,0.72065612,0.11190472,0.97571436
5.35167584,2.88423501,0.09079580,0.56049981,1.45166364,0.00642848,2.08407499,0.68233268,0.10671882,0.92836835
5.35767884,2.72986626,0.08617354,0.53631590,1.35506774,0.00609425,1.99435190,0.64327268,0.10132238,0.87913451
5.36368184,2.57161319,0.08135332,0.51099214,1.25808530,0.00574876,1.89877107,0.60380408,0.09575279,0.82854395
5.36968484,2.41103083,0.07638917,0.48472230,1.16169080,0.00539567,1.79835966,0.56427186,0.09005448,0.77714925
5.37568784,2.24972224,0.07133811,0.45773152,1.06680993,0.00503875,1.69423091,0.52502849,0.08427732,0.72551003
5.38169085,2.08929612,0.06625835,0.43026969,0.97429909,0.00468175,1.58755459,0.48642451,0.07847478,0.67417900
5.38769385,1.93132630,0.06120759,0.40260406,0.88492853,0.00432837,1.47952660,0.44879950,0.07270215,0.62368911
5.39369685,1.77731443,0.05624144,0.37501133,0.79936936,0.00398209,1.37133902,0.41247392,0.06701467,0.57454194
5.39969985,1.62865707,0.05141210,0.34776966,0.71818478,0.00364618,1.26415158,0.37774184,0.06146595,0.52719789
5.40570285,1.48661805,0.04676719,0.32115088,0.64182526,0.00332359,1.15906564,0.34486502,0.05610639,0.48206809
5.41170585,1.35230669,0.04234883,0.29541337,0.57062767,0.00301692,1.05710146,0.31406829,0.05098195,0.43950836
5.41770885,1.22666211,0.03819307,0.27079563,0.50481798,0.00272839,0.95917929,0.28553634,0.04613308,0.39981516
5.42371186,1.11044373,0.03432940,0.24751103,0.44451693,0.00245980,0.86610491,0.25941197,0.04159393,0.36322350
