energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,W_p_up,W_d_up
5.36968484,0.58612219,0.42917894,0.02629218,0.00101801,0.03971082,0.05755279,0.07269768,0.30288642,0.06355689
5.37568784,0.58449705,0.44806726,0.02588186,0.00083740,0.03916573,0.05885973,0.07123189,0.29778266,0.06177479
5.38169085,0.58319002,0.46788953,0.02546818,0.00069029,0.03864918,0.06021656,0.06975531,0.29291970,0.06000373
5.38769385,0.58223263,0.48838946,0.02505786,0.00057048,0.03816711,0.06161033,0.06829666,0.28831646,0.05826846
5.39369685,0.58162534,0.50926931,0.02465632,0.00047280,0.03772482,0.06302258,0.06688280,0.28398426,0.05659353
5.39969985,0.58133312,0.53019308,0.02426739,0.00039298,0.03732657,0.06442934,0.06553780,0.27992267,0.05500230
5.40570285,0.58128460,0.55079260,0.02389314,0.00032753,0.03697535,0.06580152,0.06428258,0.27611718,0.05351639
5.41170585,0.58137452,0.57067646,0.02353386,0.00027365,0.03667293,0.06710568,0.06313486,0.27253840,0.05215545
5.41770885,0.58146960,0.58944146,0.02318820,0.00022909,0.03642013,0.06830503,0.06210959,0.26914317,0.05093733
5.42371186,0.58141722,0.60668600,0.02285342,0.00019205,0.03621728,0.06936083,0.06121975,0.26587703,0.04987852
5.42971486,0.58105642,0.62202483,0.02252577,0.00016111,0.03606491,0.07023387,0.06047738,0.26267810,0.04899493
5.43571786,0.58023039,0.63510438,0.02220095,0.00013517,0.03596449,0.07088618,0.05989493,0.25948188,0.04830276
5.44172086,0.57879976,0.64561782,0.02187457,0.00011336,0.03591923,0.07128269,0.05948655,0.25622667,0.04781956
5.44772386,0.57665565,0.65331907,0.02154273,0.00009497,0.03593490,0.07139284,0.05926953,0.25285920,0.04756520
5.45372686,0.57373169,0.65803483,0.02120248,0.00007950,0.03602054,0.07119210,0.05926547,0.24934001,0.04756282
5.45972986,0.57001413,0.65967403,0.02085225,0.00006651,0.03618900,0.07066317,0.05950127,0.24564826,0.04783952
5.46573287,0.56554943,0.65823407,0.02049227,0.00005568,0.03645737,0.06979693,0.06000978,0.24178560,0.04842677
5.47173587,0.56044856,0.65380331,0.02012474,0.00004678,0.03684704,0.06859305,0.06082999,0.23777882,0.04936051
5.47773887,0.55488790,0.64655976,0.01975403,0.00003964,0.03738355,0.06706015,0.06200678,0.23368112,0.05068076
5.48374187,0.54910625,0.63676576,0.01938665,0.00003414,0.03809613,0.06521569,0.06359007,0.22957185,0.05243082
5.48974487,0.54339827,0.62475893,0.01903112,0.00003026,0.03901688,0.06308535,0.06563349,0.22555470,0.05465602
5.49574787,0.53810434,0.61093974,0.01869769,0.00002803,0.04017970,0.06070221,0.06819258,0.22175452,0.05740200
5.50175088,0.53359745,0.59575629,0.01839797,0.00002758,0.04161889,0.05810552,0.07132246,0.21831280,0.06071262
5.50775388,0.53026767,0.57968696,0.01814445,0.00002912,0.04336766,0.05533935,0.07507520,0.21538212,0.06462760
5.51375688,0.52850492,0.56322182,0.01794996,0.00003300,0.04545629,0.05245102,0.07949693,0.21311995,0.06917982
5.51975988,0.52868102,0.54684362,0.01782703,0.00003971,0.04791036,0.04948957,0.08462486,0.21168197,0.07439271
5.52576288,0.53113179,0.53100928,0.01778738,0.00004993,0.05074892,0.04650412,0.09048434,0.21121546,0.08027752
5.53176588,0.53614033,0.51613285,0.01784124,0.00006454,0.05398276,0.04354247,0.09708615,0.21185311,0.08683091
5.53776888,0.54392216,0.50257055,0.01799691,0.00008468,0.05761285,0.04064972,0.10442419,0.21370751,0.09403284
5.54377189,0.55461327,0.49060871,0.01826025,0.00011182,0.06162912,0.03786727,0.11247372,0.21686681,0.10184494
5.54977489,0.56826170,0.48045516,0.01863440,0.00014778,0.06600954,0.03523192,0.12119034,0.22139175,0.11020956
5.55577789,0.58482319,0.47223429,0.01911953,0.00019482,0.07071967,0.03277543,0.13050977,0.22731435,0.11904953
5.56178089,0.60416121,0.46598607,0.01971283,0.00025567,0.07571273,0.03052422,0.14034856,0.23463825,0.12826881
