energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Se_s_up,Se_p_up
-6.00000000,5.72827666,1.11802577,4.13338458,0.00324139,0.78453892,0.04577608,0.53763808
-5.99399700,5.66240137,1.09996315,4.08619727,0.00327249,0.76533317,0.04467415,0.54024689
-5.98799400,5.59395588,1.08170411,4.03660743,0.00333513,0.74424075,0.04358274,0.54377514
-5.98199100,5.52386562,1.06355437,3.98518345,0.00342885,0.72151596,0.04251663,0.54826742
-5.97598799,5.45298935,1.04579111,3.93246421,0.00355243,0.69743393,0.04148924,0.55373479
-5.96998499,5.38210090,1.02865424,3.87895105,0.00370397,0.67228423,0.04051234,0.56015268
-5.96398199,5.31187230,1.01233918,3.82509951,0.00388087,0.64636391,0.03959584,0.56746032
-5.95797899,5.24285922,0.99699121,3.77131115,0.00408001,0.61997029,0.03874755,0.57556165
-5.95197599,5.17548968,0.98270185,3.71792601,0.00429775,0.59339384,0.03797297,0.58432770
-5.94597299,5.11005666,0.96950750,3.66521645,0.00453009,0.56691139,0.03727519,0.59360042
-5.93996998,5.04671553,0.95739024,3.61338272,0.00477279,0.54077993,0.03665476,0.60319784
-5.93396698,4.98548662,0.94628109,3.56255114,0.00502151,0.51523142,0.03610968,0.61292022
-5.92796398,4.92626335,0.93606535,3.51277489,0.00527197,0.49046856,0.03563551,0.62255706
-5.92196098,4.86882557,0.92659007,3.46403802,0.00552005,0.46666191,0.03522545,0.63189468
-5.91595798,4.81285805,0.91767307,3.41626245,0.00576201,0.44394832,0.03487060,0.64072395
-5.90995498,4.75797309,0.90911342,3.36931778,0.00599457,0.42243060,0.03456030,0.64884791
-5.90395198,4.70373644,0.90070258,3.32303362,0.00621509,0.40217862,0.03428247,0.65608892
-5.89794897,4.64969514,0.89223596,3.27721371,0.00642162,0.38323140,0.03402406,0.66229504
-5.89194597,4.59540583,0.88352421,3.23165097,0.00661302,0.36560027,0.03377155,0.66734544
-5.88594297,4.54046219,0.87440365,3.18614290,0.00678900,0.34927268,0.03351143,0.67115440
-5.87993997,4.48451973,0.86474545,3.14050603,0.00695012,0.33421655,0.03323071,0.67367402
-5.87393697,4.42731675,0.85446301,3.09458887,0.00709778,0.32038474,0.03291738,0.67489527
-5.86793397,4.36869018,0.84351717,3.04828234,0.00723416,0.30771957,0.03256087,0.67484751
-5.86193097,4.30858543,0.83191894,3.00152720,0.00736209,0.29615691,0.03215236,0.67359643
-5.85592796,4.24705972,0.81972972,2.95431791,0.00748495,0.28562989,0.03168513,0.67124060
-5.84992496,4.18427866,0.80705873,2.90670285,0.00760647,0.27607185,0.03115471,0.66790663
-5.84392196,4.12050641,0.79405811,2.85878082,0.00773058,0.26741857,0.03055901,0.66374339
-5.83791896,4.05608997,0.78091553,2.81069424,0.00786115,0.25960966,0.02989829,0.65891534
-5.83191596,3.99143867,0.76784502,2.76261942,0.00800182,0.25258914,0.02917513,0.65359541
-5.82591296,3.92699998,0.75507622,2.71475469,0.00815575,0.24630529,0.02839415,0.64795769
-5.81990995,3.86323334,0.74284273,2.66730725,0.00832548,0.24070985,0.02756189,0.64217027
-5.81390695,3.80058335,0.73137009,2.62047956,0.00851271,0.23575674,0.02668638,0.63638851
-5.80790395,3.73945408,0.72086401,2.57445624,0.00871816,0.23140044,0.02577686,0.63074909
-5.80190095,3.68018594,0.71149936,2.52939242,0.00894154,0.22759428,0.02484338,0.62536494
-5.79589795,3.62303648,0.70341057,2.48540418,0.00918141,0.22428877,0.02389642,0.62032145
-5.78989495,3.56816618,0.69668391,2.44256183,0.00943524,0.22143007,0.02294649,0.61567393
