energy_ev,total_up,P_s_up,P_p_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,2.33104413,0.01701195,0.24013446,1.50420556,1.34023559,0.00085034,0.62820253
-5.99399700,2.43890017,0.01827249,0.24374721,1.55476136,1.40804939,0.00080295,0.66058831
-5.98799400,2.55017425,0.01952394,0.24715671,1.60260983,1.47962644,0.00078102,0.69350665
-5.98199100,2.66389908,0.02074958,0.25021216,1.64683346,1.55453851,0.00078292,0.72669399
-5.97598799,2.77922858,0.02193277,0.25279333,1.68666238,1.63240292,0.00080742,0.75991366
-5.96998499,2.89543004,0.02305733,0.25481049,1.72148346,1.71287259,0.00085362,0.79295481
-5.96398199,3.01187096,0.02410795,0.25620347,1.75084447,1.79562347,0.00092098,0.82562983
-5.95797899,3.12800106,0.02507051,0.25694009,1.77445307,1.88033996,0.00100928,0.85777067
-5.95197599,3.24333053,0.02593243,0.25701378,1.79217060,1.96669906,0.00111860,0.88922397
-5.94597299,3.35740550,0.02668297,0.25644073,1.80400128,2.05435407,0.00124929,0.91984543
-5.93996998,3.46978223,0.02731349,0.25525648,1.81007699,2.14291872,0.00140189,0.94949383
-5.93396698,3.58000162,0.02781762,0.25351216,1.81063875,2.23195284,0.00157712,0.97802501
-5.92796398,3.68756554,0.02819136,0.25127056,1.80601548,2.32095054,0.00177583,1.00528621
-5.92196098,3.79191679,0.02843320,0.24860208,1.79660145,2.40933179,0.00199892,1.03111141
-5.91595798,3.89242421,0.02854401,0.24558084,1.78283323,2.49643844,0.00224733,1.05531788
-5.90995498,3.98837421,0.02852703,0.24228106,1.76516749,2.58153513,0.00252193,1.07770443
-5.90395198,4.07896986,0.02838769,0.23877376,1.74406068,2.66381574,0.00282352,1.09805154
-5.89794897,4.16333797,0.02813339,0.23512411,1.71995144,2.74241546,0.00315274,1.11612366
-5.89194597,4.24054446,0.02777330,0.23138928,1.69324656,2.81642820,0.00351003,1.13167350
-5.88594297,4.30961744,0.02731802,0.22761708,1.66431093,2.88492902,0.00389557,1.14444838
-5.87993997,4.36957706,0.02677931,0.22384521,1.63346175,2.94700056,0.00430923,1.15419833
-5.87393697,4.41947076,0.02616976,0.22010122,1.60096695,3.00176236,0.00475052,1.16068547
-5.86793397,4.45841192,0.02550244,0.21640312,1.56704741,3.04840165,0.00521853,1.16369421
-5.86193097,4.48561982,0.02479059,0.21276045,1.53188257,3.08620403,0.00571192,1.16304182
-5.85592796,4.50045843,0.02404730,0.20917580,1.49561855,3.11458237,0.00622882,1.15858848
-5.84992496,4.50247171,0.02328522,0.20564656,1.45837799,3.13310228,0.00676687,1.15024648
-5.84392196,4.49141315,0.02251628,0.20216682,1.42027062,3.14150260,0.00732313,1.13798779
-5.83791896,4.46726757,0.02175145,0.19872920,1.38140368,3.13970972,0.00789410,1.12184954
-5.83191596,4.43026372,0.02100056,0.19532653,1.34189130,3.12784477,0.00847572,1.10193713
-5.82591296,4.38087663,0.02027209,0.19195328,1.30186212,3.10622307,0.00906338,1.07842456
-5.81990995,4.31981941,0.01957307,0.18860656,1.26146460,3.07534582,0.00965193,1.05155206
-5.81390695,4.24802484,0.01890897,0.18528681,1.22086981,3.03588429,0.01023575,1.02162096
-5.80790395,4.16661749,0.01828369,0.18199798,1.18027138,2.98865735,0.01080882,0.98898614
-5.80190095,4.07687805,0.01769951,0.17874733,1.13988291,2.93460352,0.01136478,0.95404634
-5.79589795,3.98020167,0.01715718,0.17554493,1.09993309,2.87474883,0.01189706,0.91723297
-5.78989495,3.87805253,0.01665599,0.17240280,1.06065900,2.81017240,0.01239899,0.87899771
-5.78389195,3.77191715,0.01619386,0.16933391,1.02229813,2.74197135,0.01286396,0.83979986
-5.77788894,3.66325883,0.01576754,0.16635116,0.98507994,2.67122676,0.01328552,0.80009374
-5.77188594,3.55347532,0.01537278,0.16346628,0.94921743,2.59897243,0.01365761,0.76031693
-5.76588294,3.44386193,0.01500456,0.16068891,0.91489949,2.52616770,0.01397465,0.72087967
-5.75987994,3.33558142,0.01465730,0.15802593,0.88228448,2.45367541,0.01423174,0.68215604
