energy_ev,total_up,Au_p_up,Au_d_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up
-6.00000000,3.35180925,0.23376482,2.90039850,0.02635075,0.00132229,0.27960820,0.00000000
-5.99399700,3.26078661,0.23569314,2.80983893,0.02504690,0.00129224,0.27989607,0.00000000
-5.98799400,3.16296613,0.23675383,2.71394920,0.02379216,0.00125731,0.27934529,0.00000000
-5.98199100,3.05901074,0.23688236,2.61344445,0.02257291,0.00121779,0.27791751,0.00000000
-5.97598799,2.94975632,0.23604227,2.50917004,0.02137956,0.00117407,0.27559822,0.00000000
-5.96998499,2.83617867,0.23422480,2.40207016,0.02020598,0.00112664,0.27239624,0.00000000
-5.96398199,2.71935857,0.23144787,2.29315561,0.01904907,0.00107608,0.26834247,0.00000000
-5.95797899,2.60044606,0.22775429,2.18347203,0.01790826,0.00102301,0.26348812,0.00000000
-5.95197599,2.48062540,0.22320939,2.07406963,0.01678497,0.00096814,0.25790228,0.00000000
-5.94597299,2.36108170,0.21789811,1.96597534,0.01568215,0.00091216,0.25166913,0.00000000
-5.93996998,2.24297043,0.21192161,1.86016817,0.01460388,0.00085580,0.24488488,0.00000000
-5.93396698,2.12739027,0.20539371,1.75755830,0.01355495,0.00079979,0.23765440,0.00000000
-5.92796398,2.01536025,0.19843706,1.65897018,0.01254050,0.00074481,0.23008802,0.00000000
-5.92196098,1.90780124,0.19117939,1.56512991,0.01156578,0.00069152,0.22229820,0.00000000
-5.91595798,1.80552211,0.18374977,1.47665670,0.01063589,0.00064051,0.21439651,0.00000000
-5.90995498,1.70921041,0.17627518,1.39405832,0.00975562,0.00059231,0.20649089,0.00000000
-5.90395198,1.61942738,0.16887734,1.31773006,0.00892933,0.00054739,0.19868316,0.00000000
-5.89794897,1.53660682,0.16166990,1.24795680,0.00816087,0.00050610,0.19106703,0.00000000
-5.89194597,1.46105746,0.15475618,1.18491774,0.00745365,0.00046873,0.18372645,0.00000000
-5.88594297,1.39296810,0.14822730,1.12869303,0.00681059,0.00043549,0.17673447,0.00000000
-5.87993997,1.33241508,0.14216084,1.07927196,0.00623427,0.00040647,0.17015239,0.00000000
-5.87393697,1.27937146,0.13662000,1.03656211,0.00572705,0.00038170,0.16402947,0.00000000
-5.86793397,1.23371747,0.13165328,1.00039911,0.00529121,0.00036111,0.15840292,0.00000000
-5.86193097,1.19525179,0.12729456,0.97055666,0.00492916,0.00034457,0.15329827,0.00000000
-5.85592796,1.16370333,0.12356371,0.94675653,0.00464362,0.00033187,0.14873004,0.00000000
