energy_ev,total_up,Co_p_up,Co_d_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,2.88624959,0.79712191,0.41401712,1.04896635,0.56561377,0.00386299,0.62170911,0.01442995,1.28691015
-5.99399700,2.80964795,0.75660025,0.39776595,1.05085352,0.55405445,0.00350851,0.62256007,0.01501654,1.22845049
-5.98799400,2.74465301,0.71823113,0.38331500,1.05837204,0.54491382,0.00317627,0.62686756,0.01568262,1.17381823
-5.98199100,2.69181157,0.68245959,0.37075183,1.07156013,0.53820056,0.00286716,0.63449171,0.01642022,1.12362225
-5.97598799,2.65136805,0.64965172,0.36012082,1.09032921,0.53386666,0.00258169,0.64522294,0.01721976,1.07834024
-5.96998499,2.62326385,0.62008806,0.35142359,1.11446577,0.53180959,0.00232000,0.65878813,0.01807019,1.03830940
-5.96398199,2.60714563,0.59395961,0.34462038,1.14363683,0.53187591,0.00208187,0.67485856,0.01895926,1.00372178
-5.95797899,2.60238219,0.57136674,0.33963265,1.17739876,0.53386659,0.00186681,0.69305919,0.01987373,0.97462414
-5.95197599,2.60808971,0.55232090,0.33634657,1.21520926,0.53754350,0.00167405,0.71297918,0.02079968,0.95092258
-5.94597299,2.62316432,0.53674914,0.33461751,1.25644214,0.54263713,0.00150259,0.73418326,0.02172271,0.93239174
-5.93996998,2.64632103,0.52450106,0.33427526,1.30040444,0.54885513,0.00135127,0.75622347,0.02262831,0.91868816
-5.93396698,2.67613743,0.51535808,0.33513000,1.34635518,0.55589143,0.00121876,0.77865096,0.02350211,0.90936725
-5.92796398,2.71110063,0.50904445,0.33697864,1.39352511,0.56343548,0.00110365,0.80102744,0.02433015,0.90390317
-5.92196098,2.74965565,0.50523957,0.33961147,1.44113679,0.57118147,0.00100448,0.82293587,0.02509919,0.90171093
-5.91595798,2.79025345,0.50359127,0.34281884,1.48842416,0.57883694,0.00091978,0.84398999,0.02579698,0.90216949
-5.90995498,2.83139690,0.50372919,0.34639766,1.53465098,0.58613071,0.00084811,0.86384251,0.02641247,0.90464537
-5.90395198,2.87168311,0.50527819,0.35015749,1.57912758,0.59281968,0.00078807,0.88219167,0.02693605,0.90851543
-5.89794897,2.90984067,0.50787090,0.35392611,1.62122536,0.59869448,0.00073838,0.89878608,0.02735975,0.91318823
-5.89194597,2.94476096,0.51115924,0.35755417,1.66038884,0.60358365,0.00069786,0.91342777,0.02767740,0.91812315
-5.88594297,2.97552246,0.51482453,0.36091913,1.69614495,0.60735646,0.00066548,0.92597357,0.02788475,0.92284651
-5.87993997,3.00140797,0.51858585,0.36392798,1.72810965,0.60992419,0.00064032,0.93633498,0.02797955,0.92696435
-5.87393697,3.02191452,0.52220648,0.36651896,1.75599205,0.61124025,0.00062166,0.94447663,0.02796158,0.93017150
-5.86793397,3.03675622,0.52549848,0.36866217,1.77959617,0.61129886,0.00060890,0.95041376,0.02783269,0.93225675
-5.86193097,3.04586075,0.52832522,0.37035895,1.79882089,0.61013290,0.00060157,0.95420889,0.02759672,0.93310421
-5.85592796,3.04936002,0.53060207,0.37164030,1.81365836,0.60781080,0.00059936,0.95596811,0.02725941,0.93269098
-5.84992496,3.04757613,0.53229538,0.37256422,1.82419146,0.60443286,0.00060204,0.95583711,0.02682828,0.93108160
-5.84392196,3.04100350,0.53341991,0.37321227,1.83059058,0.60012721,0.00060948,0.95399733,0.02631244,0.92841944
-5.83791896,3.03028817,0.53403504,0.37368532,1.83311016,0.59504554,0.00062161,0.95066235,0.02572240,0.92491599
-5.83191596,3.01620529,0.53423995,0.37409886,1.83208510,0.58935876,0.00063839,0.94607458,0.02506982,0.92083816
-5.82591296,2.99963557,0.53416800,0.37457784,1.82792734,0.58325284,0.00065979,0.94050232,0.02436726,0.91649462
-5.81990995,2.98154135,0.53398068,0.37525141,1.82112225,0.57692470,0.00068575,0.93423706,0.02362787,0.91222155
-5.81390695,2.96294300,0.53386132,0.37624769,1.81222491,0.57057840,0.00071618,0.92759096,0.02286515,0.90836847
-5.80790395,2.94489572,0.53400862,0.37768872,1.80185585,0.56442148,0.00075089,0.92089417,0.02209261,0.90528467
-5.80190095,2.92846724,0.53463040,0.37968579,1.79069584,0.55866147,0.00078965,0.91449193,0.02132356,0.90330666
-5.79589795,2.91471625,0.53593755,0.38233538,1.77947928,0.55350251,0.00083210,0.90874098,0.02057078,0.90274711
-5.78989495,2.90467167,0.53813821,0.38571569,1.76898576,0.54914196,0.00087778,0.90400531,0.01984634,0.90388542
-5.78389195,2.89931271,0.54143240,0.38988400,1.76002934,0.54576707,0.00092615,0.90065078,0.01916138,0.90696021
-5.77788894,2.89954952,0.54600704,0.39487482,1.75344524,0.54355154,0.00097654,0.89903874,0.01852596,0.91216374
-5.77188594,2.90620458,0.55203134,0.40069893,1.75007386,0.54265195,0.00102823,0.89951846,0.01794891,0.91963835
-5.76588294,2.91999472,0.55965263,0.40734335,1.75074202,0.54320421,0.00108039,0.90241853,0.01743778,0.92947479
-5.75987994,2.94151408,0.56899259,0.41477207,1.75624178,0.54531991,0.00113219,0.90803732,0.01699877,0.94171222
-5.75387694,2.97121817,0.58014397,0.42292762,1.76730720,0.54908286,0.00118276,0.91663292,0.01663675,0.95633991
-5.74787394,3.00940953,0.59316768,0.43173333,1.78458981,0.55454576,0.00123122,0.92841285,0.01635530,0.97330018
-5.74187094,3.05622539,0.60809042,0.44109616,1.80863362,0.56172725,0.00127677,0.94352404,0.01615676,0.99249247
-5.73586793,3.11162803,0.62490293,0.45091006,1.83985067,0.57060963,0.00131866,0.96204353,0.01604231,1.01377830
-5.72986493,3.17539834,0.64355871,0.46105959,1.87849835,0.58113718,0.00135621,0.98397061,0.01601211,1.03698672
-5.72386193,3.24713329,0.66397364,0.47142382,1.92465964,0.59321546,0.00138890,1.00922066,0.01606538,1.06192024
-5.71785893,3.32624777,0.68602620,0.48188020,1.97822746,0.60671173,0.00141633,1.03762135,0.01620053,1.08836082
-5.71185593,3.41198132,0.70955872,0.49230847,2.03889427,0.62145638,0.00143827,1.06891164,0.01641529,1.11607585
-5.70585293,3.50340996,0.73437946,0.50259427,2.10614776,0.63724578,0.00145464,1.10274361,0.01670676,1.14482400
-5.69984992,3.59946326,0.76026571,0.51263257,2.17927352,0.65384624,0.00146554,1.13868764,0.01707156,1.17436070
-5.69384692,3.69894648,0.78696784,0.52233061,2.25736493,0.67099919,0.00147125,1.17624058,0.01750584,1.20444331
-5.68784392,3.80056742,0.81421430,0.53161048,2.33934053,0.68842740,0.00147219,1.21483711,0.01800535,1.23483575
-5.68184092,3.90296733,0.84171750,0.54041116,2.42396855,0.70584210,0.00146895,1.25386368,0.01856544,1.26531280
-5.67583792,4.00475506,0.86918044,0.54869004,2.50989810,0.72295066,0.00146222,1.29267485,0.01918111,1.29566378
-5.66983492,4.10454332,0.89630387,0.55642388,2.59569592,0.73946473,0.00145283,1.33061121,0.01984693,1.32569582
-5.66383192,4.20098599,0.92279386,0.56360931,2.67988763,0.75510829,0.00144167,1.36701846,0.02055706,1.35523665
-5.65782891,4.29281496,0.94836948,0.57026277,2.76100174,0.76962556,0.00142970,1.40126671,0.02130519,1.38413683
-5.65182591,4.37887534,0.97277030,0.57641997,2.83761484,0.78278820,0.00141789,1.43276930,0.02208454,1.41227162
-5.64582291,4.45815750,0.99576357,0.58213494,2.90839606,0.79440171,0.00140721,1.46100040,0.02288779,1.43954233
-5.63981991,4.52982483,1.01715058,0.58747872,2.97214890,0.80431062,0.00139861,1.48551059,0.02370709,1.46587713
-5.63381691,4.59323608,1.03677217,0.59253771,3.02784864,0.81240234,0.00139296,1.50593993,0.02453406,1.49123150
-5.62781391,4.64796125,1.05451304,0.59741173,3.07467364,0.81860953,0.00139105,1.52202774,0.02535982,1.51558805
-5.62181091,4.69379061,1.07030464,0.60221189,3.11202923,0.82291084,0.00139358,1.53361894,0.02617505,1.53895591
-5.61580790,4.73073623,1.08412666,0.60705830,3.13956296,0.82533004,0.00140111,1.54066656,0.02697006,1.56136955
-5.60980490,4.75902606,1.09600688,0.61207761,3.15717066,0.82593366,0.00141404,1.54323042,0.02773492,1.58288703
-5.60380190,4.77909073,1.10601945,0.61740046,3.16499302,0.82482710,0.00143263,1.54147201,0.02845959,1.60358768
-5.59779890,4.79154369,1.11428159,0.62315888,3.16340283,0.82214958,0.00145697,1.53564589,0.02913411,1.62356924
-5.59179590,4.79715516,1.12094891,0.62948356,3.15298369,0.81806801,0.00148698,1.52608798,0.02974878,1.64294438
-5.58579290,4.79682116,1.12620936,0.63650108,3.13450098,0.81277012,0.00152239,1.51320125,0.03029433,1.66183670
-5.57978989,4.79152858,1.13027611,0.64433102,3.10886680,0.80645705,0.00156277,1.49743951,0.03076217,1.68037611
-5.57378689,4.78231757,1.13337959,0.65308296,3.07710024,0.79933583,0.00160753,1.47928989,0.03114456,1.69869375
-5.56778389,4.77024256,1.13575881,0.66285340,3.04028513,0.79161185,0.00165592,1.45925483,0.03143481,1.71691640
-5.56178089,4.75633333,1.13765250,0.67372246,2.99952692,0.78348177,0.00170705,1.43783425,0.03162741,1.73516050
-5.55577789,4.74155724,1.13928999,0.68575056,2.95591092,0.77512698,0.00175992,1.41550864,0.03171823,1.75352580
-5.54977489,4.72678402,1.14088245,0.69897492,2.91046346,0.76670788,0.00181344,1.39272368,0.03170455,1.77208882
-5.54377189,4.71275410,1.14261451,0.71340605,2.86411768,0.75835918,0.00186644,1.36987698,0.03158517,1.79089628
-5.53776888,4.70005159,1.14463663,0.72902424,2.81768522,0.75018630,0.00191775,1.34730730,0.03136038,1.80995855
-5.53176588,4.68908258,1.14705846,0.74577628,2.77183491,0.74226295,0.00196614,1.32528668,0.03103198,1.82924357
-5.52576288,4.68005953,1.14994333,0.76357246,2.72707888,0.73462996,0.00201046,1.30401566,0.03060316,1.84867125
-5.51975988,4.67299237,1.15330415,0.78228405,2.68376652,0.72729544,0.00204960,1.28362155,0.03007843,1.86810887
-5.51375688,4.66768638,1.15710087,0.80174161,2.64208598,0.72023604,0.00208254,1.26415987,0.02946349,1.88736766
-5.50775388,4.66374730,1.16123959,0.82173412,2.60207291,0.71339947,0.00210838,1.24561869,0.02876500,1.90620099
-5.50175088,4.66059350,1.16557354,0.84200946,2.56362560,0.70670796,0.00212637,1.22792553,0.02799047,1.92430441
-5.49574787,4.65747518,1.16990584,0.86227619,2.52652550,0.70006275,0.00213593,1.21095674,0.02714804,1.94131801
-5.48974487,4.65350011,1.17399422,0.88220697,2.49046208,0.69334929,0.00213666,1.19454854,0.02624628,1.95683112
-5.48374187,4.64766543,1.17755758,0.90144366,2.45506068,0.68644307,0.00212836,1.17850962,0.02529402,1.97038980
