energy_ev,total_up,Bi_p_up,Bi_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,2.38501124,0.56046701,0.00355706,1.22950075,0.00000000,1.28956534,0.51819521
-5.99399700,2.39218852,0.56445216,0.00349027,1.23075433,0.00000000,1.29173075,0.52127955
-5.98799400,2.39043295,0.56598392,0.00342057,1.22766420,0.00000000,1.28816119,0.52258991
-5.98199100,2.37968667,0.56504817,0.00334948,1.22020150,0.00000000,1.27881444,0.52208611
-5.97598799,2.36012269,0.56170277,0.00327874,1.20843991,0.00000000,1.26379247,0.51977021
-5.96998499,2.33214893,0.55607857,0.00321031,1.19255746,0.00000000,1.24334064,0.51568858
-5.96398199,2.29640420,0.54837760,0.00314638,1.17283515,0.00000000,1.21784212,0.50993260
-5.95797899,2.25374610,0.53886843,0.00308930,1.14965221,0.00000000,1.18780777,0.50263765
-5.95197599,2.20523083,0.52787880,0.00304154,1.12347816,0.00000000,1.15386192,0.49398080
-5.94597299,2.15208585,0.51578580,0.00300566,1.09486179,0.00000000,1.11672436,0.48417686
-5.93996998,2.09567595,0.50300399,0.00298420,1.06441743,0.00000000,1.07718946,0.47347308
-5.93396698,2.03746420,0.48997190,0.00297968,1.03280892,0.00000000,1.03610298,0.46214270
-5.92796398,1.97896892,0.47713749,0.00299443,1.00073172,0.00000000,0.99433760,0.45047746
-5.92196098,1.92171841,0.46494314,0.00303060,0.96889388,0.00000000,0.95276799,0.43877935
-5.91595798,1.86720505,0.45381076,0.00309000,0.93799643,0.00000000,0.91224623,0.42735200
-5.90995498,1.81684041,0.44412770,0.00317405,0.90871388,0.00000000,0.87357873,0.41649188
-5.90395198,1.77191320,0.43623389,0.00328372,0.88167556,0.00000000,0.83750505,0.40647983
-5.89794897,1.73355158,0.43041093,0.00341942,0.85744845,0.00000000,0.80467970,0.39757303
-5.89194597,1.70269127,0.42687338,0.00358096,0.83652211,0.00000000,0.77565722,0.38999794
-5.88594297,1.68005073,0.42576273,0.00376752,0.81929629,0.00000000,0.75088113,0.38394434
-5.87993997,1.66611438,0.42714430,0.00397762,0.80607174,0.00000000,0.73067706,0.37956082
-5.87393697,1.66112456,0.43100705,0.00420910,0.79704450,0.00000000,0.71525009,0.37695181
-5.86793397,1.66508246,0.43726654,0.00445917,0.79230388,0.00000000,0.70468637,0.37617632
-5.86193097,1.67775818,0.44577074,0.00472447,0.79183428,0.00000000,0.69895893,0.37724846
-5.85592796,1.69870930,0.45630856,0.00500111,0.79552076,0.00000000,0.69793718,0.38013961
-5.84992496,1.72730734,0.46862074,0.00528478,0.80315803,0.00000000,0.70139984,0.38478223
-5.84392196,1.76277094,0.48241258,0.00557089,0.81446253,0.00000000,0.70905068,0.39107504
-5.83791896,1.80420450,0.49736812,0.00585470,0.82908719,0.00000000,0.72053644,0.39888934
-5.83191596,1.85064034,0.51316506,0.00613144,0.84663794,0.00000000,0.73546608,0.40807621
-5.82591296,1.90108292,0.52948984,0.00639653,0.86669162,0.00000000,0.75343083,0.41847419
-5.81990995,1.95455296,0.54605226,0.00664570,0.88881420,0.00000000,0.77402400,0.42991703
-5.81390695,2.01012962,0.56259896,0.00687515,0.91257863,0.00000000,0.79685989,0.44224125
-5.80790395,2.06698896,0.57892521,0.00708170,0.93758160,0.00000000,0.82159100,0.45529311
-5.80190095,2.12443695,0.59488450,0.00726291,0.96345842,0.00000000,0.84792294,0.46893458
-5.79589795,2.18193569,0.61039555,0.00741718,0.98989536,0.00000000,0.87562629,0.48304819
-5.78989495,2.23912164,0.62544635,0.00754382,1.01663906,0.00000000,0.90454512,0.49754046
-5.78389195,2.29581536,0.64009516,0.00764308,1.04350256,0.00000000,0.93460171,0.51234385
-5.77788894,2.35202223,0.65446840,0.00771616,1.07036782,0.00000000,0.96579746,0.52741706
-5.77188594,2.40792446,0.66875553,0.00776514,1.09718468,0.00000000,0.99820973,0.54274388
-5.76588294,2.46386476,0.68320119,0.00779297,1.12396647,0.00000000,1.03198511,0.55833062
-5.75987994,2.52032268,0.69809492,0.00780330,1.15078250,0.00000000,1.06732915,0.57420221
-5.75387694,2.57788478,0.71375896,0.00780042,1.17774802,0.00000000,1.10449320,0.59039738
-5.74787394,2.63721013,0.73053461,0.00778904,1.20501210,0.00000000,1.14375883,0.60696311
-5.74187094,2.69899277,0.74876781,0.00777419,1.23274413,0.00000000,1.18542064,0.62394859
-5.73586793,2.76392288,0.76879437,0.00776101,1.26111974,0.00000000,1.22976814,0.64139922
-5.72986493,2.83264842,0.79092559,0.00775459,1.29030672,0.00000000,1.27706744,0.65935066
-5.72386193,2.90573890,0.81543474,0.00775981,1.32045176,0.00000000,1.32754377,0.67782360
-5.71785893,2.98365282,0.84254485,0.00778120,1.35166862,0.00000000,1.38136520,0.69681914
-5.71185593,3.06671006,0.87241826,0.00782276,1.38402825,0.00000000,1.43862871,0.71631532
-5.70585293,3.15507038,0.90514823,0.00788792,1.41755148,0.00000000,1.49934875,0.73626478
-5.69984992,3.24871868,0.94075283,0.00797940,1.45220436,0.00000000,1.56344912,0.75659370
-5.69384692,3.34745751,0.97917128,0.00809919,1.48789651,0.00000000,1.63075834,0.77720215
