energy_ev,total_up,Bi_p_up,Bi_d_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up
-5.61580790,1.52295274,0.23671981,0.01338752,0.53897060,0.91825960,0.36094511,0.00000000
-5.60980490,1.46411917,0.22571247,0.01294836,0.51516723,0.88445330,0.34674505,0.00000000
-5.60380190,1.40349929,0.21394599,0.01250516,0.48981718,0.85028532,0.33227780,0.00000000
-5.59779890,1.34228526,0.20157865,0.01206645,0.46339792,0.81643218,0.31786615,0.00000000
-5.59179590,1.28166429,0.18877470,0.01164092,0.43638916,0.78356391,0.30382356,0.00000000
-5.58579290,1.22278510,0.17570022,0.01123719,0.40925933,0.75232545,0.29044526,0.00000000
-5.57978989,1.16672601,0.16251892,0.01086351,0.38245301,0.72331881,0.27800008,0.00000000
-5.57378689,1.11446581,0.14938827,0.01052756,0.35637978,0.69708642,0.26672345,0.00000000
-5.56778389,1.06685874,0.13645592,0.01023621,0.33140489,0.67409679,0.25681171,0.00000000
-5.56178089,1.02461450,0.12385662,0.00999530,0.30784207,0.65473283,0.24841808,0.00000000
-5.55577789,0.98828407,0.11170973,0.00980953,0.28594851,0.63928347,0.24165030,0.00000000
-5.54977489,0.95825186,0.10011740,0.00968233,0.26592230,0.62793897,0.23657013,0.00000000
-5.54377189,0.93473435,0.08916348,0.00961579,0.24790199,0.62079004,0.23319454,0.00000000
-5.53776888,0.91778511,0.07891300,0.00961072,0.23196838,0.61783090,0.23149866,0.00000000
-5.53176588,0.90730580,0.06941243,0.00966664,0.21814811,0.61896595,0.23142022,0.00000000
-5.52576288,0.90306244,0.06069047,0.00978195,0.20641893,0.62401978,0.23286524,0.00000000
-5.51975988,0.90470609,0.05275939,0.00995405,0.19671607,0.63275000,0.23571479,0.00000000
-5.51375688,0.91179681,0.04561668,0.01017954,0.18893957,0.64486223,0.23983236,0.00000000
-5.50775388,0.92382971,0.03924712,0.01045441,0.18296205,0.66002645,0.24507165,0.00000000
-5.50175088,0.94026181,0.03362498,0.01077431,0.17863655,0.67789390,0.25128428,0.00000000
-5.49574787,0.96053836,0.02871623,0.01113472,0.17580420,0.69811386,0.25832714,0.00000000
-5.48974487,0.98411757,0.02448085,0.01153120,0.17430126,0.72034914,0.26606904,0.00000000
-5.48374187,1.01049242,0.02087495,0.01195955,0.17396546,0.74428992,0.27439642,0.00000000
-5.47773887,1.03920880,0.01785267,0.01241596,0.17464134,0.76966504,0.28321773,0.00000000
-5.47173587,1.06987916,0.01536798,0.01289716,0.17618438,0.79625025,0.29246642,0.00000000
-5.46573287,1.10219118,0.01337602,0.01340044,0.17846415,0.82387323,0.30210238,0.00000000
-5.45972986,1.13591128,0.01183426,0.01392367,0.18136605,0.85241493,0.31211178,0.00000000
-5.45372686,1.17088289,0.01070332,0.01446529,0.18479213,0.88180746,0.32250526,0.00000000
