energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up,V_p_up,V_d_up
-6.00000000,1.78677389,0.02114785,0.09082484,0.05918164,1.02375772,0.35527977,0.07749302,0.31553181,0.27728176
-5.99399700,1.83249879,0.02270034,0.09221009,0.05984227,1.05218637,0.36710178,0.07994724,0.32828272,0.28389157
-5.98799400,1.89155871,0.02462571,0.09405194,0.06083750,1.08869848,0.38179143,0.08303557,0.34363952,0.29259282
-5.98199100,1.96505457,0.02692121,0.09643215,0.06219805,1.13389115,0.39964930,0.08680886,0.36178765,0.30353418
-5.97598799,2.05383532,0.02957738,0.09942787,0.06394605,1.18820310,0.42092924,0.09131096,0.38286443,0.31681777
-5.96998499,2.15845428,0.03257770,0.10310923,0.06609365,1.25188994,0.44582857,0.09657703,0.40695084,0.33249272
-5.96398199,2.27913305,0.03589837,0.10753693,0.06864181,1.32500421,0.47447997,0.10263200,0.43406511,0.35055008
-5.95797899,2.41573524,0.03950814,0.11276023,0.07157943,1.40738144,0.50694557,0.10948932,0.46415839,0.37091954
-5.95197599,2.56775186,0.04336844,0.11881519,0.07488279,1.49863358,0.54321367,0.11714993,0.49711302,0.39346811
-5.94597299,2.73430016,0.04743358,0.12572330,0.07851549,1.59815041,0.58319836,0.12560173,0.53274364,0.41800114
-5.93996998,2.91413679,0.05165130,0.13349070,0.08242872,1.70510972,0.62674223,0.13481949,0.57080135,0.44426553
-5.93396698,3.10568564,0.05596347,0.14210787,0.08656205,1.81849624,0.67362220,0.14476527,0.61098092,0.47195552
-5.92796398,3.30708001,0.06030709,0.15154993,0.09084465,1.93712913,0.72355829,0.15538938,0.65293093,0.50072051
-5.92196098,3.51621779,0.06461550,0.16177745,0.09519694,2.05969711,0.77622499,0.16663185,0.69626643,0.53017505
-5.91595798,3.73082780,0.06881986,0.17273783,0.09953256,2.18480009,0.83126471,0.17842438,0.74058376,0.55991043
-5.90995498,3.94854446,0.07285071,0.18436708,0.10376071,2.31099549,0.88830266,0.19069258,0.78547664,0.58950749
-5.90395198,4.16698747,0.07663976,0.19659198,0.10778869,2.43684724,0.94696229,0.20335859,0.83055300,0.61855008
-5.89794897,4.38384255,0.08012165,0.20933246,0.11152459,2.56097513,1.00688037,0.21634368,0.87545134,0.64663860
-5.89194597,4.59693932,0.08323579,0.22250405,0.11487996,2.68210187,1.06772083,0.22957089,0.91985588,0.67340293
-5.88594297,4.80432185,0.08592804,0.23602027,0.11777251,2.79909547,1.12918619,0.24296738,0.96350946,0.69851414
-5.87993997,5.00430812,0.08815228,0.24979485,0.12012851,2.91100441,1.19102606,0.25646642,1.00622323,0.72169443
-5.87393697,5.19553463,0.08987171,0.26374353,0.12188504,3.01708355,1.25304153,0.27000882,1.04788244,0.74272462
-5.86793397,5.37698349,0.09105992,0.27778541,0.12299181,3.11680912,1.31508528,0.28354367,1.08844775,0.76144906
-5.86193097,5.54798992,0.09170153,0.29184370,0.12341259,3.20988157,1.37705694,0.29702829,1.12795162,0.77777733
-5.85592796,5.70822932,0.09179252,0.30584590,0.12312612,3.29621590,1.43889379,0.31042744,1.16648984,0.79168299
-5.84992496,5.85768438,0.09134016,0.31972327,0.12212657,3.37591979,1.50055708,0.32371159,1.20420828,0.80319917
-5.84392196,5.99659367,0.09036252,0.33340969,0.12042347,3.44926045,1.56201470,0.33685459,1.24128558,0.81241138
-5.83791896,6.12538463,0.08888766,0.34684004,0.11804109,3.51662202,1.62322118,0.34983065,1.27791243,0.81944790
-5.83191596,6.24459471,0.08695244,0.35994816,0.11501743,3.57845591,1.68409614,0.36261089,1.31426870,0.82446833
-5.82591296,6.35478557,0.08460114,0.37266461,0.11140275,3.63522692,1.74450279,0.37515969,1.35049962,0.82765094
-5.81990995,6.45645547,0.08188382,0.38491434,0.10725776,3.68735853,1.80422785,0.38743114,1.38669250,0.82917953
-5.81390695,6.54995575,0.07885459,0.39661465,0.10265162,3.73518066,1.86296454,0.39936577,1.42285540,0.82923066
-5.80790395,6.63541670,0.07556985,0.40767354,0.09765963,3.77888332,1.92030012,0.41088788,1.45889932,0.82796190
-5.80190095,6.71268815,0.07208651,0.41798865,0.09236101,3.81847925,1.97570912,0.42190379,1.49462509,0.82550189
