energy_ev,total_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,2.10600348,0.15588596,0.00375118,0.02137250,1.38287292,0.61666264,0.96681628
-5.99399700,2.14701902,0.15591596,0.00391392,0.02221807,1.41707936,0.61384108,0.99711563
-5.98799400,2.19360771,0.15602438,0.00408690,0.02305595,1.45500362,0.61388060,1.02932705
-5.98199100,2.24518251,0.15634062,0.00426784,0.02387319,1.49607440,0.61688531,1.06297046
-5.97598799,2.30116503,0.15701593,0.00445452,0.02465745,1.53970949,0.62297166,1.09755746
-5.96998499,2.36101366,0.15822278,0.00464476,0.02539739,1.58533624,0.63227404,1.13260560
-5.96398199,2.42424912,0.16015358,0.00483653,0.02608306,1.63241074,0.64494917,1.16765190
-5.95797899,2.49047609,0.16301855,0.00502804,0.02670622,1.68043472,0.66117859,1.20226503
-5.95197599,2.55939989,0.16704291,0.00521775,0.02726063,1.72896961,0.68116906,1.23605586
-5.94597299,2.63083721,0.17246324,0.00540443,0.02774220,1.77764712,0.70515042,1.26868581
-5.93996998,2.70472040,0.17952300,0.00558722,0.02814916,1.82617595,0.73337080,1.29987305
-5.93396698,2.78109480,0.18846733,0.00576561,0.02848196,1.87434439,0.76608899,1.32939607
-5.92796398,2.86010931,0.19953713,0.00593947,0.02874331,1.92201882,0.80356419,1.35709496
-5.92196098,2.94200027,0.21296238,0.00610903,0.02893790,1.96913835,0.84604321,1.38287017
-5.91595798,3.02706949,0.22895510,0.00627486,0.02907222,2.01570578,0.89374549,1.40667917
-5.90995498,3.11565715,0.24770181,0.00643780,0.02915417,2.06177560,0.94684658,1.42853121
-5.90395198,3.20811094,0.26935588,0.00659896,0.02919274,2.10743958,1.00546063,1.44848044
-5.89794897,3.30475265,0.29402996,0.00675960,0.02919756,2.15281074,1.06962270,1.46661795
-5.89194597,3.40584397,0.32178867,0.00692109,0.02917847,2.19800654,1.13927175,1.48306301
-5.88594297,3.51155297,0.35264201,0.00708482,0.02914513,2.24313212,1.21423526,1.49795397
-5.87993997,3.62192302,0.38653965,0.00725212,0.02910657,2.28826451,1.29421635,1.51143926
-5.87393697,3.73684575,0.42336643,0.00742419,0.02907084,2.33343843,1.37878442,1.52366880
-5.86793397,3.85603943,0.46293951,0.00760201,0.02904474,2.37863461,1.46736987,1.53478621
-5.86193097,3.97903409,0.50500713,0.00778628,0.02903354,2.42377097,1.55926381,1.54492202
-5.85592796,4.10516431,0.54924951,0.00797739,0.02904088,2.46869732,1.65362302,1.55418821
-5.84992496,4.23357031,0.59528176,0.00817533,0.02906864,2.51319358,1.74948050,1.56267404
-5.84392196,4.36320759,0.64265906,0.00837971,0.02911702,2.55697194,1.84576148,1.57044344
-5.83791896,4.49286500,0.69088387,0.00858971,0.02918458,2.59968249,1.94130473,1.57753384
-5.83191596,4.62119073,0.73941523,0.00880416,0.02926846,2.64092244,2.03488836,1.58395647
-5.82591296,4.74672527,0.78767981,0.00902147,0.02936458,2.68024819,2.12525952,1.58969797
-5.81990995,4.86794011,0.83508440,0.00923978,0.02946791,2.71719000,2.21116680,1.59472322
-5.81390695,4.98328082,0.88102946,0.00945691,0.02957284,2.75126829,2.29139405,1.59897923
-5.80790395,5.09121256,0.92492339,0.00967054,0.02967343,2.78201115,2.36479450,1.60239979
-5.80190095,5.19026646,0.96619678,0.00987822,0.02976380,2.80897212,2.43032352,1.60491080
-5.79589795,5.27908493,1.00431645,0.01007746,0.02983838,2.83174751,2.48706894,1.60643590
-5.78989495,5.35646406,1.03879857,0.01026588,0.02989220,2.84999262,2.53427749,1.60690235
