energy_ev,total_up,Ga_p_up,Ga_d_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up
-6.00000000,1.19840527,0.02511759,0.00000000,0.68773058,0.52815265,0.00258919,0.78437523
-5.99399700,1.16143443,0.02515803,0.00000000,0.67193690,0.49954113,0.00289558,0.74693995
-5.98799400,1.12722274,0.02526103,0.00000000,0.65813740,0.47153445,0.00323652,0.71089252
-5.98199100,1.09682502,0.02544086,0.00000000,0.64694305,0.44465772,0.00361283,0.67702876
-5.97598799,1.07115388,0.02570848,0.00000000,0.63887861,0.41937946,0.00402465,0.64605796
-5.96998499,1.05095809,0.02607112,0.00000000,0.63436887,0.39610261,0.00447149,0.61858856
-5.96398199,1.03680825,0.02653195,0.00000000,0.63372900,0.37515875,0.00495209,0.59511828
-5.95797899,1.02908978,0.02708995,0.00000000,0.63715915,0.35680538,0.00546443,0.57602883
-5.95197599,1.02800329,0.02773992,0.00000000,0.64474342,0.34122623,0.00600578,0.56158511
-5.94597299,1.03357170,0.02847276,0.00000000,0.65645297,0.32853427,0.00657264,0.55193845
-5.93996998,1.04565360,0.02927575,0.00000000,0.67215295,0.31877712,0.00716090,0.54713350
-5.93396698,1.06396164,0.03013310,0.00000000,0.69161266,0.31194431,0.00776583,0.54711812
-5.92796398,1.08808508,0.03102655,0.00000000,0.71451848,0.30797602,0.00838225,0.55175560
-5.92196098,1.11751499,0.03193607,0.00000000,0.74048879,0.30677274,0.00900462,0.56083847
-5.91595798,1.15167098,0.03284058,0.00000000,0.76909004,0.30820526,0.00962714,0.57410319
-5.90995498,1.18992806,0.03371877,0.00000000,0.79985331,0.31212472,0.01024396,0.59124504
-5.90395198,1.23164244,0.03454976,0.00000000,0.83229066,0.31837197,0.01084923,0.61193245
-5.89794897,1.27617509,0.03531388,0.00000000,0.86591036,0.32678612,0.01143725,0.63582032
-5.89194597,1.32291217,0.03599318,0.00000000,0.90023068,0.33721178,0.01200260,0.66256176
-5.88594297,1.37128160,0.03657205,0.00000000,0.93479159,0.34950488,0.01254019,0.69181786
-5.87993997,1.42076514,0.03703754,0.00000000,0.96916404,0.36353671,0.01304535,0.72326533
-5.87393697,1.47090587,0.03737963,0.00000000,1.00295674,0.37919631,0.01351384,0.75660173
-5.86793397,1.52131090,0.03759142,0.00000000,1.03582028,0.39639101,0.01394192,0.79154829
-5.86193097,1.57164966,0.03766907,0.00000000,1.06744875,0.41504523,0.01432628,0.82785046
-5.85592796,1.62164805,0.03761175,0.00000000,1.09757904,0.43509780,0.01466410,0.86527632
-5.84992496,1.67107928,0.03742140,0.00000000,1.12598832,0.45649769,0.01495293,0.90361303
-5.84392196,1.71975202,0.03710242,0.00000000,1.15248988,0.47919877,0.01519072,0.94266185
-5.83791896,1.76749686,0.03666137,0.00000000,1.17692811,0.50315353,0.01537577,0.98223195
-5.83191596,1.81415202,0.03610652,0.00000000,1.19917286,0.52830641,0.01550667,1.02213357
-5.82591296,1.85954928,0.03544748,0.00000000,1.21911387,0.55458680,0.01558232,1.06217094
-5.81990995,1.90350116,0.03469480,0.00000000,1.23665572,0.58190239,0.01560188,1.10213549
-5.81390695,1.94579004,0.03385961,0.00000000,1.25171356,0.61013297,0.01556483,1.14179980
-5.80790395,1.98616025,0.03295329,0.00000000,1.26421017,0.63912525,0.01547098,1.18091271
-5.80190095,2.02431345,0.03198723,0.00000000,1.27407436,0.66868891,0.01532049,1.21919603
-5.79589795,2.05990790,0.03097262,0.00000000,1.28124104,0.69859430,0.01511399,1.25634322
-5.78989495,2.09256179,0.02992038,0.00000000,1.28565282,0.72857193,0.01485259,1.29202014
-5.78389195,2.12186058,0.02884106,0.00000000,1.28726324,0.75831409,0.01453798,1.32586829
-5.77788894,2.14736829,0.02774492,0.00000000,1.28604131,0.78747851,0.01417250,1.35751037
-5.77188594,2.16864224,0.02664198,0.00000000,1.28197730,0.81569430,0.01375918,1.38655836
-5.76588294,2.18525079,0.02554214,0.00000000,1.27508935,0.84256991,0.01330181,1.41262373
-5.75987994,2.19679320,0.02445538,0.00000000,1.26543075,0.86770308,0.01280493,1.43532974
-5.75387694,2.20292106,0.02339188,0.00000000,1.25309732,0.89069241,0.01227385,1.45432536
-5.74787394,2.20336001,0.02236223,0.00000000,1.23823471,0.91115024,0.01171463,1.46930027
-5.74187094,2.19793111,0.02137759,0.00000000,1.22104516,0.92871637,0.01113399,1.48000059
-5.73586793,2.18657065,0.02044975,0.00000000,1.20179328,0.94307205,0.01053929,1.48624438
-5.72986493,2.16934744,0.01959125,0.00000000,1.18081059,0.95395377,0.00993835,1.48793647
-5.72386193,2.14647673,0.01881540,0.00000000,1.15849840,0.96116606,0.00933942,1.48508183
-5.71785893,2.11832985,0.01813615,0.00000000,1.13532862,0.96459292,0.00875096,1.47779652
-5.71185593,2.08543882,0.01756801,0.00000000,1.11184232,0.96420704,0.00818155,1.46631585
-5.70585293,2.04849544,0.01712582,0.00000000,1.08864568,0.96007647,0.00763972,1.45099878
-5.69984992,2.00834433,0.01682441,0.00000000,1.06640308,0.95236815,0.00713379,1.43232820
-5.69384692,1.96596976,0.01667830,0.00000000,1.04582727,0.94134799,0.00667176,1.41090659
-5.68784392,1.92247641,0.01670117,0.00000000,1.02766645,0.92737736,0.00626112,1.38744670
-5.68184092,1.87906403,0.01690544,0.00000000,1.01268837,0.91090571,0.00590872,1.36275742
-5.67583792,1.83699683,0.01730166,0.00000000,1.00166157,0.89245965,0.00562069,1.33772467
-5.66983492,1.79756802,0.01789803,0.00000000,0.99533403,0.87262854,0.00540227,1.31328785
-5.66383192,1.76206073,0.01869976,0.00000000,0.99440983,0.85204714,0.00525772,1.29041247
-5.65782891,1.73170636,0.01970858,0.00000000,0.99952424,0.83137572,0.00519023,1.27005954
-5.65182591,1.70764180,0.02092227,0.00000000,1.01121810,0.81127855,0.00520184,1.25315296
