energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.81811909,-3.09030213,0.02551876,-0.08134382,0.14975965,-0.70589911,0.39657883,-1.10792119,0.35344830,-0.59349659,0.87636049,-0.89098571,0.00000000,-0.00000000
-5.99399700,1.83527302,-3.16400784,0.02720033,-0.08127706,0.15679256,-0.71648433,0.40565419,-1.14175744,0.36502224,-0.60088890,0.87475425,-0.92639763,0.00000000,-0.00000000
-5.98799400,1.84981204,-3.24207626,0.02889960,-0.08147527,0.16480224,-0.72655532,0.41581831,-1.17486653,0.37690423,-0.60892785,0.86966891,-0.96547615,0.00000000,-0.00000000
-5.98199100,1.86189937,-3.32397754,0.03060280,-0.08194552,0.17376267,-0.73600953,0.42712722,-1.20686003,0.38901253,-0.61759753,0.86127946,-1.00800943,0.00000000,-0.00000000
-5.97598799,1.87174639,-3.40896230,0.03229467,-0.08268472,0.18362731,-0.74472932,0.43962594,-1.23732630,0.40125465,-0.62684005,0.84982988,-1.05366785,0.00000000,-0.00000000
-5.96998499,1.87959117,-3.49606249,0.03395844,-0.08367952,0.19432671,-0.75258395,0.45334111,-1.26583870,0.41352481,-0.63655458,0.83562323,-1.10200133,0.00000000,-0.00000000
-5.96398199,1.88567663,-3.58410050,0.03557586,-0.08490654,0.20576699,-0.75943226,0.46827412,-1.29196500,0.42570222,-0.64659769,0.81900989,-1.15244095,0.00000000,-0.00000000
-5.95797899,1.89022989,-3.67170703,0.03712737,-0.08633283,0.21782941,-0.76512607,0.48439537,-1.31527775,0.43765029,-0.65678539,0.80037455,-1.20430529,0.00000000,-0.00000000
-5.95197599,1.89344428,-3.75734753,0.03859234,-0.08791666,0.23037108,-0.76951406,0.50163996,-1.33536523,0.44921715,-0.66689680,0.78012270,-1.25681146,0.00000000,-0.00000000
-5.94597299,1.89546510,-3.83935664,0.03994947,-0.08960861,0.24322698,-0.77244611,0.51990537,-1.35184281,0.46023741,-0.67667935,0.75866733,-1.30909081,0.00000000,-0.00000000
-5.93996998,1.89638040,-3.91598016,0.04117725,-0.09135290,0.25621316,-0.77377804,0.53905133,-1.36436434,0.47053537,-0.68585543,0.73641641,-1.36020897,0.00000000,-0.00000000
