energy_ev,total_up,Ge_p_up,Ge_d_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,2.87128708,0.53353156,0.00000000,1.64908359,1.29734813,0.04679870,0.91070984
-5.99399700,2.89600394,0.55710041,0.00000000,1.68457978,1.30962382,0.04698923,0.89817794
-5.98799400,2.91659306,0.57973603,0.00000000,1.72099578,1.31968736,0.04690980,0.88468920
-5.98199100,2.93249324,0.60109428,0.00000000,1.75766223,1.32726310,0.04656558,0.87033023
-5.97598799,2.94317779,0.62083794,0.00000000,1.79381138,1.33210783,0.04596697,0.85519336
-5.96998499,2.94816775,0.63864463,0.00000000,1.82859740,1.33401705,0.04512919,0.83937446
-5.96398199,2.94704419,0.65421461,0.00000000,1.86112082,1.33283002,0.04407185,0.82297058
-5.95797899,2.93945936,0.66727822,0.00000000,1.89045601,1.32843338,0.04281831,0.80607767
-5.95197599,2.92514647,0.67760255,0.00000000,1.91568102,1.32076352,0.04139501,0.78878848
-5.94597299,2.90392793,0.68499733,0.00000000,1.93590833,1.30980747,0.03983074,0.77119094
-5.93996998,2.87572189,0.68931970,0.00000000,1.95031559,1.29560263,0.03815583,0.75336691
-5.93396698,2.84054684,0.69047768,0.00000000,1.95817480,1.27823525,0.03640139,0.73539163
-5.92796398,2.79852412,0.68843240,0.00000000,1.95887900,1.25783788,0.03459853,0.71733364
-5.92196098,2.74987820,0.68319882,0.00000000,1.95196505,1.23458588,0.03277761,0.69925518
-5.91595798,2.69493458,0.67484519,0.00000000,1.93713173,1.20869318,0.03096757,0.68121296
-5.90995498,2.63411529,0.66349115,0.00000000,1.91425230,1.18040738,0.02919530,0.66325919
-5.90395198,2.56793201,0.64930459,0.00000000,1.88338097,1.15000448,0.02748514,0.64544253
-5.89794897,2.49697685,0.63249761,0.00000000,1.84475307,1.11778322,0.02585843,0.62780909
-5.89194597,2.42191117,0.61332151,0.00000000,1.79877907,1.08405941,0.02433318,0.61040298
-5.88594297,2.34345270,0.59206125,0.00000000,1.74603269,1.04916035,0.02292384,0.59326666
-5.87993997,2.26236148,0.56902948,0.00000000,1.68723383,1.01341949,0.02164118,0.57644088
-5.87393697,2.17942510,0.54456040,0.00000000,1.62322724,0.97717152,0.02049226,0.55996419
