energy_ev,total_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,1.00997108,0.00083029,0.13691241,0.31160436,0.39377622,0.01147781,0.32484401
-5.99399700,1.11430156,0.00093258,0.14897589,0.35392223,0.43294238,0.01124646,0.36370223
-5.98799400,1.23044107,0.00104327,0.16277177,0.40059287,0.47638175,0.01114997,0.40622534
-5.98199100,1.35810466,0.00116196,0.17829267,0.45160385,0.52395001,0.01118910,0.45227901
-5.97598799,1.49677303,0.00128810,0.19550121,0.50686553,0.57541582,0.01136236,0.50165020
-5.96998499,1.64568896,0.00142101,0.21432939,0.56620519,0.63046146,0.01166619,0.55404593
-5.96398199,1.80386017,0.00155986,0.23467841,0.62936308,0.68868600,0.01209516,0.60909418
-5.95797899,1.97006887,0.00170367,0.25641944,0.69599078,0.74961102,0.01264230,0.66634751
-5.95197599,2.14288823,0.00185137,0.27939492,0.76565209,0.81268886,0.01329932,0.72528907
-5.94597299,2.32070560,0.00200177,0.30342078,0.83782673,0.87731324,0.01405689,0.78534127
-5.93996998,2.50175220,0.00215360,0.32828930,0.91191684,0.94283197,0.01490496,0.84587678
-5.93396698,2.68413848,0.00230552,0.35377267,0.98725651,1.00856146,0.01583297,0.90623166
-5.92796398,2.86589432,0.00245618,0.37962728,1.06312386,1.07380250,0.01683015,0.96572016
-5.92196098,3.04501281,0.00260422,0.40559837,1.13875575,1.13785672,0.01788575,1.02365079
-5.91595798,3.21949604,0.00274830,0.43142522,1.21336439,1.20004332,0.01898919,1.07934302
-5.90995498,3.38740147,0.00288714,0.45684646,1.28615556,1.25971518,0.02013029,1.13214401
-5.90395198,3.54688706,0.00301953,0.48160554,1.35634767,1.31627391,0.02129940,1.18144472
-5.89794897,3.69625339,0.00314440,0.50545596,1.42319099,1.36918311,0.02248746,1.22669473
-5.89194597,3.83398136,0.00326077,0.52816634,1.48598628,1.41797936,0.02368609,1.26741523
-5.88594297,3.95876376,0.00336782,0.54952481,1.54410211,1.46228060,0.02488761,1.30320957
-5.87993997,4.06952975,0.00346490,0.56934295,1.59699007,1.50179140,0.02608500,1.33377107
-5.87393697,4.16546125,0.00355150,0.58745877,1.64419731,1.53630515,0.02727187,1.35888774
-5.86793397,4.24600088,0.00362732,0.60373891,1.68537588,1.56570312,0.02844234,1.37844376
-5.86193097,4.31085139,0.00369218,0.61807994,1.72028838,1.58995059,0.02959097,1.39241791
-5.85592796,4.35996688,0.00374609,0.63040862,1.74880991,1.60909033,0.03071262,1.40087893
-5.84992496,4.39353679,0.00378921,0.64068138,1.77092614,1.62323397,0.03180229,1.40397824
-5.84392196,4.41196343,0.00382184,0.64888296,1.78672769,1.63255170,0.03285499,1.40194054
-5.83791896,4.41583483,0.00384438,0.65502437,1.79640121,1.63726112,0.03386565,1.39505268
-5.83191596,4.40589417,0.00385738,0.65914033,1.80021768,1.63761565,0.03482899,1.38365145
-5.82591296,4.38300763,0.00386144,0.66128640,1.79851843,1.63389339,0.03573943,1.36811103
-5.81990995,4.34813215,0.00385728,0.66153591,1.79169972,1.62638673,0.03659109,1.34883045
-5.81390695,4.30228469,0.00384564,0.65997689,1.78019661,1.61539347,0.03737777,1.32622181
-5.80790395,4.24651428,0.00382736,0.65670926,1.76446685,1.60120952,0.03809302,1.30069965
-5.80190095,4.18187785,0.00380329,0.65184214,1.74497555,1.58412369,0.03873023,1.27267178
-5.79589795,4.10942051,0.00377436,0.64549177,1.72218129,1.56441435,0.03928278,1.24253189
-5.78989495,4.03016070,0.00374153,0.63777964,1.69652418,1.54234811,0.03974424,1.21065399
-5.78389195,3.94508015,0.00370581,0.62883131,1.66841630,1.51818014,0.04010858,1.17738871
-5.77788894,3.85511836,0.00366829,0.61877545,1.63823471,1.49215594,0.04037042,1.14306132
-5.77188594,3.76117105,0.00363012,0.60774340,1.60631724,1.46451410,0.04052531,1.10797127
-5.76588294,3.66409176,0.00359254,0.59586893,1.57296088,1.43548957,0.04056998,1.07239305
-5.75987994,3.56469570,0.00355685,0.58328819,1.53842260,1.40531709,0.04050259,1.03657788
-5.75387694,3.46376489,0.00352450,0.57013970,1.50292232,1.37423434,0.04032298,1.00075616
-5.74787394,3.36205372,0.00349700,0.55656429,1.46664761,1.34248432,0.04003284,0.96514008
-5.74187094,3.26029385,0.00347598,0.54270480,1.42975953,1.31031688,0.03963586,0.92992629
-5.73586793,3.15919806,0.00346316,0.52870565,1.39239928,1.27798909,0.03913779,0.89529838
-5.72986493,3.05946218,0.00346033,0.51471192,1.35469502,1.24576436,0.03854645,0.86142879
-5.72386193,2.96176501,0.00346930,0.50086815,1.31676836,1.21391043,0.03787170,0.82848033
-5.71785893,2.86676596,0.00349189,0.48731679,1.27874019,1.18269624,0.03712523,0.79660690
-5.71185593,2.77510057,0.00352988,0.47419627,1.24073550,1.15238794,0.03632035,0.76595370
-5.70585293,2.68737404,0.00358491,0.46163882,1.20288679,1.12324437,0.03547171,0.73665684
-5.69984992,2.60415343,0.00365846,0.44976810,1.16533613,1.09551213,0.03459490,0.70884241
-5.69384692,2.52595869,0.00375175,0.43869673,1.12823566,1.06942076,0.03370603,0.68262523
-5.68784392,2.45325350,0.00386564,0.42852393,1.09174675,1.04517817,0.03282126,0.65810738
-5.68184092,2.38643633,0.00400063,0.41933328,1.05603779,1.02296678,0.03195629,0.63537664
-5.67583792,2.32583239,0.00415669,0.41119081,1.02128114,1.00294044,0.03112588,0.61450501
-5.66983492,2.27168714,0.00433330,0.40414352,0.98764919,0.98522243,0.03034333,0.59554751
-5.66383192,2.22416182,0.00452933,0.39821849,0.95531030,0.96990468,0.02962005,0.57854119
-5.65782891,2.18333149,0.00474305,0.39342260,0.92442461,0.95704811,0.02896515,0.56350479
-5.65182591,2.14918574,0.00497213,0.38974292,0.89514033,0.94668427,0.02838512,0.55043869
-5.64582291,2.12163240,0.00521367,0.38714787,0.86759077,0.93881808,0.02788361,0.53932559
-5.63981991,2.10050412,0.00546422,0.38558911,0.84189233,0.93343156,0.02746129,0.53013169
-5.63381691,2.08556778,0.00571987,0.38500403,0.81814380,0.93048832,0.02711585,0.52280844
-5.62781391,2.07653628,0.00597639,0.38531895,0.79642687,0.92993863,0.02684212,0.51729474
-5.62181091,2.07308243,0.00622930,0.38645266,0.77680810,0.93172478,0.02663226,0.51351967
-5.61580790,2.07485427,0.00647404,0.38832037,0.75934215,0.93578640,0.02647615,0.51140544
-5.60980490,2.08149114,0.00670613,0.39083779,0.74407609,0.94206550,0.02636177,0.51087061
-5.60380190,2.09263988,0.00692133,0.39392514,0.73105461,0.95051096,0.02627575,0.51183336
-5.59779890,2.10797029,0.00711577,0.39751096,0.72032582,0.96108219,0.02620388,0.51421466
-5.59179590,2.12718913,0.00728613,0.40153547,0.71194719,0.97375168,0.02613178,0.51794128
-5.58579290,2.15005199,0.00742976,0.40595337,0.70599134,0.98850647,0.02604545,0.52294835
-5.57978989,2.17637245,0.00754475,0.41073588,0.70255133,1.00534822,0.02593185,0.52918151
-5.57378689,2.20602798,0.00763005,0.41587197,0.70174491,1.02429201,0.02577947,0.53659837
-5.56778389,2.23896240,0.00768545,0.42136869,0.70371760,1.04536384,0.02557880,0.54516935
-5.56178089,2.27518459,0.00771162,0.42725059,0.70864426,1.06859701,0.02532266,0.55487773
-5.55577789,2.31476378,0.00771004,0.43355830,0.71672888,1.09402749,0.02500653,0.56571895
-5.54977489,2.35782132,0.00768293,0.44034632,0.72820259,1.12168862,0.02462868,0.57769918
-5.54377189,2.40451969,0.00763312,0.44768018,0.74331965,1.15160543,0.02419024,0.59083310
-5.53776888,2.45504901,0.00756394,0.45563303,0.76235168,1.18378883,0.02369513,0.60514114
-5.53176588,2.50961186,0.00747902,0.46428203,0.78557992,1.21823004,0.02314986,0.62064618
-5.52576288,2.56840697,0.00738215,0.47370444,0.81328587,1.25489567,0.02256328,0.63736979
-5.51975988,2.63161262,0.00727711,0.48397387,0.84574041,1.29372350,0.02194621,0.65532833
-5.51375688,2.69937023,0.00716745,0.49515657,0.88319158,1.33461938,0.02131100,0.67452880
-5.50775388,2.77176878,0.00705642,0.50730809,0.92585136,1.37745522,0.02067107,0.69496478
-5.50175088,2.84883062,0.00694674,0.52047025,0.97388171,1.42206821,0.02004041,0.71661259
-5.49574787,2.93049871,0.00684060,0.53466853,1.02738019,1.46826111,0.01943307,0.73942761
-5.48974487,3.01662587,0.00673950,0.54990985,1.08636557,1.51580359,0.01886264,0.76334109
-5.48374187,3.10696573,0.00664425,0.56618078,1.15076383,1.56443430,0.01834178,0.78825735
-5.47773887,3.20116573,0.00655501,0.58344606,1.22039501,1.61386343,0.01788183,0.81405164
-5.47173587,3.29876184,0.00647123,0.60164733,1.29496149,1.66377555,0.01749241,0.84056853
-5.46573287,3.39917510,0.00639181,0.62070223,1.37403814,1.71383233,0.01718108,0.86762099
-5.45972986,3.50170979,0.00631511,0.64050358,1.45706508,1.76367499,0.01695318,0.89499025
-5.45372686,3.60555342,0.00623911,0.66091875,1.54334352,1.81292629,0.01681158,0.92242634
-5.44772386,3.70977846,0.00616153,0.68178925,1.63203540,1.86119191,0.01675669,0.94964951
-5.44172086,3.81334611,0.00607992,0.70293060,1.72216728,1.90806132,0.01678637,0.97635247
-5.43571786,3.91511248,0.00599185,0.72413249,1.81263896,1.95310824,0.01689605,1.00220357
-5.42971486,4.01383736,0.00589499,0.74515953,1.90223717,1.99589091,0.01707887,1.02685090
-5.42371186,4.10819624,0.00578726,0.76575252,1.98965443,2.03595252,0.01732582,1.04992727
