energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,1.67206795,0.00975746,0.16101786,0.36011399,0.19796988,0.86404850,0.64850440,0.62407131,0.00000000
-5.99399700,1.55871348,0.00853882,0.14907660,0.34105674,0.18171920,0.81286789,0.60664701,0.57917264,0.00000000
-5.98799400,1.45701173,0.00743032,0.13834228,0.32440754,0.16655612,0.76854329,0.56942229,0.53831054,0.00000000
-5.98199100,1.36737521,0.00643342,0.12884188,0.31025533,0.15260590,0.73116512,0.53695275,0.50173111,0.00000000
-5.97598799,1.28993592,0.00554771,0.12057509,0.29862619,0.13996393,0.70066542,0.50925476,0.46957710,0.00000000
-5.96998499,1.22457014,0.00477130,0.11351685,0.28948800,0.12869756,0.67682796,0.48624961,0.44189507,0.00000000
-5.96398199,1.17093014,0.00410119,0.10762047,0.28275700,0.11884878,0.65930254,0.46777704,0.41864520,0.00000000
-5.95797899,1.12848126,0.00353364,0.10282120,0.27830573,0.11043769,0.64762279,0.45361074,0.39971332,0.00000000
-5.95197599,1.09654281,0.00306454,0.09904015,0.27597221,0.10346640,0.64122689,0.44347502,0.38492460,0.00000000
-5.94597299,1.07433101,0.00268974,0.09618843,0.27556990,0.09792334,0.63948048,0.43706204,0.37405817,0.00000000
-5.93996998,1.06100233,0.00240533,0.09417125,0.27689802,0.09378757,0.64170107,0.43404882,0.36686222,0.00000000
-5.93396698,1.05569546,0.00220786,0.09289198,0.27975182,0.09103301,0.64718303,0.43411339,0.36306877,0.00000000
-5.92796398,1.05757028,0.00209453,0.09225596,0.28393245,0.08963226,0.65522259,0.43694934,0.36240762,0.00000000
-5.92196098,1.06584242,0.00206332,0.09217388,0.28925597,0.08956001,0.66514163,0.44227834,0.36461893,0.00000000
-5.91595798,1.07981209,0.00211303,0.09256482,0.29556109,0.09079567,0.67630993,0.44985992,0.36946389,0.00000000
-5.90995498,1.09888619,0.00224330,0.09335857,0.30271548,0.09332526,0.68816483,0.45949845,0.37673314,0.00000000
-5.90395198,1.12259297,0.00245457,0.09449751,0.31062033,0.09714243,0.70022768,0.47104683,0.38625265,0.00000000
-5.89794897,1.15058895,0.00274793,0.09593771,0.31921295,0.10224856,0.71211676,0.48440695,0.39788686,0.00000000
-5.89194597,1.18265801,0.00312498,0.09764939,0.32846742,0.10865194,0.72355601,0.49952706,0.41153917,0.00000000
-5.88594297,1.21870318,0.00358764,0.09961684,0.33839335,0.11636611,0.73437954,0.51639621,0.42714966,0.00000000
-5.87993997,1.25873172,0.00413786,0.10183756,0.34903273,0.12540753,0.74453177,0.53503631,0.44469056,0.00000000
-5.87393697,1.30283472,0.00477739,0.10432106,0.36045522,0.13579253,0.75406346,0.55549221,0.46415963,0.00000000
-5.86793397,1.35116256,0.00550744,0.10708706,0.37275211,0.14753395,0.76312374,0.57782070,0.48557197,0.00000000
-5.86193097,1.40389780,0.00632841,0.11016347,0.38602937,0.16063751,0.77194892,0.60207888,0.50895089,0.00000000
-5.85592796,1.46122721,0.00723956,0.11358405,0.40040009,0.17509822,0.78084851,0.62831295,0.53431833,0.00000000
-5.84992496,1.52331476,0.00823874,0.11738607,0.41597683,0.19089707,0.79018918,0.65654801,0.56168555,0.00000000
-5.84392196,1.59027713,0.00932212,0.12160790,0.43286425,0.20799816,0.80037763,0.68677957,0.59104463,0.00000000
