energy_ev,total_up,Ge_p_up,Ge_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
2.08004002,1.74076168,0.46480280,0.00000000,1.62613351,0.33051829,0.78433124,0.00000000
2.08604302,1.76307304,0.47014465,0.00000000,1.64079311,0.33638603,0.79561327,0.00000000
2.09204602,1.77964187,0.47375871,0.00000000,1.64993950,0.34106967,0.80461650,0.00000000
2.09804902,1.79025583,0.47565337,0.00000000,1.65345004,0.34452480,0.81113115,0.00000000
2.10405203,1.79479815,0.47586810,0.00000000,1.65128423,0.34672660,0.81498452,0.00000000
2.11005503,1.79325553,0.47447330,0.00000000,1.64348904,0.34767122,0.81604836,0.00000000
2.11605803,1.78572373,0.47156934,0.00000000,1.63020244,0.34737664,0.81424527,0.00000000
2.12206103,1.77241017,0.46728482,0.00000000,1.61165446,0.34588292,0.80955400,0.00000000
2.12806403,1.75363332,0.46177384,0.00000000,1.58816563,0.34325173,0.80201302,0.00000000
2.13406703,1.72981838,0.45521246,0.00000000,1.56014252,0.33956527,0.79172224,0.00000000
2.14007004,1.70148927,0.44779437,0.00000000,1.52807015,0.33492438,0.77884256,0.00000000
2.14607304,1.66925676,0.43972573,0.00000000,1.49250156,0.32944595,0.76359329,0.00000000
2.15207604,1.63380322,0.43121947,0.00000000,1.45404452,0.32325977,0.74624722,0.00000000
2.15807904,1.59586420,0.42248910,0.00000000,1.41334595,0.31650473,0.72712371,0.00000000
2.16408204,1.55620767,0.41374240,0.00000000,1.37107451,0.30932473,0.70657994,0.00000000
2.17008504,1.51561160,0.40517505,0.00000000,1.32790200,0.30186427,0.68500068,0.00000000
2.17608804,1.47484076,0.39696458,0.00000000,1.28448450,0.29426403,0.66278702,0.00000000
2.18209105,1.43462391,0.38926486,0.00000000,1.24144381,0.28665658,0.64034456,0.00000000
2.18809405,1.39563208,0.38220146,0.00000000,1.19935031,0.27916237,0.61807159,0.00000000
2.19409705,1.35845921,0.37586788,0.00000000,1.15870774,0.27188629,0.59634772,0.00000000
2.20010005,1.32360576,0.37032316,0.00000000,1.11994080,0.26491485,0.57552350,0.00000000
2.20610305,1.29146611,0.36559067,0.00000000,1.08338589,0.25831419,0.55591141,0.00000000
2.21210605,1.26232027,0.36165836,0.00000000,1.04928560,0.25212889,0.53777852,0.00000000
2.21810905,1.23633013,0.35848043,0.00000000,1.01778693,0.24638178,0.52134113,0.00000000
2.22411206,1.21354044,0.35598026,0.00000000,0.98894333,0.24107463,0.50676143,0.00000000
2.23011506,1.19388426,0.35405458,0.00000000,0.96272038,0.23618973,0.49414626,0.00000000
2.23611806,1.17719255,0.35257860,0.00000000,0.93900461,0.23169224,0.48354786,0.00000000
2.24212106,1.16320740,0.35141196,0.00000000,0.91761510,0.22753319,0.47496638,0.00000000
2.24812406,1.15159809,0.35040517,0.00000000,0.89831708,0.22365301,0.46835401,0.00000000
2.25412706,1.14197931,0.34940619,0.00000000,0.88083688,0.21998541,0.46362033,0.00000000
2.26013007,1.13393055,0.34826707,0.00000000,0.86487759,0.21646137,0.46063858,0.00000000
2.26613307,1.12701590,0.34685011,0.00000000,0.85013453,0.21301316,0.45925251,0.00000000
2.27213607,1.12080335,0.34503355,0.00000000,0.83631001,0.20957810,0.45928345,0.00000000
2.27813907,1.11488281,0.34271634,0.00000000,0.82312673,0.20610207,0.46053736,0.00000000
2.28414207,1.10888231,0.33982206,0.00000000,0.81033934,0.20254242,0.46281157,0.00000000
2.29014507,1.10248178,0.33630167,0.00000000,0.79774389,0.19887040,0.46590094,0.00000000
2.29614807,1.09542390,0.33213514,0.00000000,0.78518480,0.19507286,0.46960341,0.00000000
2.30215108,1.08752210,0.32733204,0.00000000,0.77255935,0.19115334,0.47372479,0.00000000
2.30815408,1.07866529,0.32193084,0.00000000,0.75981967,0.18713233,0.47808271,0.00000000
2.31415708,1.06881950,0.31599737,0.00000000,0.74697233,0.18304695,0.48250981,0.00000000
2.32016008,1.05802656,0.30962223,0.00000000,0.73407578,0.17894992,0.48685613,0.00000000
2.32616308,1.04640003,0.30291748,0.00000000,0.72123576,0.17490791,0.49099083,0.00000000
2.33216608,1.03411864,0.29601272,0.00000000,0.70859915,0.17099940,0.49480319,0.00000000
2.33816908,1.02141764,0.28905063,0.00000000,0.69634645,0.16731213,0.49820312,0.00000000
2.34417209,1.00857840,0.28218224,0.00000000,0.68468322,0.16394011,0.50112110,0.00000000
2.35017509,0.99591659,0.27556199,0.00000000,0.67383086,0.16098045,0.50350761,0.00000000
2.35617809,0.98376946,0.26934279,0.00000000,0.66401697,0.15853000,0.50533220,0.00000000
2.36218109,0.97248239,0.26367118,0.00000000,0.65546561,0.15668195,0.50658207,0.00000000
2.36818409,0.96239538,0.25868266,0.00000000,0.64838770,0.15552244,0.50726032,0.00000000
2.37418709,0.95382952,0.25449741,0.00000000,0.64297180,0.15512731,0.50738380,0.00000000
2.38019010,0.94707405,0.25121640,0.00000000,0.63937560,0.15555901,0.50698061,0.00000000
2.38619310,0.94237424,0.24891800,0.00000000,0.63771811,0.15686395,0.50608730,0.00000000
2.39219610,0.93992049,0.24765522,0.00000000,0.63807309,0.15907004,0.50474585,0.00000000
2.39819910,0.93983895,0.24745361,0.00000000,0.64046365,0.16218483,0.50300049,0.00000000
